time,x,y,z
0.020,-0.05,-0.05,-0.12
0.022,-0.19,0.12,-0.24
0.023,-0.28,0.22,-0.27
0.032,-0.30,0.16,-0.24
0.048,-0.18,0.06,-0.21
0.049,-0.03,-0.02,-0.08
0.083,0.08,-0.03,0.10
0.083,0.16,-0.03,0.23
0.084,0.21,-0.02,0.23
0.084,0.20,0.00,0.12
0.091,-0.03,0.02,-0.12
0.096,-0.03,0.02,-0.12
0.107,-0.12,0.06,-0.07
0.112,-0.18,0.08,0.01
0.123,-0.15,0.07,0.07
0.136,-0.05,0.03,0.13
0.138,0.03,-0.03,0.15
0.147,0.06,-0.02,0.09
0.156,0.04,-0.04,0.01
0.161,0.03,-0.04,-0.02
0.177,0.03,-0.05,-0.03
0.213,-0.01,-0.05,0.00
0.214,0.01,-0.05,0.09
0.214,0.06,-0.05,0.14
0.214,0.09,-0.05,0.15
0.215,0.08,-0.03,0.09
0.223,0.03,-0.01,-0.01
0.231,-0.02,-0.02,-0.08
0.235,-0.06,-0.01,-0.12
0.249,-0.10,0.04,-0.09
0.255,-0.03,0.03,-0.05
0.261,-0.03,0.02,-0.04
0.272,0.10,0.03,-0.07
0.303,0.10,-0.00,-0.17
0.306,0.04,-0.01,-0.21
0.306,-0.00,-0.03,-0.14
0.310,0.01,-0.04,-0.03
0.311,0.05,-0.03,0.05
0.332,0.11,-0.04,0.07
0.333,0.17,-0.06,0.04
0.340,0.23,-0.06,-0.04
0.344,0.21,-0.04,-0.16
0.355,0.12,-0.05,-0.25
0.360,0.06,-0.03,-0.29
0.370,0.11,-0.03,-0.22
0.384,0.13,0.00,-0.12
0.387,0.13,0.00,-0.12
0.396,0.15,-0.05,-0.02
0.414,0.07,-0.04,0.01
0.415,0.07,-0.04,0.01
0.420,-0.04,0.03,-0.04
0.431,-0.07,0.06,-0.11
0.435,-0.11,0.06,-0.18
0.444,-0.09,0.06,-0.20
0.469,-0.05,0.05,-0.16
0.472,-0.01,0.06,-0.08
0.472,-0.00,0.05,0.00
0.510,0.01,0.05,0.00
0.511,-0.01,0.04,0.03
0.512,0.01,0.04,0.05
0.513,0.02,0.04,0.03
0.514,0.02,0.05,0.02
0.520,-0.05,0.05,-0.05
0.530,-0.07,0.04,0.03
0.535,-0.07,0.05,0.02
0.550,-0.16,0.00,0.22
0.555,-0.12,0.05,0.38
0.566,-0.11,0.06,0.42
0.573,-0.02,0.05,0.26
0.589,0.03,0.06,0.04
0.593,0.03,0.06,0.05
0.594,-0.11,0.10,-0.22
0.608,-0.12,0.11,-0.24
0.623,-0.08,0.07,-0.23
0.626,-0.05,0.03,-0.11
0.658,-0.05,0.03,-0.11
0.659,0.06,0.02,-0.01
0.660,0.09,-0.02,0.10
0.661,0.03,-0.02,0.11
0.661,-0.01,-0.01,0.12
0.670,-0.04,0.00,0.11
0.679,-0.04,-0.03,-0.00
0.687,-0.02,-0.04,-0.01
0.697,0.00,-0.03,0.04
0.706,0.00,0.01,0.02
0.711,0.00,0.01,0.01
0.720,-0.03,-0.02,-0.17
0.752,-0.01,-0.03,-0.16
0.754,-0.01,-0.02,-0.16
0.755,0.14,-0.04,0.01
0.756,0.13,-0.04,0.01
0.759,0.17,-0.07,0.05
0.793,0.18,-0.11,0.06
0.794,0.15,-0.08,0.06
0.795,0.06,-0.04,0.02
0.796,-0.05,-0.01,-0.10
0.805,-0.08,0.01,-0.16
0.809,-0.03,0.01,-0.13
0.820,0.01,0.02,-0.08
0.832,0.05,-0.00,-0.01
0.847,0.12,0.00,0.04
0.848,0.14,0.00,0.03
0.854,0.01,-0.01,0.01
0.860,0.01,-0.01,0.01
0.871,-0.05,-0.02,-0.05
0.889,-0.05,-0.02,-0.05
0.890,0.03,-0.04,-0.02
0.898,0.10,-0.04,-0.02
0.961,0.10,-0.05,-0.02
0.962,0.08,-0.05,0.00
0.963,0.03,-0.04,0.02
0.964,0.04,-0.05,0.04
0.965,0.03,-0.06,0.04
0.965,-0.01,-0.05,0.05
0.966,-0.04,-0.01,0.12
0.967,-0.05,0.02,0.15
0.969,-0.09,0.01,0.12
0.974,-0.10,0.03,0.06
0.985,-0.11,0.06,0.02
1.019,-0.11,0.04,0.02
1.020,-0.11,0.04,0.02
1.021,-0.05,0.02,0.05
1.025,0.03,0.00,0.03
1.026,0.01,-0.04,0.04
1.078,-0.03,-0.06,0.10
1.079,-0.06,-0.02,0.15
1.079,-0.10,0.01,0.14
1.080,-0.08,0.05,0.10
1.081,-0.01,0.04,0.02
1.081,0.03,-0.01,-0.07
1.083,0.06,-0.03,-0.06
1.093,0.09,-0.04,-0.03
1.098,0.08,-0.03,-0.03
1.108,0.06,-0.06,-0.04
1.118,0.04,-0.07,-0.06
1.123,0.04,-0.07,-0.06
1.152,-0.02,-0.03,-0.04
