time,x,y,z
0.012,-0.02,-0.01,-0.23
0.027,0.05,0.04,-0.34
0.028,-0.00,0.07,-0.42
0.034,-0.07,0.11,-0.47
0.043,0.14,0.17,-0.45
0.047,0.14,0.17,-0.44
0.066,0.06,0.20,-0.36
0.067,-0.09,0.13,-0.15
0.074,-0.09,0.13,-0.14
0.081,-0.10,-0.02,0.06
0.091,-0.19,-0.07,0.20
0.098,-0.12,-0.10,0.21
0.126,-0.12,-0.09,0.20
0.129,-0.07,-0.13,0.24
0.132,0.05,-0.13,0.21
0.133,0.01,-0.11,0.16
0.145,0.05,-0.05,0.08
0.149,0.18,-0.05,-0.01
0.157,0.15,-0.00,-0.10
0.167,0.02,0.09,-0.15
0.194,-0.07,0.13,-0.20
0.196,-0.10,0.14,-0.24
0.199,-0.10,0.08,-0.20
0.201,-0.10,0.08,-0.19
0.215,-0.12,0.01,-0.13
0.217,-0.11,-0.06,-0.03
0.225,-0.11,-0.06,-0.03
0.232,-0.11,-0.09,0.07
0.242,-0.18,-0.05,0.11
0.248,-0.05,-0.05,0.11
0.259,0.08,-0.06,0.15
0.268,0.05,-0.04,0.18
0.275,-0.01,0.00,0.18
0.282,-0.02,0.05,0.14
0.311,0.06,0.07,0.08
0.313,0.11,0.07,0.06
0.314,0.02,0.07,0.03
0.343,-0.06,0.03,-0.02
0.350,-0.07,0.02,-0.08
0.351,-0.07,0.01,-0.11
0.353,-0.12,-0.02,-0.13
0.356,-0.12,-0.02,-0.13
0.358,-0.08,-0.03,-0.15
0.366,-0.06,0.01,-0.15
0.373,0.04,-0.02,-0.26
0.382,0.09,-0.12,-0.38
0.391,-0.26,0.21,-0.12
0.397,0.03,0.09,-0.08
0.410,0.26,-0.02,0.10
0.418,0.18,0.07,0.29
0.427,0.05,0.03,0.39
0.435,-0.03,-0.08,0.41
0.437,-0.15,-0.17,0.34
0.455,-0.12,-0.18,0.29
0.458,0.10,-0.11,0.20
0.495,0.06,-0.48,0.13
0.498,0.08,-0.58,-0.09
0.499,0.36,0.17,0.01
0.502,0.36,0.17,0.01
0.503,0.32,0.02,-0.16
0.508,-0.16,-0.06,-0.26
0.513,-0.25,-0.16,-0.22
0.527,-0.27,-0.20,-0.20
0.534,-0.18,-0.20,-0.11
0.538,-0.08,-0.20,-0.06
0.549,-0.10,-0.20,0.03
0.590,-0.07,-0.17,0.09
0.593,-0.02,-0.20,0.10
0.596,-0.09,-0.51,0.07
0.599,0.05,-0.58,0.03
0.602,0.36,-0.55,0.02
0.604,0.44,-0.56,-0.03
0.610,0.42,-0.67,0.04
0.611,0.42,-0.67,0.04
0.621,0.12,-0.45,-0.14
0.633,-0.10,0.07,-0.01
0.638,-0.09,0.07,-0.01
0.646,-0.51,0.86,-0.06
0.677,-0.42,0.76,0.06
0.678,-0.07,0.46,0.13
0.679,0.08,0.02,-0.02
0.686,-0.03,-0.45,-0.03
0.689,-0.05,-0.57,-0.01
0.723,-0.14,-0.45,-0.02
0.728,-0.19,-0.22,-0.01
0.732,-0.12,0.14,0.08
0.733,-0.06,0.66,0.07
0.734,-0.06,0.66,0.07
0.735,-0.32,0.52,0.12
0.746,-0.24,-0.05,0.07
0.758,0.03,0.98,-0.08
0.763,-0.48,-0.13,-0.10
0.772,0.09,-0.21,-0.08
0.782,0.21,0.18,0.34
0.786,0.03,0.15,-0.00
0.798,-0.12,0.07,-0.12
0.831,-0.07,-0.09,-0.16
0.836,-0.07,-0.09,-0.15
0.839,0.03,-0.22,-0.21
0.842,0.01,1.11,-0.19
0.866,0.01,1.10,-0.19
0.867,-0.47,2.08,0.39
0.867,-0.47,2.05,0.38
0.868,0.13,-0.03,0.14
0.870,0.34,-0.12,-0.21
0.880,0.06,0.39,-0.01
0.886,0.07,0.36,0.00
0.896,0.14,0.22,-0.19
0.907,0.07,0.13,-0.24
0.911,-0.04,-0.00,-0.17
0.921,-0.00,-0.19,-0.01
0.930,0.24,-0.33,0.20
0.936,0.24,-0.32,0.20
0.946,0.04,-0.25,0.36
0.965,-0.27,0.00,0.36
0.967,-0.27,0.00,0.36
0.989,-0.26,0.10,0.07
0.990,-0.25,0.09,0.07
0.991,-0.19,0.15,-0.11
0.995,-0.21,0.36,-0.27
1.008,-0.21,0.58,-0.38
1.013,-0.19,0.59,-0.36
1.021,0.04,0.82,-0.59
1.030,0.31,1.19,-0.76
1.034,-0.45,0.72,-0.86
1.045,-0.58,0.26,-0.80
1.061,0.07,0.08,-0.47
1.063,0.35,-0.13,-0.41
1.071,0.24,-0.23,-0.32
1.080,-0.19,-0.04,0.23
1.085,-0.20,-0.03,0.23
1.102,-0.49,-0.30,0.26
1.104,-0.36,-0.21,0.39
1.153,0.08,0.03,0.46
1.154,0.22,0.17,0.40
1.156,0.13,0.30,0.38
1.156,0.11,0.52,0.36
1.157,0.22,0.68,0.27
1.158,0.31,0.81,0.19
1.160,0.37,1.02,0.02
1.170,0.41,1.21,-0.15
1.182,0.31,1.25,-0.31
1.186,0.15,1.19,-0.47
1.196,0.08,1.11,-0.64
1.224,0.03,1.03,-0.82
1.226,-0.07,1.02,-0.96
1.227,-0.09,1.15,-1.07
1.228,-0.05,1.16,-1.08
1.235,-0.05,1.08,-1.04
1.253,0.15,0.99,-1.06
1.257,0.14,0.97,-1.04
1.260,-0.07,0.72,-0.95
1.270,-0.53,0.74,-0.62
1.276,-1.13,0.73,-0.13
1.285,-1.33,0.84,0.21
1.295,-1.04,1.04,0.58
1.300,-0.57,1.15,0.92
1.313,-0.22,1.14,1.11
1.321,0.11,1.11,1.18
1.351,0.15,1.11,1.09
1.353,0.04,1.11,0.89
1.354,-0.03,1.04,0.78
1.355,-0.05,0.98,0.82
1.378,-0.06,0.82,0.69
1.380,0.16,0.46,-0.13
1.380,0.15,0.39,-0.08
1.385,-0.33,0.05,-0.70
1.396,-0.18,-0.18,-0.94
1.401,0.13,-0.30,-1.07
1.410,0.31,-0.28,-0.92
1.420,0.42,-0.27,-0.69
1.428,0.54,-0.42,-0.43
1.435,0.61,-0.60,-0.13
1.445,0.60,-0.71,0.14
1.451,0.53,-0.80,0.31
1.472,0.47,-0.86,0.37
1.474,0.44,-0.80,0.28
1.475,0.44,-0.85,0.33
1.485,0.55,-0.73,0.19
1.504,0.24,-0.69,-0.37
1.505,0.24,-0.75,-0.32
1.510,-0.02,-0.62,-0.68
1.520,-0.29,-0.51,-1.02
1.525,-0.66,-0.44,-1.35
1.535,-0.94,-0.25,-1.72
1.544,-0.88,0.26,-2.44
1.552,-0.90,0.19,-2.36
1.558,-0.29,0.43,-2.51
1.569,0.69,0.66,-2.67
1.575,0.68,0.60,-2.59
1.584,0.33,0.33,-2.70
1.603,-0.33,-0.07,-2.74
1.606,-0.34,-0.13,-2.66
1.610,-0.86,-0.75,-2.56
1.618,-1.17,-1.34,-2.37
1.638,-1.36,-1.87,-2.10
1.640,-1.63,-2.42,-1.77
1.646,-1.86,-2.85,-1.59
1.651,-2.05,-3.04,-1.35
1.660,-2.16,-3.18,-1.15
1.678,-2.21,-3.34,-1.09
1.680,-2.23,-3.56,-1.13
1.684,-2.20,-3.68,-1.32
1.694,-2.40,-3.22,-2.74
1.699,-2.43,-3.27,-2.57
1.710,-2.60,-2.88,-3.23
1.720,-2.63,-3.04,-3.41
1.728,-2.67,-3.04,-3.29
1.733,-2.62,-3.09,-3.20
1.744,-2.52,-3.06,-2.89
1.748,-2.26,-3.06,-2.47
1.768,-1.96,-3.04,-1.94
1.770,-1.83,-3.06,-1.35
1.773,-1.90,-3.03,-0.69
