time,x,y,z
0.011,0.08,0.02,0.04
0.011,0.19,0.02,-0.04
0.024,0.19,0.07,-0.19
0.027,-0.01,0.05,-0.20
0.043,-0.14,0.02,-0.09
0.045,0.11,-0.02,0.01
0.052,0.11,-0.03,0.01
0.071,0.11,-0.05,0.10
0.072,0.11,-0.06,0.10
0.095,-0.11,-0.05,0.18
0.096,-0.12,-0.08,0.12
0.097,-0.12,-0.09,0.12
0.104,0.03,-0.10,-0.13
0.111,0.05,-0.08,-0.26
0.117,0.09,-0.05,-0.37
0.125,0.14,-0.03,-0.44
0.136,0.10,0.02,-0.46
0.141,-0.03,0.08,-0.42
0.151,-0.06,0.07,-0.33
0.162,-0.01,0.11,-0.20
0.166,0.05,0.09,-0.07
0.186,0.05,0.09,-0.07
0.187,0.07,0.11,0.24
0.208,0.06,0.11,0.24
0.209,0.05,0.03,0.38
0.214,0.11,0.03,0.36
0.216,0.10,0.03,0.35
0.226,0.11,0.01,0.28
0.235,-0.00,0.00,0.03
0.242,-0.00,-0.00,0.03
0.252,0.01,-0.01,-0.10
0.276,-0.05,-0.01,-0.31
0.282,-0.05,-0.01,-0.31
0.283,0.03,0.01,-0.28
0.295,-0.01,0.03,-0.25
0.302,0.02,0.03,-0.17
0.306,0.02,0.03,-0.17
0.314,0.01,0.05,-0.11
0.316,-0.08,0.10,-0.05
0.326,-0.07,0.13,-0.02
0.337,0.02,0.12,0.01
0.355,0.09,0.04,0.02
0.356,-0.09,-0.02,0.02
0.381,-0.13,0.11,0.08
0.383,-0.05,0.03,0.11
0.384,0.01,-0.09,0.16
0.386,-0.02,-0.10,0.30
0.392,-0.02,-0.10,0.30
0.400,0.02,-0.10,0.27
0.416,0.14,-0.24,0.05
0.419,0.13,-0.24,0.05
0.432,0.06,-0.27,-0.04
0.437,0.03,-0.34,-0.10
0.446,-0.19,-0.41,-0.19
0.453,-0.30,-0.36,-0.14
0.464,-0.22,-0.31,-0.15
0.466,-0.13,-0.13,-0.13
0.485,0.05,-0.25,-0.10
0.510,0.25,-0.47,-0.07
0.518,0.47,-0.82,0.05
0.520,0.52,-1.19,0.11
0.521,0.35,-1.32,0.13
0.522,0.01,-1.41,0.15
0.526,-0.12,-1.11,0.14
0.536,-0.28,-0.13,-0.10
0.543,-0.28,-0.13,-0.09
0.551,-0.27,0.29,-0.34
0.568,-0.09,0.25,-0.15
0.571,0.20,0.03,-0.39
0.576,0.25,-0.24,-0.44
0.587,0.27,-0.95,-0.47
0.593,0.28,-0.85,-0.49
0.604,0.29,0.15,-0.37
0.610,-0.03,0.87,-0.11
0.614,-0.25,-0.23,-0.04
0.642,0.16,-0.85,-0.27
0.645,0.36,-0.28,-0.47
0.647,0.07,2.46,-0.25
0.651,-1.81,10.93,-0.00
0.670,-1.08,6.12,1.99
0.672,0.44,-0.86,-0.73
0.679,0.76,-0.98,-0.84
0.682,0.75,-0.97,-0.84
0.691,0.06,1.21,0.53
0.703,0.25,0.35,0.37
0.712,0.26,0.35,0.13
0.717,0.32,0.82,0.22
0.726,0.46,1.09,0.31
0.732,0.55,1.13,0.03
0.762,0.45,0.81,-0.16
0.766,-0.60,0.18,-0.39
0.771,-0.93,-0.14,0.08
0.772,0.36,0.08,0.44
0.787,0.17,0.13,-0.23
0.788,-0.34,-0.01,-0.36
0.790,-0.52,-0.12,-0.19
0.800,-0.66,-0.03,0.05
0.807,-0.67,-0.02,0.05
0.816,-0.56,0.02,0.04
0.828,0.03,-0.45,-0.42
0.851,0.02,-0.44,-0.42
0.852,-0.66,0.45,0.20
0.853,-1.20,-0.15,-0.07
0.863,-0.55,-0.34,-0.08
0.865,0.03,0.03,-0.01
0.888,-0.05,0.17,-0.06
0.889,-0.17,0.19,-0.02
0.890,-0.13,0.37,-0.07
0.900,-0.08,0.67,-0.07
0.910,-0.07,0.92,-0.14
0.917,-0.09,1.08,-0.03
0.925,-0.24,1.20,0.03
0.931,-0.29,1.18,0.04
0.939,-0.29,1.27,0.00
0.951,0.01,1.43,-0.22
0.958,-0.05,1.40,-0.21
0.967,0.17,1.39,-0.64
0.976,0.10,1.34,-0.63
0.982,0.33,1.29,-0.78
1.006,0.37,1.31,-0.93
1.007,0.27,1.81,-1.35
1.008,0.18,1.75,-1.32
1.014,0.47,2.15,-1.53
1.046,0.80,2.12,-1.52
1.048,0.69,2.07,-1.49
1.049,1.22,1.97,-1.28
1.051,1.21,1.86,-0.90
1.055,1.10,1.81,-0.87
1.066,0.95,1.64,-0.58
1.076,0.86,1.55,-0.30
1.083,0.66,1.36,-0.09
1.092,0.23,1.11,0.14
1.101,-0.28,1.19,0.38
1.107,-0.18,1.33,0.40
1.115,0.25,1.23,0.42
1.143,0.53,1.11,0.46
1.146,0.53,1.05,0.59
1.148,0.53,1.05,0.59
1.150,1.00,1.39,-0.28
1.161,0.91,1.30,-0.22
1.164,1.58,1.53,-1.12
1.174,1.63,1.60,-1.31
1.180,1.54,1.50,-1.25
1.189,1.55,1.49,-1.32
1.201,1.73,1.29,-1.27
1.207,1.88,0.93,-1.16
1.214,1.95,0.56,-0.92
1.224,1.90,0.37,-0.72
1.229,1.69,0.34,-0.41
1.239,1.43,0.41,0.13
1.249,1.24,0.51,0.66
1.258,1.28,0.40,1.15
1.265,1.46,0.02,1.41
1.273,1.38,-0.47,1.47
1.280,1.34,-0.55,1.52
1.288,1.06,-0.67,1.34
1.298,0.90,-0.52,0.34
1.310,0.87,-0.62,0.40
1.314,0.58,-0.63,0.13
1.324,0.30,-0.63,-0.30
1.328,-0.02,-0.63,-0.59
1.339,-0.21,-0.64,-1.00
1.349,-0.38,-0.69,-1.39
1.354,-0.57,-0.72,-1.75
1.363,-0.67,-0.82,-1.88
1.373,-0.74,-1.03,-1.90
1.378,-0.71,-1.20,-1.94
1.390,-0.53,-1.28,-2.02
1.399,-0.37,-1.48,-2.01
1.403,-0.37,-1.85,-1.82
1.413,-0.66,-2.17,-1.54
1.418,-1.17,-2.29,-1.33
1.428,-1.70,-2.27,-0.73
1.438,-2.01,-2.06,-0.31
1.444,-2.05,-2.13,-0.22
1.454,-1.40,-1.38,-0.53
1.463,-1.00,-0.86,-0.83
1.470,-0.80,-0.57,-0.89
1.478,-0.81,-0.62,-0.95
1.488,-0.98,-0.78,-1.00
1.494,-1.15,-0.92,-0.93
1.504,-1.09,-0.99,-0.69
1.513,-0.73,-0.99,-0.49
1.518,-0.18,-1.02,-0.47
1.528,0.31,-1.09,-0.38
1.545,0.29,-1.17,-0.13
1.546,-0.14,-1.21,0.02
1.555,-0.79,-1.23,0.12
1.564,-1.20,-1.20,0.22
1.568,-1.25,-1.24,0.33
1.579,-0.96,-1.24,0.09
1.588,-0.94,-1.34,-0.33
1.594,-0.92,-1.44,-0.57
1.605,-0.78,-1.53,-0.56
1.613,-0.49,-1.59,-0.66
1.619,0.04,-1.59,-0.57
1.628,0.66,-1.69,-0.46
1.640,1.07,-1.84,-0.50
1.643,1.28,-2.05,-0.40
1.653,1.29,-2.32,-0.18
1.662,0.80,-2.41,0.03
1.667,-0.16,-2.33,0.08
1.677,-0.22,-2.34,0.23
1.688,-0.73,-1.98,0.99
1.693,-0.79,-1.97,1.13
1.703,-0.31,-1.92,1.47
1.714,0.20,-2.08,2.03
1.718,0.14,-2.05,2.16
1.728,-0.47,-2.01,2.80
1.738,-0.75,-1.91,2.98
1.743,-0.81,-1.88,3.10
1.762,-0.50,-1.67,3.28
1.763,1.13,-0.88,3.40
1.768,1.08,-0.86,3.53
1.778,1.23,0.20,3.14
1.788,0.30,0.49,2.67
1.793,-0.46,0.62,2.18
1.804,-0.49,0.63,2.29
1.813,-0.76,0.82,2.10
1.818,-0.74,1.08,1.76
1.828,-0.53,1.28,1.17
1.838,-0.12,1.40,0.70
1.843,0.26,1.43,0.53
1.854,0.60,1.45,0.50
1.863,0.76,1.49,0.43
1.868,0.79,1.64,0.34
1.878,0.77,1.80,0.34
1.890,1.21,1.49,0.43
1.894,1.20,1.50,0.42
1.904,1.21,1.38,0.37
1.913,0.93,0.84,0.58
1.918,0.93,0.85,0.53
1.928,0.41,0.54,0.61
1.937,-0.10,0.24,0.75
1.943,-0.29,-0.12,0.97
1.954,-0.48,-0.64,1.25
1.963,-0.43,-1.03,1.45
1.967,-0.33,-1.32,1.51
1.978,-0.40,-1.60,1.36
1.990,-0.39,-1.78,0.85
1.994,-0.14,-1.75,0.39
2.006,0.36,-1.42,-0.00
2.013,0.87,-1.06,-0.42
2.017,1.00,-0.80,-0.74
2.028,0.74,-0.45,-1.10
2.037,0.08,0.40,-1.75
2.043,0.06,0.42,-1.68
2.053,0.09,0.60,-1.89
2.062,0.34,0.53,-1.93
2.068,0.42,0.49,-2.02
2.077,0.48,0.62,-2.11
2.087,0.61,0.86,-2.39
2.092,0.84,0.95,-2.57
2.104,1.02,0.84,-2.24
2.112,1.17,0.70,-2.12
2.117,1.16,0.61,-2.17
2.128,0.94,0.55,-2.01
2.141,0.74,0.60,-1.93
2.143,0.69,0.75,-1.99
2.157,0.79,0.95,-1.85
2.163,0.90,1.12,-1.52
2.167,1.10,1.18,-1.23
2.177,1.48,1.19,-0.85
2.183,1.47,1.22,-0.77
2.193,1.92,1.49,0.19
2.203,1.93,1.69,0.56
2.208,2.08,1.68,0.85
2.217,2.22,1.52,1.20
2.227,2.05,1.36,1.26
2.233,1.74,1.24,1.17
2.242,1.52,1.27,1.14
2.254,1.43,1.39,1.09
2.268,1.40,1.47,0.95
2.269,1.50,1.48,0.90
2.302,1.66,1.41,0.97
2.304,1.68,1.39,0.95
2.304,1.52,1.41,0.83
2.305,1.30,1.42,0.75
2.312,1.30,1.41,0.76
2.319,1.15,1.44,0.61
2.330,0.61,1.51,0.80
2.334,0.61,1.50,0.80
2.347,0.29,0.99,0.96
2.357,-0.01,0.70,1.03
2.359,-0.23,0.45,1.16
2.368,-0.29,0.22,1.32
2.379,-0.34,0.03,1.36
2.384,-0.40,-0.15,1.35
2.402,-0.39,-0.33,1.41
2.404,-0.27,-0.44,1.48
2.408,-0.20,-0.55,1.53
2.420,-0.50,-0.69,1.58
2.434,-0.86,-0.74,1.62
2.438,-0.86,-0.74,1.64
2.446,-1.02,-0.75,1.62
2.459,-0.49,-0.92,1.60
2.464,-0.49,-0.91,1.62
2.469,0.52,-1.05,1.60
2.479,0.54,-0.88,1.54
2.484,0.53,-0.87,1.55
2.514,0.61,-0.59,1.64
2.517,0.58,-0.64,1.72
2.519,0.58,-0.63,1.72
2.521,0.44,-0.45,1.71
2.529,0.38,-0.21,1.48
2.532,0.37,-0.20,1.48
2.543,0.90,0.29,1.44
2.552,1.09,0.41,1.71
2.579,1.08,0.43,1.68
2.580,1.34,0.46,1.91
2.581,1.36,0.40,2.03
2.582,1.28,0.54,2.02
2.593,1.18,0.82,1.98
2.607,1.17,0.97,1.89
2.609,1.24,0.95,1.77
2.619,1.18,0.89,1.63
2.628,0.88,0.80,1.55
2.637,0.61,0.70,1.56
2.644,0.52,0.65,1.69
2.656,0.82,0.57,1.89
2.660,0.81,0.58,1.81
2.669,0.82,0.53,1.63
2.687,0.83,0.59,1.20
