time,x,y,z
0.015,0.26,0.11,0.04
0.016,0.17,0.14,-0.10
0.032,0.07,0.13,-0.26
0.045,0.10,0.10,-0.36
0.046,-0.04,0.07,-0.35
0.050,-0.13,0.05,-0.32
0.060,-0.20,-0.06,-0.24
0.065,-0.20,-0.06,-0.23
0.078,-0.08,-0.09,-0.13
0.085,0.04,-0.09,-0.10
0.091,-0.32,-0.13,0.04
0.099,-0.13,-0.10,0.04
0.112,0.01,-0.07,0.03
0.116,0.10,-0.05,-0.03
0.140,0.13,0.01,-0.08
0.141,0.08,0.06,-0.12
0.142,0.04,0.08,-0.15
0.150,0.10,0.13,-0.19
0.161,0.15,0.11,-0.11
0.165,0.15,0.07,0.03
0.175,0.15,0.07,0.03
0.186,0.02,-0.07,0.26
0.197,0.02,-0.07,0.26
0.201,0.01,-0.04,0.21
0.209,-0.01,-0.03,0.15
0.215,-0.04,-0.03,0.08
0.225,-0.05,-0.03,0.07
0.235,-0.03,-0.00,0.06
0.257,-0.02,0.00,0.06
0.259,-0.02,-0.02,0.05
0.284,0.03,-0.04,0.00
0.286,0.07,-0.04,-0.03
0.287,0.08,-0.04,-0.08
0.288,0.06,-0.02,-0.15
0.292,0.00,-0.00,-0.14
0.308,0.01,-0.01,-0.14
0.311,-0.04,0.03,-0.10
0.314,-0.03,0.03,-0.10
0.325,-0.05,0.02,-0.18
0.342,-0.03,0.01,-0.19
0.344,-0.03,0.01,-0.19
0.350,-0.07,0.00,-0.15
0.360,0.02,-0.02,-0.01
0.365,0.02,-0.02,-0.01
0.382,0.01,0.01,0.17
0.384,0.02,0.05,0.19
0.410,0.02,0.05,0.19
0.411,0.02,0.08,0.12
0.412,0.02,0.10,0.04
0.414,0.01,0.06,0.02
0.425,0.01,0.06,0.02
0.440,-0.05,-0.00,-0.02
0.444,-0.07,-0.08,-0.02
0.450,-0.10,-0.10,-0.05
0.462,-0.09,-0.11,-0.04
0.466,-0.07,-0.10,-0.04
0.476,-0.09,-0.07,-0.04
0.490,0.04,0.02,0.03
0.494,0.04,0.02,0.03
0.513,0.08,0.03,0.07
0.517,-0.06,0.07,0.07
0.519,-0.06,0.07,0.07
0.525,0.05,0.00,-0.01
0.534,-0.00,-0.06,-0.07
0.543,0.00,-0.06,-0.07
0.550,-0.08,-0.13,-0.07
0.581,-0.06,-0.15,-0.05
0.582,-0.09,-0.14,-0.03
0.583,-0.09,-0.11,-0.04
0.584,-0.14,-0.06,-0.01
0.589,-0.10,-0.03,-0.03
0.601,0.00,0.03,-0.06
0.613,0.08,0.07,-0.10
0.619,0.15,0.11,-0.10
0.629,0.25,0.11,-0.05
0.631,0.22,0.09,-0.02
0.642,0.15,0.11,0.04
0.651,0.09,0.06,0.09
0.668,0.01,-0.04,0.11
0.669,0.02,-0.07,0.12
0.674,0.02,-0.01,0.13
0.679,-0.05,0.02,0.07
0.699,-0.07,-0.01,0.02
0.703,-0.07,-0.03,-0.01
0.707,-0.06,-0.03,-0.06
0.714,-0.05,-0.04,-0.06
0.724,-0.06,-0.03,-0.05
0.731,-0.05,-0.04,-0.03
0.740,0.01,-0.03,0.01
0.750,-0.05,-0.62,0.12
0.759,0.31,-0.62,0.01
0.767,0.03,0.05,0.11
0.778,-0.12,-0.01,0.06
0.783,-0.18,-0.08,0.06
0.790,-0.01,-0.21,-0.13
0.799,-0.08,-0.15,0.01
0.819,0.02,-0.35,-0.01
0.820,0.04,-0.52,0.02
0.824,-0.09,-0.50,0.03
0.829,-0.02,-0.54,-0.01
0.854,0.04,-0.44,0.01
0.855,0.06,-0.00,-0.01
0.858,0.14,0.36,0.06
0.863,0.24,0.07,0.01
0.873,0.16,0.01,0.03
0.878,-0.14,0.34,0.09
0.891,-0.13,0.01,0.17
0.900,-0.14,0.15,0.10
0.917,-0.13,0.30,0.02
0.918,-0.13,0.30,0.02
0.924,0.13,0.04,0.10
0.928,0.13,0.03,0.10
0.939,0.04,-0.22,-0.23
0.948,-0.10,-0.21,-0.15
0.965,-0.01,-0.21,-0.25
0.967,-0.04,0.08,-0.28
0.990,-0.07,0.37,-0.22
0.995,0.06,0.63,-0.21
0.996,0.04,0.25,-0.03
0.998,-0.18,0.04,-0.16
1.004,-0.09,-0.01,-0.09
1.013,-0.06,0.04,0.23
1.025,0.04,0.38,0.10
1.034,0.86,-0.16,-0.47
1.040,0.85,-0.16,-0.47
1.050,-0.04,-0.02,-0.16
1.054,-0.04,-0.02,-0.16
1.064,0.30,-0.44,-0.08
1.074,0.06,-0.34,-0.08
1.079,0.06,-0.33,-0.08
1.106,0.06,-0.17,-0.09
1.112,0.83,0.05,-0.82
1.114,0.81,0.05,-0.81
1.118,-0.72,-0.66,0.26
1.146,0.12,-0.40,-0.20
1.153,0.12,-0.39,-0.20
1.155,0.17,-1.38,-0.18
1.156,-0.03,-1.21,-0.09
1.157,-0.03,-1.18,-0.09
1.163,0.01,-0.65,-0.28
