time,x,y,z
0.007,0.29,0.21,0.17
0.018,0.48,0.20,0.29
0.022,0.64,0.24,0.26
0.035,0.70,0.32,0.15
0.047,0.58,0.39,0.08
0.050,0.39,0.34,-0.07
0.059,0.26,0.08,-0.24
0.069,-0.12,0.08,-0.11
0.072,-0.11,0.07,-0.11
0.085,-0.19,0.10,0.19
0.094,-0.41,0.12,0.03
0.100,-0.40,0.11,0.03
0.109,-0.54,0.04,-0.12
0.117,-0.34,-0.04,-0.07
0.123,0.01,-0.04,-0.02
0.139,0.28,-0.07,0.02
0.152,0.46,-0.07,0.09
0.153,0.57,-0.01,0.17
0.157,0.60,0.02,0.24
0.167,0.48,0.06,0.31
0.173,0.32,0.06,0.29
0.188,0.00,0.05,0.25
0.197,-0.41,0.08,0.26
0.199,-0.40,0.07,0.26
0.208,-0.78,0.13,0.30
0.219,-0.80,0.14,0.17
0.224,-0.79,0.13,0.17
0.233,-0.46,0.05,-0.05
0.256,-0.45,0.05,-0.05
0.258,-0.27,-0.01,-0.12
0.259,-0.15,-0.03,-0.15
0.273,-0.13,-0.19,-0.39
0.275,-0.13,-0.19,-0.38
0.282,0.00,-0.38,-0.59
0.292,-0.03,-0.29,-0.62
0.309,-0.03,-0.29,-0.62
0.310,-0.55,0.02,0.21
0.320,-0.45,0.05,0.28
0.324,-0.44,0.05,0.28
0.332,-0.24,-0.04,0.19
0.347,0.01,-0.14,-0.02
0.349,0.15,-0.20,-0.19
0.358,0.22,-0.21,-0.30
0.373,0.18,-0.15,-0.25
0.375,0.07,-0.08,-0.15
0.385,0.00,-0.01,-0.07
0.404,0.16,-0.13,-0.15
0.406,0.16,-0.13,-0.15
0.408,0.22,-0.20,-0.23
0.414,0.17,-0.23,-0.23
0.423,0.18,-0.29,-0.14
0.432,0.08,-0.23,-0.17
0.442,-0.04,-0.22,-0.19
0.447,-0.04,-0.21,-0.18
0.457,-0.16,-0.16,-0.13
0.463,-0.29,-0.08,0.07
0.472,-0.08,-0.02,0.20
0.486,0.26,-0.01,0.13
0.487,0.46,-0.05,0.00
0.497,0.53,-0.07,-0.05
0.507,0.51,-0.06,-0.04
0.514,0.42,-0.07,-0.00
0.522,0.28,-0.08,0.01
0.532,0.09,-0.04,-0.07
0.537,-0.08,-0.01,-0.10
0.557,-0.13,-0.02,-0.07
0.561,-0.08,-0.01,-0.04
0.563,-0.00,0.01,-0.02
0.572,-0.02,0.09,0.01
0.584,-0.13,0.20,0.09
0.588,-0.21,0.20,0.03
0.598,-0.24,0.14,-0.05
0.608,-0.10,0.09,-0.07
0.613,0.09,0.10,0.06
0.623,0.22,0.14,0.15
0.633,0.26,0.12,0.13
0.638,0.27,0.07,0.09
0.647,0.23,0.04,0.10
0.658,0.18,-0.00,0.05
0.678,0.04,-0.08,-0.04
0.690,-0.08,-0.14,-0.08
0.692,-0.08,-0.14,-0.25
0.695,0.02,-0.12,-0.45
0.699,0.22,-0.11,-0.57
0.707,0.20,-0.14,-0.65
0.712,0.20,-0.14,-0.64
0.723,0.07,-0.05,-0.22
0.732,-0.02,-0.00,-0.13
0.737,0.06,-0.03,-0.15
0.746,0.19,-0.07,-0.29
0.758,0.26,-0.12,-0.58
0.762,0.29,-0.14,-0.83
0.773,0.23,-0.12,-0.98
0.785,0.03,-0.09,-0.99
0.789,-0.23,-0.04,-1.01
0.805,-0.31,0.08,-1.02
0.807,-0.37,0.18,-1.09
0.827,-0.27,0.19,-1.16
0.830,0.13,0.22,-1.13
0.835,0.46,0.22,-1.14
0.862,0.46,0.24,-1.12
0.863,0.82,0.11,-1.20
0.864,0.84,0.16,-1.45
0.866,0.75,0.30,-1.71
0.873,0.57,0.41,-1.83
0.881,0.46,0.52,-1.93
0.888,0.49,0.65,-2.11
0.896,0.60,0.71,-2.42
0.906,0.78,0.68,-2.73
0.912,0.97,0.66,-2.95
0.921,1.14,0.64,-3.07
0.931,1.06,0.61,-3.14
0.936,0.74,0.67,-3.22
0.947,0.74,0.69,-3.21
0.957,0.48,0.81,-3.66
0.971,0.47,0.84,-3.64
0.972,0.68,0.81,-3.94
0.982,1.37,0.74,-4.23
0.986,1.36,0.77,-4.20
0.999,1.57,0.85,-4.64
1.007,1.77,0.84,-5.02
1.012,1.76,0.86,-4.99
1.022,2.07,0.71,-5.37
1.031,2.19,0.74,-5.15
1.037,2.18,0.72,-5.13
1.046,1.73,0.85,-4.42
1.057,1.50,0.71,-4.38
1.071,1.31,0.27,-4.50
1.074,1.30,0.24,-4.47
1.081,0.96,-0.47,-4.97
1.087,0.66,-1.13,-5.88
1.097,0.47,-1.56,-6.76
1.107,0.45,-1.57,-7.46
1.111,0.91,-1.31,-7.78
1.122,1.78,-1.13,-7.68
1.131,2.38,-1.14,-7.02
1.137,2.71,-0.90,-5.39
1.147,2.99,-0.48,-3.39
1.156,2.67,-0.28,-2.16
1.162,2.67,-0.31,-2.10
1.172,2.15,-0.51,-3.04
1.181,2.27,-0.91,-6.57
1.186,2.27,-0.97,-6.46
1.196,2.50,-1.01,-8.06
1.205,2.64,-1.49,-9.22
1.211,1.71,-2.27,-9.88
1.220,-0.41,-2.73,-9.59
1.226,-3.53,-2.30,-7.99
1.235,-7.45,-1.51,-4.69
1.245,-10.03,-0.92,-0.80
1.250,-8.99,-0.27,3.67
1.260,-5.17,0.17,8.32
1.270,-0.56,-0.26,11.47
1.275,3.42,-0.97,12.16
1.285,5.72,-1.26,10.29
1.295,5.13,-1.16,8.06
1.300,1.64,-0.66,6.04
1.311,-2.42,-1.03,4.82
1.320,-6.45,-2.31,4.51
1.327,-7.56,-3.54,6.19
1.336,-5.43,-4.14,9.40
1.346,-2.05,-4.11,12.41
1.352,1.45,-3.53,14.29
1.363,4.17,-2.42,15.66
1.372,5.39,-1.57,16.81
1.376,4.21,-1.05,16.54
1.385,1.59,-0.65,15.40
1.396,-0.44,-0.85,13.70
1.400,-1.69,-1.47,10.93
1.410,-2.20,-1.94,8.19
1.421,-1.91,-2.34,5.95
1.425,-1.47,-2.84,4.16
1.435,-1.42,-2.66,2.86
1.446,-0.98,-1.39,2.66
1.450,-0.98,-1.33,2.64
1.460,1.56,0.85,6.43
1.470,3.14,0.81,7.60
1.479,4.42,0.47,7.56
1.486,5.07,-0.06,6.80
1.495,4.30,-0.84,5.18
1.501,1.47,-1.01,3.07
1.510,-1.92,-0.00,1.32
1.520,-4.92,1.71,0.86
1.525,-6.97,2.97,1.60
1.535,-7.13,3.39,2.91
1.545,-5.55,3.03,4.10
1.550,-2.93,2.07,4.53
1.561,-0.08,0.94,3.97
1.572,2.72,-0.19,2.38
1.577,2.71,-0.21,2.37
1.586,2.72,-0.56,-0.61
1.596,0.86,0.43,-1.27
1.601,0.86,0.35,-1.29
1.610,-2.62,2.25,1.08
1.620,-3.20,2.39,2.39
1.625,-2.73,2.09,3.03
1.636,-1.57,1.50,3.17
1.645,-0.33,0.78,2.95
1.650,1.01,0.15,2.30
1.660,2.03,-0.31,1.41
1.670,2.05,-0.50,0.58
1.674,1.15,-0.21,-0.02
1.684,0.26,0.22,-0.25
1.695,-0.19,0.31,0.10
1.699,-0.19,0.31,0.11
1.710,-0.35,-0.04,1.03
1.721,0.18,-1.09,0.93
1.726,0.18,-1.09,0.92
1.735,0.61,-1.37,-1.42
1.745,0.42,-0.96,-1.82
