time,x,y,z
0.015,-0.09,0.02,0.14
0.015,-0.06,-0.00,0.02
0.022,-0.00,0.01,-0.03
0.027,-0.01,0.04,-0.14
0.040,0.08,0.01,-0.15
0.044,0.13,0.03,-0.15
0.050,-0.05,0.15,-0.13
0.058,-0.12,0.19,-0.06
0.067,0.16,0.02,0.00
0.073,0.15,0.02,0.00
0.085,0.17,0.02,0.05
0.092,0.11,0.06,0.08
0.098,0.11,0.05,0.01
0.107,0.10,0.05,-0.05
0.117,0.05,0.02,-0.05
0.122,-0.09,-0.04,-0.04
0.137,-0.15,-0.09,-0.03
0.142,-0.15,-0.16,-0.01
0.148,-0.17,-0.19,-0.00
0.157,-0.15,-0.21,-0.02
0.177,-0.15,-0.18,-0.03
0.179,-0.21,-0.10,0.03
0.183,-0.24,-0.13,0.08
0.192,-0.16,-0.09,0.15
0.198,-0.00,0.11,0.18
0.208,0.08,0.09,0.10
0.216,0.31,0.11,0.06
0.223,0.27,0.15,0.07
0.232,0.02,0.09,0.13
0.242,-0.21,-0.02,0.18
0.258,-0.21,-0.06,0.14
0.259,-0.08,-0.04,0.07
0.268,-0.03,-0.06,-0.02
0.274,-0.01,-0.06,-0.07
0.288,-0.02,-0.10,-0.08
0.293,-0.02,-0.08,-0.11
0.298,0.02,-0.02,-0.10
0.307,0.02,0.05,-0.08
0.329,0.05,0.04,-0.06
0.330,0.15,-0.02,-0.02
0.346,0.22,-0.11,0.02
0.348,0.10,-0.05,0.08
0.349,0.10,-0.05,0.08
0.357,-0.05,-0.05,0.12
0.367,-0.05,-0.07,0.07
0.374,-0.04,-0.06,0.08
0.385,-0.06,0.05,0.08
0.392,-0.19,0.28,-0.05
0.399,-0.08,0.47,-0.25
0.407,0.19,0.55,-0.40
0.419,0.44,0.50,-0.38
0.426,0.55,0.26,-0.28
0.433,0.28,0.11,-0.12
0.443,-0.06,-0.13,-0.01
0.459,-0.37,-0.50,0.09
0.463,-0.36,-0.49,0.09
0.478,-0.18,-0.24,0.21
0.480,-0.19,-0.24,0.21
0.485,-0.08,-0.28,0.16
0.492,-0.12,-0.25,0.16
0.499,-0.12,-0.25,0.16
0.507,-0.08,-0.13,0.17
0.517,-0.00,-0.10,0.13
0.522,-0.02,-0.08,0.10
0.532,-0.14,-0.03,0.06
0.542,-0.19,-0.03,0.02
0.549,-0.19,-0.03,0.03
0.557,-0.03,0.01,0.01
0.567,-0.06,0.04,-0.03
0.572,-0.07,0.04,-0.03
0.589,-0.02,0.13,-0.03
0.592,0.08,0.17,-0.07
0.602,0.03,0.07,-0.14
0.608,0.15,-0.03,-0.15
0.619,0.22,0.15,-0.11
0.624,0.12,0.06,-0.05
0.632,0.05,-0.01,-0.03
0.642,-0.13,0.06,-0.11
0.647,-0.13,0.06,-0.11
0.658,-0.11,0.19,-0.11
0.666,0.04,-0.05,-0.13
0.673,0.03,-0.05,-0.13
0.689,0.15,-0.06,-0.05
0.702,0.04,-0.12,0.03
0.704,0.03,-0.11,0.03
0.705,-0.01,-0.48,0.07
0.715,0.08,-0.85,0.19
0.720,-0.04,-0.54,0.23
0.736,-0.14,-0.40,0.27
0.742,-0.20,-0.42,0.18
0.746,-0.16,-0.12,0.11
0.755,-0.02,-0.15,0.01
0.767,0.09,-0.31,-0.03
0.772,0.21,-0.16,-0.06
0.781,0.13,-0.41,-0.05
0.790,-0.16,-0.67,0.00
0.797,-0.16,-0.66,0.00
0.808,-0.10,-0.39,-0.04
0.816,0.17,-0.16,-0.20
0.823,0.16,-0.16,-0.19
0.846,0.03,-0.05,-0.07
0.848,0.05,0.14,-0.20
0.849,0.08,-0.02,-0.04
0.859,-0.14,-0.13,0.10
0.861,-0.22,0.16,0.22
0.870,-0.29,0.79,0.25
0.891,-0.23,0.76,0.32
0.896,-0.01,0.31,0.15
0.897,0.16,0.27,0.06
0.906,0.14,0.12,0.05
0.910,0.02,-0.04,-0.06
0.920,0.05,-0.19,-0.06
0.932,-0.10,0.25,0.01
0.936,-0.19,0.31,-0.01
0.949,-0.40,-0.67,-0.19
0.956,-0.08,-0.65,-0.29
0.962,-0.38,-1.54,-0.29
0.973,-0.19,-1.57,-0.46
0.984,-0.24,-1.23,-0.37
0.987,-0.20,-0.74,-0.31
0.996,-0.87,2.66,-0.13
1.007,-1.15,8.22,0.81
1.012,0.47,4.04,1.20
1.026,0.24,-1.27,-0.08
1.039,-0.10,-0.59,0.07
1.042,0.07,0.36,0.55
1.049,-0.06,0.13,0.51
1.057,-0.12,-0.05,0.34
1.061,-0.02,0.19,0.17
1.073,0.02,0.12,0.10
1.085,-0.06,0.08,-0.05
1.087,-0.07,0.07,-0.05
1.099,-0.23,0.16,-0.20
1.107,-0.31,0.13,-0.29
1.111,-0.30,0.18,-0.35
1.123,-0.25,0.22,-0.36
1.134,-0.17,0.20,-0.35
1.139,0.04,0.23,-0.40
1.158,0.12,0.28,-0.32
1.162,0.13,0.31,-0.23
1.164,0.17,0.35,-0.23
1.174,0.18,0.34,-0.13
1.182,0.14,0.31,0.01
1.186,0.08,0.30,0.12
1.197,0.09,0.24,0.23
1.209,0.16,0.11,0.32
1.213,0.15,0.12,0.31
1.221,0.11,0.01,0.45
1.231,0.00,0.08,0.38
1.236,-0.00,0.09,0.38
1.250,-0.50,0.02,-0.30
1.256,-0.89,-0.06,-0.10
1.262,-0.31,0.11,0.61
1.271,-0.45,0.02,0.09
1.291,-0.71,-0.14,0.05
1.296,-0.62,-0.19,0.24
1.296,-0.74,-0.17,0.15
1.305,-0.68,-0.19,0.08
1.310,-0.91,-0.33,0.06
1.324,-0.84,-0.40,0.09
1.333,-0.84,-0.39,0.09
1.341,-0.66,-0.29,0.40
1.346,-0.59,0.02,0.66
1.357,-1.07,-0.30,0.48
1.361,-0.82,-0.42,0.43
1.374,-0.43,-0.06,0.43
1.388,-0.40,0.12,0.32
1.392,-0.39,0.09,0.13
1.402,-0.27,0.16,-0.08
1.406,-0.32,0.30,-0.38
1.411,-0.34,0.28,-0.37
1.422,-0.36,0.31,-0.53
1.445,-0.25,0.30,-0.55
1.446,-0.27,0.29,-0.54
1.448,-0.18,0.24,-0.41
1.455,-0.20,0.24,-0.40
1.460,-0.15,0.25,-0.33
1.471,-0.14,0.25,-0.29
1.483,-0.17,0.26,-0.27
1.487,-0.17,0.32,-0.27
1.500,-0.15,0.35,-0.22
1.507,-0.13,0.40,-0.18
1.512,-0.14,0.47,-0.16
1.522,-0.14,0.50,-0.14
1.530,0.00,0.56,-0.31
1.535,-0.04,0.54,-0.30
1.552,0.00,0.53,-0.37
1.562,-0.17,0.56,-0.60
1.564,-0.22,0.53,-0.58
1.571,-0.28,0.59,-0.57
1.601,-0.42,0.64,-0.53
1.602,-0.28,0.66,-0.62
1.603,-0.23,0.66,-0.54
1.606,-0.25,0.74,-0.56
1.610,-0.12,0.82,-0.37
1.620,-0.10,0.90,-0.26
1.624,0.07,0.94,-0.17
1.636,0.25,0.97,-0.02
1.652,0.27,0.92,0.10
1.657,0.17,0.86,0.15
1.667,0.05,0.90,0.21
1.670,-0.02,0.98,0.27
1.675,0.05,1.11,0.30
1.686,0.10,1.20,0.34
1.713,-0.08,1.21,0.24
1.721,-0.12,1.20,0.13
1.723,-0.14,1.15,-0.02
1.726,-0.22,1.14,-0.21
1.729,-0.29,1.18,-0.21
1.734,-0.19,1.26,-0.16
1.745,-0.01,1.23,-0.11
1.750,0.19,1.16,-0.10
1.760,0.45,1.16,-0.01
1.770,0.65,1.03,0.19
1.775,0.65,0.82,0.36
1.785,0.55,0.72,0.59
1.805,0.41,0.68,0.97
1.809,0.29,0.62,1.24
1.812,0.47,0.38,1.49
1.819,0.69,-0.02,1.56
1.824,0.65,-0.09,1.59
1.835,0.34,-0.19,1.81
1.845,0.05,-0.05,1.96
1.860,0.00,-0.15,2.00
1.870,-0.31,-0.22,2.32
1.872,-0.63,-0.13,2.51
1.876,-0.97,0.18,2.58
1.886,-1.03,0.82,1.95
1.895,-0.61,1.69,1.11
1.903,0.06,2.50,0.68
1.910,0.83,3.18,-0.07
1.920,1.87,3.73,-1.32
1.925,2.85,3.90,-1.81
1.935,3.37,3.77,-1.54
1.946,3.33,3.49,-0.82
1.954,3.31,3.38,-0.76
1.962,2.49,2.87,-0.30
1.972,1.01,0.97,0.88
1.974,1.01,0.88,0.93
1.993,-0.40,-0.57,3.73
1.997,-1.39,-0.87,4.51
2.000,-1.25,-0.51,3.85
2.010,0.08,0.52,2.22
2.027,1.28,1.48,0.29
2.032,2.01,2.14,-1.15
2.034,2.26,2.28,-1.58
2.045,1.80,1.92,-1.88
2.052,0.73,1.39,-2.22
2.059,-0.20,0.87,-1.94
2.070,-0.58,0.17,-0.83
2.075,-0.55,0.08,-0.77
2.088,0.04,-0.74,-0.05
2.095,1.04,-1.45,0.39
2.102,1.44,-1.89,0.97
2.111,1.15,-2.28,1.14
2.129,0.48,-2.64,0.83
2.132,-0.52,-2.88,0.29
2.134,-1.42,-2.80,-0.20
2.144,-1.37,-2.08,-1.21
2.152,-1.37,-2.21,-1.03
2.159,-0.58,-2.10,-1.65
2.179,0.36,-1.98,-2.55
2.180,0.37,-2.09,-2.37
2.188,0.42,-2.78,-3.71
2.193,0.24,-3.17,-4.01
2.197,0.27,-3.26,-3.84
2.208,0.00,-3.89,-4.01
2.218,-0.37,-4.69,-4.12
2.223,-1.14,-5.29,-4.13
2.238,-1.91,-5.44,-4.02
2.243,-1.95,-5.13,-4.02
2.248,-1.31,-4.60,-4.03
2.258,-0.84,-4.39,-4.05
2.268,-0.24,-4.47,-3.91
2.273,0.40,-4.84,-3.93
2.283,0.72,-5.33,-3.79
2.293,-0.28,-4.85,-2.34
2.298,-0.34,-4.83,-2.18
2.307,0.03,-4.55,-0.85
2.317,0.48,-4.76,0.13
2.323,0.41,-4.72,0.25
2.335,0.62,-4.74,1.21
2.343,0.63,-4.64,1.88
2.351,0.48,-4.46,2.64
2.358,0.21,-4.38,3.36
2.368,-0.20,-4.52,3.96
2.372,-0.59,-4.61,4.57
2.383,-0.90,-4.62,5.20
2.387,-0.73,-4.68,5.65
2.398,-0.34,-4.76,6.33
2.408,-0.04,-4.83,6.90
2.413,0.17,-5.03,7.12
2.422,0.02,-5.22,7.29
2.434,-0.59,-5.28,7.31
2.437,-1.37,-5.13,7.18
2.448,-1.59,-4.78,6.77
2.457,-1.24,-4.54,5.94
2.463,-0.63,-4.28,5.12
2.472,0.11,-3.99,4.63
2.482,0.70,-3.77,4.16
2.489,1.15,-3.54,3.52
2.497,1.46,-3.21,2.93
2.507,1.61,-2.83,2.52
2.517,1.65,-2.54,2.25
2.522,1.77,-2.46,1.99
2.533,2.02,-2.52,1.79
2.537,2.34,-2.70,1.64
2.548,2.61,-2.96,1.47
2.558,2.74,-3.13,1.19
2.563,2.83,-3.16,1.16
2.573,3.02,-3.10,1.29
2.583,3.43,-2.87,1.32
2.588,3.31,-2.67,1.30
2.598,4.63,-2.73,1.11
2.607,4.99,-2.93,0.92
2.614,5.33,-3.19,0.83
2.623,5.54,-3.51,0.80
2.632,5.24,-3.55,0.70
2.638,4.66,-3.08,0.72
2.651,4.39,-2.67,0.98
2.658,4.40,-2.69,1.22
2.662,4.27,-2.85,1.49
2.672,3.97,-3.06,1.90
2.683,3.57,-3.28,2.36
2.687,2.84,-3.27,2.56
2.697,2.79,-3.03,2.53
2.708,2.23,-2.99,2.68
2.713,2.19,-2.74,2.66
2.723,2.21,-2.35,2.15
2.732,2.06,-1.53,1.63
2.737,2.04,-1.27,1.61
2.748,2.60,-0.13,0.59
2.758,3.34,0.02,0.29
2.764,3.45,-0.10,-0.24
2.773,3.02,0.02,-0.80
2.782,2.62,0.49,-1.04
2.787,2.79,0.92,-1.18
2.799,2.99,1.08,-1.38
2.807,2.83,1.24,-1.42
2.813,2.89,1.75,-1.45
2.822,2.93,1.97,-1.47
2.833,3.08,2.51,-1.35
2.838,3.02,2.95,-1.29
2.848,3.00,3.40,-1.27
2.857,3.25,3.74,-1.21
2.863,3.67,4.12,-1.29
2.872,4.07,4.47,-1.33
2.881,4.47,4.70,-1.49
2.888,4.52,4.85,-1.50
2.897,4.37,4.96,-1.64
2.907,3.66,5.08,-2.01
2.914,3.71,5.20,-2.02
2.922,3.30,5.46,-2.20
2.932,3.66,5.59,-2.33
2.937,3.90,5.65,-2.30
2.949,3.94,5.73,-2.29
2.957,4.01,5.70,-2.14
2.961,4.01,5.68,-2.03
2.971,3.98,5.74,-1.96
2.983,3.99,5.83,-1.76
2.986,4.04,5.85,-1.53
2.996,3.93,5.74,-1.36
3.007,3.95,5.66,-1.26
3.012,4.12,5.68,-1.24
3.022,4.28,5.68,-1.21
3.031,4.17,5.98,-1.09
3.038,4.15,5.96,-1.07
3.047,4.20,6.06,-0.97
3.056,4.50,6.11,-0.46
3.062,4.46,6.06,-0.44
3.072,4.51,5.91,-0.12
3.085,4.43,5.84,0.12
3.087,4.38,5.76,0.47
3.097,4.32,5.48,0.89
3.107,4.19,5.17,1.04
3.111,4.12,5.04,1.22
3.121,4.13,4.93,1.47
3.132,4.13,4.82,1.69
3.137,4.14,4.55,1.86
3.146,4.41,3.97,1.91
3.157,4.55,3.35,1.87
3.163,4.23,2.92,1.57
3.172,3.75,2.73,1.17
3.176,3.58,2.70,0.76
3.187,3.64,2.69,0.37
3.199,3.25,2.69,-0.16
3.201,3.19,2.51,-0.15
3.211,2.42,3.18,-1.24
3.221,2.48,3.02,-1.42
3.226,2.79,2.60,-1.52
3.236,3.09,1.91,-1.26
3.247,3.05,1.08,-0.73
3.251,2.73,0.47,-0.43
3.261,2.28,0.04,-0.02
3.271,1.78,-0.36,0.43
3.275,1.21,-0.79,0.57
3.285,0.81,-1.05,0.52
3.298,0.70,-1.05,0.40
3.300,0.69,-0.98,0.18
3.310,0.74,-0.96,-0.05
3.321,0.79,-1.10,-0.39
3.325,0.80,-1.29,-0.38
3.339,0.83,-2.01,-0.70
3.348,1.01,-2.53,-1.02
3.350,1.02,-2.71,-0.96
3.360,0.77,-2.84,-1.09
3.370,0.96,-2.95,-1.03
3.376,1.32,-3.22,-0.97
3.385,1.20,-3.59,-0.85
3.396,0.60,-3.90,-0.63
3.400,0.02,-4.09,-0.31
3.411,-0.34,-4.23,0.08
3.421,-0.54,-4.40,0.51
3.426,-0.77,-4.69,1.00
3.438,-0.99,-4.88,1.39
3.457,-1.16,-4.88,1.68
3.458,-1.11,-4.99,1.73
3.476,-1.45,-4.76,1.82
3.478,-2.39,-4.50,1.35
3.479,-2.36,-4.57,1.42
3.488,-1.91,-5.08,1.10
3.500,-1.04,-5.40,0.94
3.505,-0.82,-5.58,0.79
3.519,-0.94,-5.64,0.73
3.522,-1.10,-5.72,0.71
3.526,-1.58,-5.72,0.94
3.536,-2.07,-5.68,1.49
3.552,-2.26,-5.81,1.91
3.556,-2.23,-6.08,2.16
3.563,-2.37,-6.33,2.36
3.571,-2.57,-6.37,2.31
3.577,-2.57,-6.34,2.34
3.597,-2.14,-6.26,2.19
3.600,-1.56,-6.29,2.08
3.602,-1.39,-6.41,1.95
3.611,-1.19,-6.53,1.59
3.621,-1.10,-6.51,1.43
3.626,-1.49,-6.37,1.40
3.637,-1.95,-6.49,1.29
3.649,-2.51,-6.69,1.31
3.653,-2.53,-6.62,1.29
3.662,-2.54,-6.57,1.72
3.673,-2.22,-6.48,1.88
3.678,-2.24,-6.39,1.86
3.687,-1.02,-6.41,2.16
3.719,-1.05,-6.31,2.14
3.721,-0.79,-6.14,2.23
3.722,-0.65,-5.94,2.09
3.723,-0.53,-5.60,2.00
3.726,-0.60,-5.31,2.01
3.736,-0.76,-5.14,1.84
3.747,-0.98,-5.11,1.55
3.751,-1.25,-5.05,1.18
3.762,-1.08,-4.79,0.88
3.772,1.15,-4.22,1.31
3.777,1.13,-4.09,1.28
3.786,1.84,-4.01,1.40
3.796,0.34,-3.58,1.07
3.802,0.32,-3.46,1.04
3.811,-0.31,-2.30,1.15
3.823,-0.32,-2.16,1.13
3.827,0.06,-1.67,1.02
3.838,0.67,-1.34,1.24
3.847,1.13,-1.10,1.40
3.851,1.37,-0.80,1.24
3.864,1.32,-0.40,0.95
3.871,1.33,-0.14,0.64
3.876,1.39,-0.07,0.17
3.886,1.42,0.02,-0.30
3.898,1.65,0.24,-0.64
3.903,1.97,0.46,-0.82
3.916,1.99,0.64,-0.85
3.923,2.37,0.66,-0.41
3.926,2.39,0.83,-0.45
3.939,2.89,0.62,-0.30
3.961,3.48,0.51,-0.14
3.963,3.79,0.70,0.10
3.964,3.49,1.37,0.35
3.965,2.87,2.09,0.49
3.975,2.63,2.56,0.76
3.985,2.61,2.58,0.95
3.990,2.44,2.43,0.82
4.000,2.16,2.57,0.52
4.010,2.16,3.08,0.25
4.015,2.31,3.57,-0.09
4.025,2.34,3.85,-0.82
4.037,2.60,4.29,-1.32
4.042,3.13,4.87,-1.44
4.050,3.54,5.43,-1.56
4.060,3.81,5.88,-1.52
4.075,4.06,6.09,-1.27
4.079,4.28,6.07,-0.80
4.085,4.34,6.05,-0.50
4.090,4.35,6.09,-0.46
4.101,3.92,6.54,0.23
4.110,3.11,6.79,0.53
4.115,2.24,6.87,0.71
4.125,1.47,6.81,0.83
4.136,0.90,6.67,0.97
4.141,0.67,6.46,1.08
4.164,0.77,6.22,1.19
4.165,0.75,5.95,1.03
4.166,0.78,5.72,0.36
4.177,1.09,5.71,-0.23
4.185,1.27,5.84,-0.70
4.189,1.41,5.94,-1.19
4.200,1.38,5.86,-1.15
4.211,0.82,5.80,-1.24
4.235,0.79,5.71,-1.21
4.236,0.26,4.86,-0.82
