time,x,y,z
0.017,-0.18,0.05,-0.32
0.018,-0.33,-0.13,-0.44
0.019,-0.53,-0.03,-0.30
0.034,-0.55,0.06,-0.07
0.035,-0.33,0.03,-0.21
0.043,0.11,0.07,-0.35
0.052,0.34,0.10,-0.17
0.056,0.33,0.13,-0.14
0.068,0.39,0.09,0.13
0.077,0.45,0.12,0.34
0.081,0.44,0.13,0.36
0.092,0.32,0.08,0.50
0.103,0.23,0.11,0.64
0.108,0.24,0.15,0.70
0.128,0.23,0.15,0.71
0.132,0.36,0.19,0.64
0.133,0.36,0.18,0.65
0.145,0.18,0.11,0.20
0.151,-0.02,0.02,-0.16
0.156,-0.20,-0.11,-0.39
0.167,-0.46,-0.20,-0.38
0.177,-0.45,-0.21,-0.36
0.195,-0.74,-0.21,-0.25
0.198,-0.91,-0.21,-0.16
0.205,-0.85,-0.16,-0.13
0.206,-0.67,-0.13,-0.19
0.216,-0.45,-0.15,-0.18
0.231,-0.21,-0.17,-0.11
0.232,-0.01,-0.20,0.01
0.241,0.15,-0.19,0.09
0.257,0.22,-0.09,-0.06
0.258,0.22,-0.09,-0.06
0.283,0.13,-0.06,-0.18
0.286,-0.25,-0.08,-0.21
0.289,-0.25,-0.08,-0.21
0.295,-0.39,-0.19,-0.07
0.301,-0.38,-0.19,-0.07
0.305,-0.25,-0.28,-0.13
0.317,-0.07,-0.31,-0.27
0.326,0.04,-0.27,-0.35
0.333,-0.04,-0.17,-0.30
0.340,-0.19,-0.07,-0.16
0.351,-0.28,0.03,0.05
0.356,-0.32,0.08,0.22
0.378,-0.18,0.08,0.34
0.381,0.34,-0.06,0.27
0.383,0.34,-0.05,0.27
0.409,0.41,-0.15,0.11
0.410,0.26,-0.31,-0.27
0.410,0.26,-0.32,-0.27
0.417,0.16,-0.34,-0.39
0.422,-0.00,-0.39,-0.31
0.433,-0.34,-0.24,-0.16
0.442,-0.62,0.03,-0.09
0.449,-0.71,0.20,-0.05
0.457,-0.59,0.13,0.09
0.467,-0.32,-0.00,0.16
0.473,-0.08,-0.08,0.00
0.484,0.06,-0.12,-0.19
0.493,0.11,-0.12,-0.29
0.515,0.09,-0.10,-0.33
0.521,0.04,-0.10,-0.30
0.523,-0.00,-0.10,-0.20
0.523,0.02,-0.06,-0.00
0.539,0.11,-0.06,0.25
0.543,0.19,-0.06,0.38
0.547,0.19,-0.05,0.37
0.556,0.02,0.03,0.26
0.565,0.02,0.04,0.02
0.573,0.01,0.00,-0.13
0.582,-0.06,-0.06,-0.19
0.592,-0.11,-0.10,-0.16
0.599,0.04,-0.10,-0.20
0.605,0.48,-0.20,-0.33
0.616,0.57,-0.24,0.15
0.622,0.24,0.06,0.70
0.632,0.27,0.41,0.30
0.643,0.39,0.44,0.11
0.658,0.19,0.23,0.53
0.664,0.12,0.01,0.65
0.667,0.14,-0.11,0.34
0.670,0.14,-0.11,0.34
0.684,-0.48,0.04,-0.15
0.691,-0.58,0.11,-0.34
0.698,-0.57,0.13,-0.33
0.706,-0.20,0.10,-0.59
0.715,0.12,0.08,-0.23
0.721,0.34,0.06,0.15
0.730,0.33,0.10,0.28
0.740,0.15,0.15,0.13
0.748,-0.10,0.17,-0.12
0.756,-0.24,0.13,0.27
0.770,-0.15,-0.02,0.33
0.775,-0.10,0.08,0.33
0.796,-0.03,0.11,0.40
0.799,0.10,0.02,0.32
0.804,0.10,0.02,0.30
0.805,0.24,-0.03,-0.03
