time,x,y,z
0.004,0.08,-0.18,-0.05
0.005,0.09,-0.15,-0.06
0.006,0.08,-0.13,-0.07
0.013,0.09,-0.11,-0.05
0.022,0.07,-0.08,-0.03
0.023,0.05,-0.07,-0.01
0.026,0.04,-0.04,0.02
0.034,0.01,0.00,0.06
0.036,0.00,0.03,0.07
0.039,-0.03,0.04,0.08
0.044,-0.03,0.01,0.09
0.057,-0.04,-0.01,0.09
0.059,-0.02,-0.01,0.10
0.061,-0.01,-0.02,0.09
0.075,0.01,-0.09,0.07
0.077,0.02,-0.13,0.05
0.077,0.03,-0.14,0.04
0.090,0.03,-0.14,0.05
0.091,0.01,-0.12,0.04
0.092,-0.00,-0.09,0.05
0.094,-0.01,-0.07,0.07
0.110,-0.01,-0.02,0.07
0.111,-0.04,0.02,0.05
0.112,-0.05,-0.01,0.05
0.119,-0.04,-0.02,0.04
0.121,-0.03,-0.01,0.04
0.124,-0.00,-0.02,0.04
0.133,0.01,-0.05,0.02
0.134,0.02,-0.05,0.01
0.139,0.02,-0.05,0.01
0.149,0.01,-0.04,-0.01
0.150,0.01,-0.05,-0.03
0.154,-0.02,-0.06,-0.07
0.159,-0.02,-0.08,-0.09
0.175,-0.05,-0.10,-0.09
0.176,-0.08,-0.13,-0.07
0.177,-0.10,-0.13,-0.05
0.184,-0.12,-0.12,-0.04
0.187,-0.11,-0.08,-0.03
0.189,-0.09,-0.05,-0.02
0.199,-0.05,0.01,-0.02
0.201,0.01,0.04,-0.01
0.203,0.05,0.09,0.00
0.210,0.11,0.12,0.02
0.223,0.15,0.18,0.03
0.225,0.07,0.07,0.02
0.226,-0.08,-0.09,-0.01
0.243,-0.16,-0.12,-0.02
0.244,-0.18,-0.05,-0.01
0.244,-0.16,-0.02,-0.01
0.245,-0.14,-0.04,-0.01
0.257,-0.14,-0.05,-0.02
0.258,-0.13,-0.06,-0.03
0.259,-0.14,-0.06,-0.05
0.267,-0.16,-0.05,-0.06
0.268,-0.17,-0.06,-0.06
0.274,-0.16,-0.08,-0.07
0.282,-0.15,-0.10,-0.07
0.283,-0.15,-0.10,-0.07
0.289,-0.14,-0.12,-0.06
0.294,-0.13,-0.12,-0.07
0.299,-0.13,-0.13,-0.07
0.305,-0.13,-0.12,-0.07
0.309,-0.12,-0.12,-0.06
0.323,-0.12,-0.12,-0.08
0.325,-0.12,-0.11,-0.08
0.326,-0.11,-0.12,-0.07
0.334,-0.12,-0.11,-0.08
0.335,-0.10,-0.10,-0.09
0.339,-0.10,-0.09,-0.07
0.344,-0.08,-0.07,-0.07
0.363,-0.10,-0.06,-0.01
0.364,-0.09,0.02,0.06
0.365,-0.09,0.10,0.14
0.366,-0.13,0.07,0.21
0.381,-0.14,0.03,0.26
0.382,-0.14,0.03,0.32
0.383,-0.14,0.03,0.40
0.384,-0.10,0.07,0.49
0.394,0.01,0.18,0.46
0.395,0.04,0.05,0.43
0.400,-0.04,-0.24,0.38
0.404,-0.02,-0.22,0.34
0.409,0.07,-0.13,0.30
0.440,0.08,-0.14,0.23
0.443,0.03,-0.16,0.13
0.445,0.03,-0.15,0.06
0.447,0.04,-0.15,0.00
0.449,0.03,-0.18,-0.01
0.450,0.04,-0.18,-0.01
0.451,0.01,-0.17,-0.01
0.453,-0.01,-0.12,-0.01
0.454,-0.05,-0.08,-0.02
0.461,-0.07,-0.04,-0.02
0.463,-0.07,-0.02,-0.02
0.470,-0.07,-0.02,-0.01
0.474,-0.07,-0.03,-0.01
0.484,-0.06,-0.04,-0.02
0.486,-0.06,-0.06,-0.03
0.489,-0.05,-0.07,-0.06
0.512,-0.04,-0.07,-0.08
0.512,-0.02,-0.09,-0.10
0.513,-0.02,-0.10,-0.14
0.514,-0.00,-0.09,-0.19
0.514,-0.01,-0.11,-0.27
0.522,-0.04,-0.12,-0.34
0.524,-0.08,-0.12,-0.41
0.544,-0.03,-0.14,-0.44
0.545,-0.00,-0.12,-0.47
0.546,-0.02,-0.17,-0.49
0.547,-0.03,-0.17,-0.51
0.548,-0.05,-0.15,-0.53
0.554,-0.07,-0.12,-0.56
0.558,-0.09,-0.07,-0.59
0.572,-0.11,-0.04,-0.60
0.573,-0.11,-0.01,-0.60
0.574,-0.13,-0.02,-0.60
0.580,-0.15,-0.03,-0.57
0.585,-0.17,-0.04,-0.51
0.587,-0.18,-0.03,-0.47
0.592,-0.20,-0.04,-0.40
0.597,-0.22,-0.05,-0.31
0.603,-0.23,-0.05,-0.25
0.608,-0.27,-0.06,-0.21
0.612,-0.30,-0.07,-0.18
0.620,-0.32,-0.00,-0.19
0.622,-0.33,0.04,-0.20
0.653,-0.35,0.02,-0.20
0.655,-0.34,0.03,-0.21
0.659,-0.34,0.02,-0.22
0.660,-0.35,-0.01,-0.23
0.660,-0.35,-0.04,-0.25
0.661,-0.36,-0.08,-0.28
0.662,-0.37,-0.14,-0.34
0.663,-0.34,-0.19,-0.37
0.669,-0.33,-0.25,-0.41
0.672,-0.31,-0.29,-0.42
0.684,-0.29,-0.34,-0.43
0.686,-0.26,-0.31,-0.44
0.688,-0.25,-0.28,-0.46
0.693,-0.25,-0.25,-0.46
0.700,-0.24,-0.20,-0.44
0.703,-0.23,-0.16,-0.39
0.708,-0.23,-0.12,-0.37
0.717,-0.22,-0.10,-0.33
0.719,-0.23,-0.05,-0.31
0.723,-0.20,-0.03,-0.27
0.733,-0.17,0.00,-0.24
0.736,-0.14,0.00,-0.22
0.738,-0.12,0.03,-0.20
0.749,-0.07,0.05,-0.21
0.750,-0.02,0.07,-0.21
0.753,0.03,0.09,-0.25
0.759,0.07,0.10,-0.27
0.775,0.11,0.08,-0.31
0.777,0.13,0.04,-0.32
0.778,0.17,0.02,-0.33
0.782,0.19,0.01,-0.34
0.783,0.20,-0.03,-0.33
0.802,0.21,-0.06,-0.32
0.806,0.19,-0.11,-0.31
0.808,0.16,-0.17,-0.29
0.810,0.13,-0.23,-0.28
0.810,0.08,-0.27,-0.28
0.816,0.07,-0.20,-0.27
