time,x,y,z
0.003,0.11,-0.01,-0.01
0.004,0.11,0.01,-0.01
0.005,0.11,0.01,-0.00
0.013,0.09,0.02,0.00
0.014,0.08,0.01,0.00
0.021,0.04,0.00,0.01
0.024,0.02,-0.00,0.00
0.036,-0.01,-0.00,0.00
0.037,-0.06,-0.00,-0.01
0.041,-0.09,0.01,-0.01
0.045,-0.12,-0.01,-0.02
0.052,-0.13,-0.02,-0.02
0.056,-0.12,-0.03,-0.02
0.061,-0.12,-0.03,-0.03
0.073,-0.11,-0.02,-0.02
0.074,-0.07,-0.02,-0.02
0.080,-0.04,-0.00,-0.02
0.081,-0.00,0.01,-0.01
0.090,0.03,0.03,-0.02
0.091,0.06,0.03,-0.02
0.100,0.08,0.03,-0.02
0.101,0.10,0.03,-0.02
0.104,0.11,0.02,-0.02
0.110,0.10,0.02,-0.02
0.128,0.09,0.01,-0.02
0.129,0.07,0.01,-0.02
0.130,0.05,0.01,-0.02
0.130,0.03,0.01,-0.01
0.136,0.01,-0.00,-0.01
0.147,-0.01,-0.02,-0.02
0.150,-0.02,-0.03,-0.01
0.151,-0.03,-0.03,-0.02
0.163,-0.05,-0.02,-0.02
0.164,-0.04,-0.01,-0.02
0.170,-0.03,-0.00,-0.01
0.171,-0.04,0.00,-0.00
0.175,-0.03,0.02,-0.00
0.184,-0.03,0.02,0.00
0.185,-0.01,0.03,-0.00
0.190,-0.01,0.03,-0.00
0.195,-0.00,0.04,-0.00
0.207,0.02,0.03,-0.00
0.208,0.02,0.02,-0.01
0.209,0.02,0.01,-0.01
0.218,0.02,-0.00,-0.01
0.220,0.02,-0.00,-0.02
0.225,0.02,-0.01,-0.02
0.229,0.01,-0.02,-0.04
0.245,0.00,-0.03,-0.03
0.246,0.00,-0.04,-0.03
0.247,-0.01,-0.04,-0.03
0.262,-0.01,-0.03,-0.03
0.264,-0.02,-0.03,-0.03
0.268,-0.01,-0.03,-0.04
0.269,-0.01,-0.02,-0.03
0.281,-0.01,0.01,-0.03
0.282,-0.00,0.01,-0.02
0.282,-0.01,0.02,-0.03
0.294,0.00,0.02,-0.02
0.295,0.01,0.02,-0.02
0.296,0.00,0.02,-0.02
0.300,0.00,0.01,-0.01
0.304,0.00,0.01,-0.02
0.312,0.00,0.00,-0.01
0.319,-0.01,-0.01,-0.01
0.320,-0.01,-0.02,-0.00
0.324,-0.01,-0.02,-0.00
0.336,-0.01,-0.02,-0.00
0.340,-0.01,-0.03,-0.00
0.341,-0.01,-0.02,0.00
0.361,-0.01,-0.01,0.00
0.363,-0.00,-0.01,0.01
0.366,-0.01,-0.00,0.01
0.369,-0.00,0.00,0.01
0.370,0.01,0.02,0.01
0.372,-0.00,0.01,0.01
0.378,-0.00,0.00,0.01
0.384,-0.00,0.00,0.01
0.385,0.00,-0.01,0.01
0.390,-0.01,-0.01,0.01
0.396,-0.01,-0.01,0.01
0.423,-0.01,-0.01,0.00
0.425,-0.01,-0.01,0.01
0.427,-0.00,0.00,-0.00
0.430,0.00,-0.01,0.01
0.432,0.00,0.00,-0.00
0.434,0.01,-0.00,0.01
0.435,0.02,0.00,0.01
0.437,0.02,0.01,0.01
0.460,0.02,0.02,0.01
0.461,0.02,0.03,0.02
0.462,0.01,0.02,0.01
