time,x,y,z
0.017,0.12,-0.04,0.09
0.018,-0.00,-0.06,-0.24
0.027,-0.08,-0.05,-0.48
0.032,-0.12,-0.02,-0.60
0.041,-0.27,0.06,-0.29
0.048,-0.26,0.06,-0.30
0.057,-0.24,0.12,-0.14
0.069,-0.18,0.17,-0.08
0.079,-0.09,0.16,0.02
0.082,-0.04,0.04,0.03
0.092,0.09,-0.08,-0.05
0.097,0.16,-0.22,-0.07
0.116,0.17,-0.23,0.00
0.118,0.10,-0.13,0.12
0.123,0.04,-0.02,0.20
0.133,-0.03,0.03,0.20
0.143,-0.11,0.08,0.14
0.147,-0.09,0.07,-0.01
0.160,-0.03,0.04,-0.15
0.168,-0.06,0.02,-0.16
0.173,-0.10,0.04,-0.08
0.183,-0.11,0.04,-0.03
0.192,-0.05,0.02,0.08
0.198,0.01,0.00,0.11
0.207,0.05,-0.06,0.09
0.217,0.09,-0.12,0.14
0.223,0.06,-0.11,0.21
0.232,0.04,-0.06,0.25
0.239,0.07,-0.02,0.26
0.247,0.07,0.00,0.19
0.257,0.06,-0.00,0.09
0.263,0.07,-0.04,0.02
0.284,0.06,-0.07,0.03
0.287,0.01,-0.07,0.06
0.289,-0.08,-0.02,0.09
0.306,-0.05,0.00,0.06
0.307,-0.02,-0.00,-0.02
0.311,-0.07,-0.02,0.05
0.325,-0.07,-0.03,0.05
0.333,0.09,-0.12,-0.46
0.340,0.09,-0.13,-0.45
0.349,-0.25,-0.11,0.27
0.359,-0.07,-0.13,-0.00
0.364,0.03,-0.12,-0.13
0.374,-0.10,-0.12,-0.08
0.382,-0.19,-0.12,-0.06
0.390,0.00,-0.21,-0.42
0.396,0.20,-0.20,-0.25
0.421,-0.09,-0.05,0.55
0.422,-0.07,-0.05,0.55
0.423,0.24,-0.07,0.29
0.441,0.12,-0.07,0.30
0.442,-0.01,-0.07,0.24
0.450,-0.02,-0.07,0.24
0.463,0.07,-0.17,-0.14
0.464,0.06,-0.17,-0.13
0.473,0.00,-0.21,-0.16
0.483,-0.08,-0.08,-0.22
0.488,-0.08,-0.08,-0.21
0.501,-0.17,-0.06,-0.50
0.508,-0.19,-0.12,-0.21
0.512,-0.18,-0.11,-0.21
0.524,-0.10,-0.15,0.14
0.532,0.10,-0.32,0.38
0.540,0.10,-0.31,0.38
0.548,0.02,-0.15,0.01
0.559,-0.34,0.26,-0.21
0.564,-0.32,0.22,-0.05
0.596,-0.32,0.22,-0.04
0.601,0.12,-0.15,-0.41
0.603,0.05,-0.35,-0.37
0.606,-0.08,-0.22,-0.01
0.608,-0.02,-0.04,0.17
0.616,0.11,0.01,0.25
0.626,0.15,-0.01,0.16
0.633,0.02,0.01,0.04
0.640,0.01,0.10,-0.04
0.647,-0.04,0.25,-0.31
0.656,-0.10,0.29,-0.76
0.663,-0.10,0.28,-0.75
0.684,-0.04,0.60,-0.40
0.687,-0.11,0.70,-0.23
0.687,-0.11,0.70,-0.22
0.701,-0.04,0.83,0.45
0.708,-0.17,1.13,0.84
0.712,0.02,1.55,0.43
0.725,0.05,1.98,0.01
