time,x,y,z
0.014,-0.04,0.08,-0.01
0.014,0.02,0.08,-0.01
0.024,-0.15,-0.01,0.13
0.037,-0.07,-0.06,0.00
0.039,0.03,-0.10,0.02
0.044,0.03,-0.10,0.02
0.054,0.12,0.02,-0.00
0.059,0.12,0.01,-0.00
0.069,0.01,0.13,0.01
0.094,-0.06,0.01,0.07
0.097,-0.06,0.00,0.07
0.099,-0.03,0.02,0.06
0.118,-0.02,0.12,0.04
0.120,-0.03,0.12,0.01
0.120,-0.03,0.02,0.05
0.133,-0.00,-0.05,0.05
0.134,-0.02,-0.04,0.02
0.144,-0.02,-0.01,-0.02
0.159,-0.02,-0.00,0.10
0.160,-0.01,0.07,0.04
0.170,-0.01,0.07,0.04
0.182,-0.04,0.17,-0.02
0.185,-0.06,0.19,0.02
0.194,-0.05,0.20,0.03
0.209,-0.07,0.15,0.00
0.211,-0.06,0.10,0.01
0.219,-0.00,0.06,-0.02
0.246,-0.06,-0.01,-0.01
0.248,-0.06,-0.00,-0.01
0.250,-0.09,0.00,0.02
0.274,0.05,-0.11,0.06
0.275,0.05,-0.11,0.06
0.276,-0.01,0.08,-0.01
0.282,0.00,0.13,0.00
0.285,0.04,0.11,0.02
0.294,0.04,0.12,0.02
0.308,0.04,-0.02,-0.01
0.312,0.08,-0.14,0.03
0.322,0.07,-0.21,0.04
0.331,0.02,-0.12,0.02
0.334,-0.01,-0.06,-0.01
0.343,0.11,-0.19,0.02
0.358,0.14,-0.14,0.06
0.360,-0.07,0.10,-0.01
0.368,-0.14,0.21,0.01
0.405,0.04,0.07,0.01
0.407,0.04,0.07,0.01
0.409,-0.05,0.02,-0.02
0.411,-0.17,-0.02,0.02
0.412,-0.17,-0.02,0.02
0.439,-0.01,-0.00,0.00
0.443,0.08,0.19,-0.02
0.445,-0.03,0.18,-0.00
0.447,-0.03,0.05,-0.02
0.457,0.01,-0.06,0.04
0.460,0.12,-0.09,0.03
0.468,0.18,-0.11,0.03
0.480,0.05,-0.11,0.04
0.484,-0.06,-0.12,0.06
0.499,0.04,-0.09,0.04
0.505,0.19,0.03,-0.02
0.509,0.14,0.11,-0.01
0.528,0.08,0.08,0.03
0.529,0.13,0.03,0.02
0.571,0.13,0.03,0.01
0.575,0.10,-0.01,0.03
0.576,0.05,-0.09,0.01
0.577,-0.17,-0.34,0.09
0.578,-0.09,-0.27,0.01
0.578,-0.28,-0.13,-0.02
0.582,-0.14,-0.05,-0.01
0.593,0.15,0.21,-0.09
0.602,-0.12,0.29,-0.00
0.608,-0.23,0.35,-0.01
0.619,-0.28,0.42,-0.16
0.624,-0.46,0.49,-0.10
0.637,-0.62,0.24,0.17
0.644,-0.33,-0.24,0.21
0.661,0.28,-0.52,0.05
0.662,0.37,-0.46,0.15
0.668,0.05,-0.24,0.12
0.672,0.05,-0.24,0.12
0.683,-0.31,0.03,0.06
0.692,0.03,0.12,0.03
0.699,0.33,0.20,-0.12
0.709,0.01,0.08,-0.04
0.720,-0.02,-0.02,0.04
0.725,0.14,-0.16,0.06
0.732,0.19,-0.23,0.04
0.742,0.07,-0.02,0.03
0.749,-0.25,0.22,-0.00
0.758,-0.22,0.29,-0.04
0.770,0.07,0.25,-0.10
0.773,-0.01,0.12,-0.08
0.800,-0.08,0.07,-0.02
0.801,0.09,0.15,-0.07
0.802,0.09,0.15,-0.07
0.808,0.18,0.21,-0.08
0.838,0.12,-0.20,0.06
0.839,0.12,-0.19,0.06
0.880,-0.02,0.22,-0.09
0.881,-0.00,-0.18,0.03
