time,x,y,z
0.008,-0.06,0.18,0.14
0.011,-0.02,0.04,-0.09
0.022,-0.06,-0.03,-0.08
0.028,-0.04,0.02,0.04
0.046,-0.06,0.07,0.00
0.047,-0.07,-0.00,-0.03
0.053,-0.07,-0.05,-0.06
0.061,-0.02,0.01,-0.01
0.072,-0.02,0.04,0.02
0.076,-0.06,0.13,-0.02
0.086,-0.06,0.13,-0.02
0.097,-0.09,0.21,-0.05
0.103,-0.09,0.20,-0.05
0.111,-0.05,-0.03,0.03
0.120,0.01,-0.00,-0.00
0.126,0.01,-0.00,-0.01
0.140,0.02,0.00,-0.04
0.146,-0.01,-0.04,-0.02
0.151,-0.03,-0.01,0.02
0.160,-0.03,0.03,-0.01
0.171,-0.02,0.03,-0.01
0.179,-0.02,0.03,-0.01
0.192,-0.08,-0.01,-0.06
0.197,-0.15,-0.00,0.10
0.201,-0.11,0.09,-0.01
0.211,-0.11,0.09,-0.01
0.222,-0.08,0.06,-0.14
0.225,-0.03,0.04,-0.07
0.236,-0.11,0.04,0.00
0.247,-0.13,0.03,0.00
0.252,-0.07,0.06,-0.08
0.262,-0.02,0.10,-0.06
0.271,-0.05,0.04,-0.02
0.276,-0.05,0.04,-0.02
0.287,-0.03,0.04,-0.02
0.296,-0.03,0.06,0.00
0.301,-0.03,0.06,0.00
0.310,-0.01,-0.05,-0.01
0.321,-0.01,-0.04,-0.00
0.326,-0.01,-0.04,-0.00
0.335,-0.03,-0.02,-0.00
0.345,-0.05,0.00,0.01
0.350,-0.06,0.08,-0.04
0.360,-0.01,0.09,-0.01
0.371,-0.03,0.05,-0.01
0.375,-0.10,0.01,-0.05
0.386,-0.15,0.01,-0.08
0.396,-0.08,0.03,-0.03
0.401,-0.02,0.07,-0.04
0.411,-0.05,0.06,-0.01
0.420,-0.02,0.12,-0.04
0.426,-0.02,0.11,-0.04
0.436,0.00,0.08,-0.06
0.445,0.01,0.02,0.03
0.451,0.01,0.02,0.03
0.461,0.03,0.07,0.03
0.470,0.05,0.03,-0.01
0.476,0.03,-0.02,-0.03
0.485,0.04,-0.03,-0.00
0.496,0.03,-0.01,0.06
0.501,0.03,0.01,0.01
0.512,0.06,0.03,0.03
0.522,0.07,0.07,0.04
0.526,0.09,0.10,-0.00
0.537,0.17,0.10,-0.01
0.546,0.26,0.07,-0.09
0.551,0.19,0.11,-0.23
0.561,-0.02,0.01,-0.06
0.571,0.31,-0.18,0.28
0.576,0.31,-0.17,0.28
0.585,-0.08,-0.19,0.05
0.591,-0.48,-0.38,0.12
0.602,-0.29,-0.03,-0.02
0.610,-0.11,0.72,-0.31
0.616,-0.15,1.06,-0.36
0.626,-0.11,1.04,-0.42
0.635,-0.10,0.74,-0.25
0.640,0.02,0.31,-0.04
0.650,0.07,0.20,-0.08
0.660,-0.08,0.46,-0.02
0.665,-0.02,0.62,0.00
0.675,0.10,0.39,-0.20
0.686,-0.06,-0.02,-0.42
0.690,-0.19,-0.20,-0.29
0.701,-0.35,-0.17,0.12
0.711,-0.46,-0.22,0.40
0.715,-0.45,-0.18,0.40
0.726,-0.17,-0.10,-0.44
0.735,-0.42,-0.08,-0.19
0.741,-0.41,-0.15,0.27
0.756,-0.04,-0.18,0.06
0.770,0.09,-0.22,-0.30
0.770,0.01,-0.32,0.03
0.775,-0.02,-0.49,0.43
0.785,-0.02,-0.71,0.33
0.790,0.02,-0.79,0.19
0.800,0.11,-0.71,0.34
0.810,0.23,-0.57,0.32
