time,x,y,z
0.005,0.13,-0.03,-0.06
0.006,0.11,-0.04,-0.05
0.006,0.10,-0.05,-0.04
0.007,0.08,-0.07,-0.03
0.008,0.06,-0.08,-0.02
0.015,0.04,-0.07,-0.02
0.018,0.02,-0.06,-0.02
0.035,0.02,-0.03,-0.01
0.036,0.02,0.01,-0.01
0.037,-0.00,0.03,-0.01
0.038,-0.00,0.06,-0.00
0.050,-0.04,0.07,-0.00
0.053,-0.03,0.08,-0.01
0.055,-0.04,0.08,-0.02
0.056,-0.05,0.07,-0.03
0.064,-0.04,0.05,-0.05
0.066,-0.03,0.03,-0.04
0.082,-0.02,0.02,-0.04
0.083,-0.01,-0.00,-0.05
0.084,0.00,-0.02,-0.04
0.086,0.01,-0.03,-0.03
0.103,0.00,-0.05,-0.02
0.104,-0.02,-0.07,-0.02
0.105,-0.02,-0.10,-0.01
0.114,-0.04,-0.12,-0.02
0.115,-0.03,-0.15,-0.02
0.116,-0.02,-0.17,-0.01
0.124,-0.01,-0.18,-0.02
0.126,0.01,-0.18,-0.02
0.131,0.03,-0.17,-0.03
0.137,0.03,-0.14,-0.03
0.149,0.02,-0.10,-0.01
0.151,0.01,-0.03,-0.01
0.152,-0.02,0.02,0.01
0.159,-0.06,0.05,0.01
0.161,-0.08,0.06,0.02
0.166,-0.09,0.07,0.02
0.177,-0.08,0.04,0.02
0.178,-0.05,0.00,0.00
0.181,-0.01,-0.03,-0.01
0.186,0.03,-0.05,-0.02
0.192,0.06,-0.08,-0.02
0.197,0.07,-0.10,-0.02
0.203,0.07,-0.11,-0.02
0.223,0.05,-0.13,-0.00
0.225,0.03,-0.15,0.00
0.226,0.01,-0.16,0.00
0.229,-0.01,-0.17,-0.00
0.232,0.01,-0.18,-0.00
0.236,0.04,-0.20,-0.01
0.237,0.07,-0.21,-0.01
0.273,0.09,-0.19,0.00
0.280,0.11,-0.17,-0.01
0.284,0.12,-0.13,0.00
0.286,0.10,-0.09,0.01
0.287,0.06,-0.04,0.04
0.287,0.01,-0.01,0.04
0.288,-0.03,0.01,0.05
0.289,-0.04,0.02,0.04
0.290,-0.04,0.01,0.04
0.290,0.01,-0.01,0.01
0.291,0.04,-0.03,-0.02
0.303,0.09,-0.05,-0.04
0.303,0.12,-0.05,-0.05
0.311,0.13,-0.06,-0.05
0.312,0.10,-0.07,-0.05
0.317,0.06,-0.08,-0.04
0.324,0.02,-0.09,-0.05
0.327,-0.02,-0.09,-0.04
0.331,-0.03,-0.10,-0.04
0.348,-0.03,-0.12,-0.05
0.351,-0.01,-0.14,-0.06
0.352,0.03,-0.14,-0.05
0.353,0.06,-0.15,-0.06
0.356,0.07,-0.13,-0.06
0.373,0.08,-0.09,-0.05
0.374,0.06,-0.05,-0.04
0.375,0.02,-0.02,-0.02
0.384,-0.02,0.03,-0.01
0.387,-0.07,0.05,0.00
0.389,-0.11,0.07,0.01
0.392,-0.12,0.07,-0.01
0.403,-0.12,0.07,-0.00
0.403,-0.11,0.07,-0.02
0.407,-0.06,0.05,-0.02
0.411,-0.04,0.05,-0.03
0.417,-0.01,0.03,-0.01
0.436,0.01,0.01,0.01
0.439,0.01,0.01,0.02
0.440,0.00,-0.01,0.03
0.442,-0.01,-0.03,0.03
0.445,-0.03,-0.04,0.04
0.447,-0.03,-0.07,0.04
0.452,-0.05,-0.07,0.04
0.467,-0.04,-0.09,0.04
0.471,-0.04,-0.10,0.03
0.474,-0.04,-0.11,0.03
0.476,-0.04,-0.11,0.02
0.477,-0.07,-0.12,0.02
0.488,-0.08,-0.11,0.03
0.512,-0.09,-0.09,0.02
0.513,-0.10,-0.06,0.01
0.513,-0.11,-0.02,0.02
0.514,-0.12,0.00,0.03
0.517,-0.14,0.01,0.02
0.518,-0.16,-0.00,0.02
0.521,-0.17,-0.01,0.02
0.523,-0.19,-0.03,0.02
0.537,-0.20,-0.05,0.00
0.538,-0.20,-0.08,-0.00
0.538,-0.19,-0.10,-0.01
0.540,-0.18,-0.11,-0.02
0.546,-0.17,-0.11,-0.00
0.550,-0.18,-0.13,-0.00
0.557,-0.19,-0.12,-0.01
0.562,-0.22,-0.13,0.01
0.566,-0.25,-0.12,-0.01
0.575,-0.26,-0.13,0.01
0.577,-0.28,-0.12,-0.00
0.581,-0.28,-0.14,0.01
0.586,-0.28,-0.15,0.01
0.592,-0.27,-0.16,-0.01
0.595,-0.24,-0.17,-0.01
0.600,-0.22,-0.18,-0.02
0.606,-0.20,-0.17,0.00
0.612,-0.19,-0.15,0.02
0.617,-0.16,-0.13,0.04
0.629,-0.16,-0.10,0.05
0.630,-0.17,-0.09,0.07
0.631,-0.18,-0.08,0.08
0.635,-0.19,-0.09,0.10
0.685,-0.20,-0.11,0.11
0.690,-0.18,-0.12,0.11
0.690,-0.15,-0.14,0.10
0.691,-0.12,-0.16,0.09
0.691,-0.09,-0.17,0.08
0.692,-0.08,-0.17,0.08
0.692,-0.08,-0.18,0.09
0.695,-0.09,-0.20,0.10
0.695,-0.12,-0.22,0.12
0.696,-0.16,-0.25,0.13
0.696,-0.18,-0.30,0.16
0.697,-0.20,-0.36,0.18
0.701,-0.20,-0.42,0.20
0.706,-0.18,-0.50,0.23
0.710,-0.11,-0.59,0.26
0.715,-0.02,-0.69,0.27
0.722,0.09,-0.79,0.27
0.724,0.20,-0.82,0.28
0.730,0.27,-0.76,0.30
0.735,0.28,-0.65,0.32
0.740,0.23,-0.48,0.38
