time,x,y,z
0.0020,0.1847,-0.1173,0.9000
0.0120,0.1691,-0.1309,0.8648
0.0190,0.1739,-0.1505,0.8795
0.0310,0.1857,-0.1505,0.8678
0.0560,0.1818,-0.1564,0.8717
0.0570,0.1788,-0.1564,0.8678
0.0590,0.1935,-0.1573,0.8746
0.0700,0.2316,-0.1573,0.8981
0.0800,0.2775,-0.1564,0.9479
0.0950,0.2863,-0.1476,0.9479
0.0990,0.2414,-0.1427,0.9176
0.1120,0.1994,-0.1368,0.8863
0.1300,0.1779,-0.1300,0.8658
0.1310,0.1710,-0.1339,0.8512
0.1560,0.1700,-0.1388,0.8404
0.1570,0.1730,-0.1515,0.8453
0.1670,0.1896,-0.1524,0.8590
0.1780,0.2003,-0.1495,0.8658
0.1800,0.2121,-0.1524,0.8824
0.1950,0.2209,-0.1485,0.8951
0.2010,0.2248,-0.1407,0.9020
0.2180,0.2257,-0.1349,0.9362
0.2200,0.2228,-0.1173,0.9284
0.2330,0.2130,-0.1153,0.9264
0.2630,0.2033,-0.1153,0.9196
0.2650,0.1984,-0.1212,0.9118
0.2650,0.2042,-0.1261,0.9137
0.2780,0.2081,-0.1300,0.9137
0.2930,0.2081,-0.1319,0.9127
0.2930,0.2140,-0.1290,0.9235
0.3020,0.2375,-0.1212,0.9508
0.3120,0.2658,-0.1212,0.9821
0.3270,0.2707,-0.1173,1.0036
0.3320,0.2658,-0.1153,1.0075
0.3550,0.2551,-0.1094,0.9929
0.3590,0.2228,-0.1192,0.9645
0.3680,0.1818,-0.1241,0.9284
0.3830,0.1681,-0.1309,0.8990
0.3840,0.1681,-0.1446,0.8863
0.3940,0.1632,-0.1427,0.8815
0.4030,0.1661,-0.1427,0.8785
0.4140,0.1759,-0.1407,0.8893
0.4280,0.1896,-0.1407,0.9010
0.4320,0.2081,-0.1407,0.9049
0.4430,0.2238,-0.1368,0.9235
0.4530,0.2394,-0.1368,0.9342
0.4740,0.2414,-0.1358,0.9342
0.4750,0.2355,-0.1300,0.9303
0.4830,0.2336,-0.1290,0.9137
0.4940,0.2189,-0.1349,0.8951
0.5100,0.2091,-0.1427,0.8815
0.5130,0.2091,-0.1466,0.8727
0.5270,0.2140,-0.1417,0.8785
0.5330,0.2101,-0.1388,0.8805
0.5440,0.2111,-0.1368,0.8883
0.5710,0.2238,-0.1329,0.8961
0.5720,0.2287,-0.1309,0.8942
0.5820,0.2316,-0.1300,0.9000
0.5860,0.2336,-0.1280,0.9039
0.5950,0.2228,-0.1270,0.8990
0.6100,0.2189,-0.1241,0.8942
0.6160,0.2150,-0.1231,0.8903
0.6270,0.2101,-0.1241,0.8854
0.6360,0.2101,-0.1270,0.8844
0.6460,0.2140,-0.1261,0.8844
0.6780,0.2130,-0.1280,0.8854
0.6800,0.2160,-0.1241,0.8883
0.6810,0.2199,-0.1222,0.8883
0.6930,0.2169,-0.1212,0.8815
0.7020,0.2111,-0.1202,0.8766
0.7110,0.2111,-0.1231,0.8746
0.7160,0.2169,-0.1231,0.8775
0.7270,0.2336,-0.1241,0.8805
0.7430,0.2482,-0.1222,0.9088
0.7460,0.2658,-0.1046,0.9215
0.7740,0.2668,-0.1007,0.9323
0.7750,0.2639,-0.0889,0.9342
0.7840,0.2609,-0.0880,0.9303
0.7940,0.2541,-0.0889,0.9137
0.7970,0.2326,-0.0909,0.8922
0.8100,0.2257,-0.0909,0.8795
0.8170,0.2199,-0.0938,0.8668
0.8280,0.2218,-0.0938,0.8521
0.8450,0.2287,-0.0948,0.8482
0.8490,0.2375,-0.0958,0.8336
0.8750,0.2599,-0.1036,0.8375
0.8760,0.2902,-0.1153,0.8287
0.8870,0.3196,-0.1231,0.8160
0.9010,0.3626,-0.1349,0.8248
0.9020,0.3850,-0.1456,0.8043
0.9950,0.4055,-0.1603,0.8023
0.9960,0.4280,-0.1749,0.8003
0.9960,0.4661,-0.1827,0.7886
0.9970,0.5023,-0.1779,0.7955
0.9980,0.5375,-0.1808,0.7867
0.9980,0.5433,-0.1906,0.7886
0.9990,0.5580,-0.1954,0.8023
1.0000,0.5785,-0.1994,0.7925
1.0000,0.5873,-0.1994,0.7837
1.0010,0.5795,-0.2023,0.7857
1.0600,0.5687,-0.2062,0.7847
1.0610,0.5707,-0.1847,0.7896
1.0620,0.5668,-0.1671,0.7837
1.0630,0.5697,-0.1681,0.7857
1.0640,0.5717,-0.1710,0.7798
1.0640,0.5893,-0.1603,0.7925
1.0800,0.6000,-0.1515,0.7906
1.0810,0.5990,-0.1593,0.7837
1.0970,0.5942,-0.1818,0.7867
1.1020,0.6049,-0.1964,0.7818
1.1360,0.6147,-0.1974,0.7798
1.1370,0.6127,-0.1964,0.7837
1.1390,0.6137,-0.1994,0.7896
1.1510,0.6157,-0.2003,0.7857
1.1650,0.6196,-0.2033,0.7837
1.1660,0.6157,-0.2023,0.7847
1.1960,0.6157,-0.1954,0.7818
1.1970,0.6108,-0.2013,0.7798
1.1980,0.6078,-0.2023,0.7769
1.2070,0.6117,-0.2013,0.7788
1.2160,0.6166,-0.2003,0.7740
1.2270,0.6205,-0.1964,0.7779
1.2350,0.6235,-0.2042,0.7720
1.2460,0.6274,-0.2101,0.7613
1.2720,0.6372,-0.2111,0.7495
1.2730,0.6401,-0.2091,0.7300
1.2820,0.6274,-0.2052,0.7163
1.2940,0.6157,-0.1954,0.7016
