time,x,y,z
0.0130,0.2883,-0.3469,0.8551
0.0140,0.2824,-0.3655,0.8639
0.0330,0.2883,-0.3440,0.8541
0.0490,0.2951,-0.3547,0.8570
0.0500,0.2941,-0.3694,0.8541
0.0710,0.2961,-0.3577,0.8531
0.0720,0.2932,-0.3391,0.8609
0.0810,0.2873,-0.3420,0.8619
0.0930,0.2883,-0.3450,0.8590
0.0980,0.2912,-0.3401,0.8570
0.1120,0.2932,-0.3342,0.8580
0.1270,0.2932,-0.3391,0.8590
0.1290,0.2883,-0.3381,0.8531
0.1520,0.2893,-0.3411,0.8560
0.1530,0.2863,-0.3430,0.8580
0.1620,0.2844,-0.3430,0.8590
0.1760,0.2893,-0.3479,0.8639
0.1790,0.2912,-0.3479,0.8580
0.1940,0.2941,-0.3450,0.8590
0.1990,0.2941,-0.3469,0.8658
0.2110,0.2912,-0.3440,0.8590
0.2270,0.2902,-0.3391,0.8619
0.2300,0.2873,-0.3362,0.8678
0.2550,0.2922,-0.3342,0.8639
0.2560,0.2932,-0.3313,0.8580
0.2670,0.2863,-0.3391,0.8609
0.2780,0.2853,-0.3430,0.8570
0.2800,0.2863,-0.3459,0.8590
0.2940,0.2961,-0.3479,0.8629
0.3010,0.3039,-0.3518,0.8600
0.3120,0.2990,-0.3479,0.8531
0.3430,0.2912,-0.3440,0.8609
0.3450,0.2932,-0.3411,0.8609
0.3470,0.2902,-0.3381,0.8580
0.3630,0.2873,-0.3411,0.8590
0.3650,0.2824,-0.3430,0.8629
0.3830,0.2844,-0.3430,0.8639
0.3860,0.2951,-0.3440,0.8619
0.3960,0.2981,-0.3450,0.8580
0.4020,0.2873,-0.3430,0.8560
0.4120,0.2922,-0.3459,0.8629
0.4270,0.2951,-0.3498,0.8609
0.4320,0.2990,-0.3489,0.8600
0.4560,0.2981,-0.3469,0.8580
0.4570,0.2971,-0.3479,0.8639
0.4670,0.2990,-0.3440,0.8639
0.4770,0.2941,-0.3411,0.8570
0.4820,0.2883,-0.3420,0.8551
0.4990,0.2883,-0.3430,0.8560
0.5160,0.2883,-0.3430,0.8590
0.5190,0.2932,-0.3420,0.8678
0.5340,0.2951,-0.3450,0.8629
0.5370,0.2961,-0.3440,0.8619
0.5560,0.2902,-0.3381,0.8570
0.5650,0.2912,-0.3371,0.8609
0.5770,0.2893,-0.3420,0.8658
0.5830,0.2951,-0.3459,0.8717
0.5940,0.2981,-0.3450,0.8658
0.6110,0.2981,-0.3430,0.8639
0.6140,0.2951,-0.3430,0.8580
0.6280,0.2912,-0.3430,0.8600
0.6340,0.2932,-0.3391,0.8619
0.6570,0.2932,-0.3352,0.8658
0.6590,0.2902,-0.3362,0.8639
0.6690,0.2951,-0.3391,0.8678
0.6810,0.2912,-0.3352,0.8639
0.6870,0.2912,-0.3342,0.8727
0.7180,0.3020,-0.3342,0.8756
0.7200,0.3088,-0.3430,0.8775
0.7220,0.3117,-0.3440,0.8815
0.7250,0.3244,-0.3528,0.8785
0.7380,0.3342,-0.3450,0.8746
0.7670,0.3215,-0.3518,0.8658
0.7690,0.3010,-0.3489,0.8639
0.7710,0.2814,-0.3430,0.8697
0.7840,0.2639,-0.3303,0.8775
