time,x,y,z
0.001,-0.20,-0.17,-0.02
0.002,-0.14,-0.10,0.01
0.003,-0.07,-0.08,0.02
0.021,-0.04,-0.09,0.01
0.023,-0.00,-0.04,-0.01
0.024,0.02,-0.02,-0.02
0.026,0.02,0.03,-0.03
0.027,0.02,0.02,-0.03
0.033,0.02,-0.01,-0.04
0.093,0.02,-0.03,-0.04
0.095,0.05,-0.03,-0.04
0.096,0.06,-0.01,-0.04
0.097,0.08,0.00,-0.04
0.098,0.08,0.01,-0.03
0.099,0.08,0.02,-0.02
0.099,0.06,0.03,-0.01
0.100,0.03,0.02,-0.01
0.101,0.01,0.00,-0.02
0.101,-0.02,-0.01,-0.02
0.102,-0.03,-0.03,-0.03
0.103,-0.05,-0.04,-0.03
0.103,-0.07,-0.04,-0.03
0.104,-0.08,-0.04,-0.04
0.108,-0.07,-0.04,-0.04
0.124,-0.05,-0.03,-0.04
0.125,-0.04,-0.02,-0.03
0.126,-0.02,-0.02,-0.03
0.127,0.02,-0.01,-0.04
0.132,0.05,-0.00,-0.04
0.175,0.08,-0.01,-0.04
0.176,0.10,-0.02,-0.04
0.177,0.12,-0.03,-0.04
0.178,0.11,-0.03,-0.03
0.179,0.11,-0.04,-0.03
0.180,0.08,-0.04,-0.02
0.180,0.05,-0.04,-0.02
0.181,0.01,-0.03,-0.02
0.181,-0.02,-0.01,-0.02
0.182,-0.05,0.00,-0.03
0.189,-0.08,0.00,-0.02
0.198,-0.09,0.01,-0.03
0.199,-0.09,0.02,-0.04
0.238,-0.08,0.03,-0.05
0.239,-0.08,0.04,-0.05
0.240,-0.09,0.03,-0.06
0.240,-0.10,0.04,-0.07
0.241,-0.12,0.04,-0.06
0.242,-0.15,0.03,-0.06
0.242,-0.16,0.03,-0.07
0.243,-0.17,0.01,-0.07
0.244,-0.20,0.01,-0.07
0.347,-0.23,0.00,-0.08
0.348,-0.23,-0.00,-0.08
0.349,-0.23,-0.00,-0.08
0.350,-0.22,0.00,-0.09
0.351,-0.19,0.00,-0.11
0.351,-0.16,0.01,-0.11
0.352,-0.14,0.01,-0.12
0.353,-0.09,0.01,-0.15
0.353,-0.05,0.02,-0.17
0.354,-0.02,0.01,-0.19
0.355,0.00,0.02,-0.22
0.356,0.02,0.03,-0.25
0.356,0.02,0.04,-0.27
0.357,0.01,0.06,-0.29
0.358,-0.02,0.10,-0.32
0.359,-0.07,0.16,-0.34
0.360,-0.13,0.22,-0.35
0.361,-0.21,0.28,-0.35
0.363,-0.32,0.36,-0.34
0.364,-0.45,0.42,-0.32
0.365,-0.58,0.45,-0.31
0.367,-0.65,0.50,-0.30
0.367,-0.82,0.56,-0.31
0.368,-0.99,0.61,-0.33
0.369,-1.18,0.65,-0.35
0.375,-1.36,0.68,-0.38
0.418,-1.55,0.71,-0.43
0.420,-1.72,0.72,-0.47
0.421,-1.79,0.75,-0.49
0.422,-1.92,0.76,-0.53
0.424,-2.03,0.79,-0.58
0.425,-2.11,0.79,-0.63
0.426,-2.18,0.80,-0.68
0.427,-2.23,0.79,-0.72
0.429,-2.26,0.78,-0.75
0.430,-2.28,0.78,-0.76
0.431,-2.29,0.75,-0.77
0.433,-2.29,0.76,-0.80
0.443,-2.27,0.75,-0.80
0.444,-2.24,0.74,-0.81
0.454,-2.20,0.72,-0.81
0.456,-2.15,0.69,-0.80
0.457,-2.10,0.66,-0.80
0.515,-2.02,0.65,-0.79
0.516,-1.98,0.62,-0.79
0.518,-1.89,0.60,-0.79
0.519,-1.78,0.56,-0.79
0.520,-1.65,0.51,-0.80
0.521,-1.50,0.47,-0.81
0.522,-1.34,0.43,-0.85
0.524,-1.18,0.42,-0.90
0.525,-1.10,0.40,-0.93
0.526,-0.95,0.39,-0.99
0.527,-0.80,0.36,-1.05
0.529,-0.67,0.32,-1.10
0.530,-0.56,0.28,-1.15
0.531,-0.48,0.24,-1.18
0.532,-0.43,0.20,-1.20
0.587,-0.39,0.18,-1.21
0.589,-0.37,0.15,-1.21
0.589,-0.37,0.13,-1.17
0.590,-0.39,0.12,-1.12
0.591,-0.41,0.14,-1.05
0.592,-0.45,0.17,-0.96
0.593,-0.51,0.20,-0.87
0.594,-0.59,0.24,-0.80
0.595,-0.67,0.25,-0.77
0.595,-0.70,0.29,-0.73
0.596,-0.78,0.31,-0.69
0.597,-0.84,0.33,-0.66
0.599,-0.87,0.36,-0.64
0.609,-0.87,0.38,-0.64
0.611,-0.85,0.26,-0.60
0.612,-0.84,0.25,-0.58
0.622,-0.87,0.33,-0.57
0.623,-0.83,0.39,-0.58
0.626,-0.75,0.44,-0.59
0.669,-0.64,0.29,-0.58
0.671,-0.58,0.34,-0.57
0.672,-0.49,0.39,-0.58
0.673,-0.37,0.40,-0.58
0.673,-0.28,0.39,-0.58
0.674,-0.25,0.38,-0.56
0.675,-0.18,0.36,-0.52
0.676,-0.14,0.36,-0.48
0.677,-0.10,0.37,-0.43
0.678,-0.09,0.38,-0.38
0.692,-0.09,0.38,-0.33
0.694,-0.08,0.38,-0.30
0.694,-0.08,0.38,-0.28
0.706,-0.08,0.38,-0.26
0.707,-0.06,0.39,-0.25
0.708,-0.05,0.40,-0.25
0.746,-0.02,0.40,-0.25
