time,x,y,z
0.0030,0.4339,-0.4339,0.6508
0.0120,0.4661,-0.4036,0.7329
0.0260,0.4691,-0.3899,0.7466
0.0280,0.4573,-0.4016,0.7427
0.0530,0.4593,-0.4026,0.7505
0.0540,0.4632,-0.4055,0.7486
0.0630,0.4652,-0.4007,0.7593
0.0740,0.4671,-0.3987,0.7622
0.0790,0.4613,-0.3977,0.7583
0.0920,0.4632,-0.3958,0.7573
0.1000,0.4642,-0.3919,0.7652
0.1090,0.4622,-0.3880,0.7701
0.1260,0.4593,-0.3899,0.7710
0.1300,0.4632,-0.3928,0.7691
0.1550,0.4652,-0.3919,0.7691
0.1560,0.4613,-0.3909,0.7671
0.1680,0.4652,-0.3909,0.7671
0.1780,0.4632,-0.3870,0.7730
0.1790,0.4573,-0.3870,0.7720
0.1940,0.4613,-0.3870,0.7681
0.2120,0.4671,-0.3880,0.7652
0.2130,0.4652,-0.3889,0.7681
0.2270,0.4642,-0.3811,0.7691
0.2310,0.4681,-0.3762,0.7681
0.2560,0.4700,-0.3753,0.7652
0.2570,0.4642,-0.3831,0.7661
0.2770,0.4583,-0.3801,0.7720
0.2790,0.4593,-0.3811,0.7749
0.3190,0.4593,-0.3977,0.7710
0.3220,0.4622,-0.4143,0.7573
0.3240,0.4642,-0.4222,0.7495
0.3260,0.4691,-0.4163,0.7603
0.3290,0.4681,-0.4163,0.7691
0.3490,0.4700,-0.4046,0.7691
0.3500,0.4827,-0.3928,0.7710
0.3510,0.4964,-0.3860,0.7642
0.3640,0.5072,-0.3919,0.7456
0.3890,0.4935,-0.4153,0.7476
0.3900,0.4642,-0.4427,0.7603
0.3980,0.4583,-0.4515,0.7779
0.4080,0.4779,-0.4700,0.7808
0.4130,0.5306,-0.4837,0.8248
0.4250,0.6313,-0.5228,0.8023
0.4330,0.7593,-0.6323,0.7603
0.4520,0.8844,-0.8746,0.6948
0.4540,0.9665,-1.1629,0.6000
0.4640,0.9841,-1.2381,0.5902
0.4750,0.9186,-1.0495,0.3997
0.4840,0.6987,-0.8492,0.4642
0.4940,0.3518,-0.6557,0.5345
0.5090,0.0371,-0.4945,0.6342
0.5140,-0.1251,-0.3948,0.8385
0.5270,-0.0410,-0.3557,1.0007
0.5520,0.2023,-0.3469,0.8961
0.5530,0.4173,-0.2844,0.6342
0.5640,0.4446,-0.2492,0.6714
0.5650,0.2893,-0.2472,0.8189
0.5770,0.1309,-0.2443,0.8443
0.5920,0.0567,-0.2678,0.8297
0.5960,0.0381,-0.2844,0.8179
0.6080,0.0567,-0.2902,0.8121
0.6160,0.0792,-0.3029,0.7896
0.6280,0.1114,-0.3127,0.8267
0.6520,0.1173,-0.3156,0.8365
0.6530,0.1378,-0.2805,0.8551
0.6620,0.1700,-0.2648,0.8521
0.6670,0.2042,-0.2463,0.8385
0.7660,0.2541,-0.2541,0.8218
0.7670,0.2902,-0.2853,0.7593
0.7670,0.2990,-0.3117,0.7300
0.7680,0.3078,-0.3205,0.7251
0.7690,0.3538,-0.3264,0.7476
0.7690,0.4085,-0.3371,0.7319
0.7700,0.4290,-0.2961,0.7310
0.7710,0.4143,-0.2326,0.7153
0.7720,0.3723,-0.2160,0.6899
0.7720,0.3479,-0.3528,0.7388
0.7840,0.5453,-0.3323,0.8570
0.7940,0.8688,0.0362,1.0388
0.7980,1.1570,0.4837,0.8414
0.8200,1.2938,0.4007,0.6274
0.8210,1.2098,-0.1417,0.7642
0.8300,0.9069,-0.5228,0.9411
0.8540,0.4270,-0.6459,0.9489
0.8550,0.0215,-0.5287,1.0925
0.8640,0.0195,-0.4065,1.1140
0.8750,0.2336,-0.3860,0.9626
0.8780,0.4202,-0.3508,0.8199
0.8910,0.4896,-0.2775,0.8815
0.8980,0.3860,-0.2531,0.9450
0.9090,0.3029,-0.3489,0.9196
0.9250,0.2873,-0.4710,0.8365
0.9290,0.2502,-0.5580,0.7828
0.9530,0.2101,-0.5697,0.7769
0.9540,0.2365,-0.5248,0.7945
0.9630,0.2941,-0.4349,0.8316
0.9750,0.3098,-0.3997,0.8453
0.9790,0.3127,-0.3811,0.8551
0.9910,0.3235,-0.3821,0.8580
0.9990,0.3401,-0.3977,0.8482
1.0620,0.3420,-0.4173,0.8277
1.0640,0.2990,-0.4163,0.8101
1.0660,0.2424,-0.4222,0.7681
1.0680,0.1769,-0.4437,0.7935
1.0690,0.2189,-0.4730,0.7681
1.0710,0.2639,-0.4476,0.7818
1.0720,0.3059,-0.3782,0.8248
1.0960,0.2971,-0.3538,0.8375
1.0970,0.3205,-0.3801,0.8639
1.1010,0.3860,-0.3811,0.8502
1.1110,0.4173,-0.3899,0.8277
1.1420,0.3811,-0.3938,0.8502
1.1430,0.3665,-0.3928,0.8433
1.1440,0.3684,-0.3958,0.8316
1.1570,0.3733,-0.3782,0.8375
1.1890,0.3577,-0.3762,0.8414
1.1900,0.3489,-0.3801,0.8414
1.1910,0.3528,-0.3792,0.8414
1.1920,0.3479,-0.3772,0.8424
1.2050,0.3235,-0.3801,0.8580
1.2140,0.3274,-0.3840,0.8629
1.2250,0.3371,-0.3997,0.8463
1.2330,0.3498,-0.3733,0.8492
1.2560,0.3498,-0.3723,0.8531
1.2570,0.3508,-0.3655,0.8590
1.2660,0.3450,-0.3577,0.8707
1.2760,0.3528,-0.3889,0.8746
1.2830,0.3538,-0.4192,0.8834
1.2950,0.3489,-0.4251,0.8795
1.3150,0.3498,-0.3997,0.8805
1.3170,0.3694,-0.4691,0.8815
1.3310,0.3684,-0.4642,0.8815
1.3340,0.3577,-0.4749,0.8863
1.3490,0.3694,-0.3547,0.9196
1.3830,0.3801,-0.4212,0.9059
1.3850,0.4065,-0.4525,0.8570
1.3860,0.4261,-0.4603,0.8521
1.3870,0.4691,-0.4700,0.8111
1.3990,0.4994,-0.4867,0.8052
1.4090,0.5121,-0.4691,0.7681
1.4140,0.5345,-0.4329,0.7701
1.4250,0.5424,-0.4163,0.7876
1.4420,0.5648,-0.3831,0.8277
1.4450,0.6235,-0.3713,0.8815
1.4720,0.7554,-0.4730,1.0847
1.4740,0.8375,-0.6244,1.2479
1.4760,1.0046,-0.8951,1.3984
1.4910,1.3046,-1.0974,1.5821
1.5100,1.5215,-1.2293,1.6124
1.5120,1.2616,-1.1482,1.3398
1.5290,0.8619,-0.7691,0.7486
1.5310,0.5365,-0.8258,1.3544
1.5430,0.3518,-1.2548,1.5176
1.5460,0.4534,-1.2137,1.1385
1.5690,0.4270,-0.9264,1.0720
1.5700,0.1182,-0.6215,0.9440
1.5800,-0.2257,-0.5209,0.9381
1.5930,-0.4593,-0.5687,1.0749
1.5970,-0.4915,-0.5922,1.0857
1.6120,-0.4007,-0.4925,1.0085
1.6170,-0.2785,-0.4300,0.9078
1.6300,-0.1964,-0.5091,0.7652
1.6440,-0.1622,-0.5883,0.7300
1.6480,-0.1593,-0.5990,0.7378
1.6830,-0.1329,-0.5785,0.7476
1.6850,-0.0860,-0.6039,0.6919
1.6860,-0.0127,-0.6479,0.7310
1.6880,0.0987,-0.7564,0.7867
1.8010,0.2179,-0.8795,0.7124
1.8020,0.2912,-0.9460,0.6235
1.8030,0.3352,-1.0378,0.6020
1.8040,0.3577,-1.1277,0.5121
1.8040,0.4222,-1.2206,0.5179
1.8050,0.4857,-1.2890,0.4759
1.8050,0.5130,-1.3183,0.3831
1.8060,0.5072,-1.3544,0.4222
1.8070,0.4808,-1.3916,0.3880
1.8080,0.4808,-1.3417,0.4280
1.8080,0.5121,-1.2059,0.5209
1.8090,0.5560,-1.0388,0.5814
1.8200,0.5922,-0.8932,0.6929
1.8300,0.6284,-0.7446,0.8639
1.8550,0.6733,-0.6489,0.9694
1.8560,0.7271,-0.5981,1.0251
1.8670,0.8072,-0.6293,1.0153
1.8680,0.8854,-0.6938,0.8942
1.8870,0.8746,-0.6938,0.7085
1.8970,0.7593,-0.6723,0.6391
1.9090,0.6635,-0.6841,0.6645
1.9140,0.6469,-0.6616,0.6704
1.9270,0.8140,-0.6420,1.0368
1.9420,1.2166,-0.7564,1.0212
1.9470,1.4746,-0.6987,0.7867
1.9710,1.1981,-0.4192,0.6674
1.9720,1.2821,-0.4075,0.7349
1.9810,1.4170,-0.3889,0.5111
1.9920,1.3505,-0.2951,0.2873
1.9970,1.2020,-0.1466,0.1593
2.0090,1.1932,-0.0743,0.3205
2.0180,1.5616,-0.1378,0.4964
2.0940,1.7776,-0.2384,0.2326
2.0950,1.8860,-0.1886,-0.1202
2.0960,1.7658,-0.1867,-0.1134
2.0970,1.5118,-0.3176,-0.0225
2.0980,1.3877,-0.5052,-0.1280
2.0990,1.4150,-0.5639,-0.2257
2.1000,0.9616,-0.4388,-0.1603
2.1010,0.0489,-1.0212,0.9166
2.1190,-0.2052,-1.5069,1.4551
2.1200,0.8707,-1.4590,1.0368
2.1290,1.4326,-0.3626,0.7886
2.1560,1.6408,0.1906,0.5971
2.1570,0.7515,0.0459,1.2958
2.1580,-0.0010,-0.3577,1.1551
2.1690,0.0801,-0.6157,1.1658
2.1790,0.3801,-0.6127,1.0153
2.1930,0.4349,-0.5414,0.6860
2.1990,0.3616,-0.5902,0.7818
2.2110,0.2336,-0.6293,0.7398
2.2270,0.2296,-0.5599,0.8717
2.2280,0.3831,-0.3411,0.8805
2.2440,0.4935,-0.1915,0.9489
2.2500,0.4358,-0.2365,0.9547
2.2750,0.3782,-0.3225,0.8961
2.2770,0.3479,-0.4319,0.8404
2.2910,0.3342,-0.5130,0.8013
2.2930,0.3352,-0.5150,0.7867
2.3070,0.3323,-0.4857,0.8072
2.3230,0.3283,-0.4759,0.8111
2.3250,0.3010,-0.4827,0.8189
2.3390,0.2883,-0.4749,0.8150
2.3400,0.3049,-0.4681,0.8101
2.3610,0.3215,-0.4593,0.8062
2.3620,0.3313,-0.4613,0.8052
2.3730,0.3371,-0.4906,0.7935
2.3840,0.3235,-0.5062,0.7935
2.4010,0.3225,-0.5013,0.7964
2.4020,0.3235,-0.4857,0.8043
2.4110,0.3430,-0.4388,0.8111
2.4240,0.3733,-0.3840,0.8258
2.4310,0.4026,-0.3665,0.8297
2.4420,0.4007,-0.3606,0.8365
2.4720,0.3889,-0.3479,0.8463
