time,x,y,z
0.002,-0.01,0.07,-0.02
0.002,-0.03,0.19,-0.04
0.011,-0.00,0.31,-0.04
0.012,0.01,0.30,-0.05
0.017,0.01,0.16,-0.06
0.044,0.01,0.04,-0.07
0.045,-0.00,0.02,-0.07
0.046,0.00,0.02,-0.06
0.047,0.01,0.04,-0.05
0.048,-0.00,0.07,-0.04
0.049,0.02,0.11,-0.03
0.058,0.04,0.12,-0.03
0.059,0.05,0.13,-0.02
0.068,0.05,0.12,-0.04
0.070,0.06,0.10,-0.05
0.079,0.05,0.11,-0.07
0.080,0.04,0.11,-0.07
0.082,0.03,0.10,-0.07
0.092,0.00,0.08,-0.05
0.093,-0.03,0.07,-0.06
0.097,-0.06,0.07,-0.05
0.109,-0.09,0.09,-0.04
0.110,-0.12,0.11,-0.03
0.112,-0.12,0.12,-0.02
0.117,-0.11,0.11,-0.01
0.133,-0.09,0.12,-0.01
0.134,-0.05,0.11,-0.01
0.135,-0.03,0.11,-0.01
0.144,0.00,0.08,-0.01
0.145,0.05,0.05,-0.01
0.147,0.07,0.04,-0.02
0.159,0.08,0.05,-0.02
0.160,0.09,0.06,-0.02
0.162,0.08,0.06,-0.02
0.167,0.06,0.07,-0.02
0.175,0.04,0.06,-0.02
0.177,0.01,0.04,-0.03
0.182,0.00,0.03,-0.03
0.192,-0.02,0.06,-0.03
0.193,-0.02,0.09,-0.03
0.197,-0.01,0.09,-0.06
0.210,0.01,0.10,-0.09
0.211,0.03,0.10,-0.10
0.212,0.04,0.12,-0.13
0.217,0.08,0.14,-0.17
0.236,0.11,0.18,-0.22
0.237,0.16,0.26,-0.27
0.239,0.23,0.33,-0.35
0.240,0.31,0.40,-0.44
0.249,0.39,0.44,-0.53
0.250,0.44,0.52,-0.57
0.261,0.52,0.62,-0.66
0.262,0.58,0.72,-0.74
0.263,0.62,0.84,-0.81
0.267,0.64,0.95,-0.87
0.277,0.64,1.03,-0.92
0.279,0.60,1.11,-0.96
0.282,0.53,1.14,-0.96
0.293,0.50,1.19,-0.99
0.295,0.39,1.23,-0.98
0.297,0.27,1.27,-0.96
0.309,0.15,1.30,-0.93
0.311,0.04,1.35,-0.88
0.312,-0.05,1.41,-0.82
0.317,-0.14,1.48,-0.76
0.337,-0.20,1.53,-0.73
0.339,-0.22,1.64,-0.68
0.340,-0.22,1.74,-0.65
0.341,-0.21,1.78,-0.62
0.343,-0.19,1.81,-0.60
0.352,-0.13,1.81,-0.57
0.353,-0.06,1.77,-0.56
0.363,0.03,1.72,-0.53
0.364,0.12,1.70,-0.52
0.367,0.17,1.63,-0.50
0.377,0.24,1.55,-0.45
0.378,0.28,1.47,-0.40
0.382,0.31,1.38,-0.33
0.393,0.30,1.31,-0.26
0.394,0.24,1.28,-0.18
0.397,0.18,1.27,-0.14
0.409,0.15,1.27,-0.07
0.411,0.10,1.29,-0.01
0.412,0.07,1.35,0.03
0.417,0.06,1.43,0.07
0.437,0.07,1.47,0.08
0.438,0.09,1.50,0.10
0.439,0.11,1.51,0.09
0.441,0.14,1.51,0.08
0.449,0.15,1.50,0.04
0.451,0.19,1.46,0.02
0.452,0.23,1.41,-0.05
0.462,0.25,1.36,-0.12
0.463,0.27,1.31,-0.20
0.467,0.26,1.26,-0.26
0.477,0.24,1.24,-0.32
0.478,0.20,1.25,-0.35
0.482,0.17,1.29,-0.37
0.493,0.14,1.34,-0.40
0.494,0.10,1.40,-0.41
0.550,0.07,1.44,-0.42
0.550,0.07,1.47,-0.45
0.551,0.05,1.46,-0.46
0.552,0.06,1.45,-0.46
0.553,0.05,1.37,-0.46
0.554,0.04,1.29,-0.45
0.554,-0.00,1.20,-0.41
0.555,-0.05,1.11,-0.36
0.556,-0.12,1.01,-0.29
0.557,-0.22,0.95,-0.21
0.557,-0.33,0.92,-0.10
0.558,-0.43,0.93,-0.03
0.559,-0.49,0.96,0.10
0.568,-0.58,1.01,0.23
0.569,-0.65,1.02,0.36
0.589,-0.70,0.98,0.48
0.591,-0.71,0.88,0.56
0.592,-0.67,0.75,0.60
0.592,-0.59,0.67,0.62
0.593,-0.54,0.57,0.61
0.600,-0.39,0.55,0.58
0.602,-0.23,0.57,0.54
0.610,-0.08,0.60,0.52
0.612,0.02,0.58,0.52
0.617,0.06,0.55,0.54
0.633,0.05,0.50,0.58
0.634,-0.00,0.47,0.60
0.635,-0.05,0.39,0.65
0.643,-0.18,0.33,0.71
0.644,-0.35,0.26,0.80
0.647,-0.55,0.20,0.91
0.660,-0.75,0.18,1.05
0.661,-0.97,0.17,1.17
0.662,-1.19,0.13,1.31
0.671,-1.39,0.11,1.39
0.674,-1.48,0.05,1.53
0.690,-1.64,-0.03,1.66
0.692,-1.77,-0.16,1.81
0.693,-1.87,-0.35,1.94
0.694,-1.95,-0.53,2.05
0.704,-2.02,-0.74,2.18
0.707,-2.05,-0.83,2.33
0.709,-2.00,-0.92,2.38
0.721,-1.94,-0.88,2.48
0.724,-1.79,-0.72,2.55
0.726,-1.57,-0.60,2.57
0.727,-1.32,-0.58,2.55
0.757,-1.09,-0.61,2.51
0.759,-0.89,-0.68,2.47
0.761,-0.77,-0.70,2.45
0.762,-0.73,-0.76,2.41
0.763,-0.68,-0.86,2.36
0.765,-0.69,-0.98,2.31
0.766,-0.74,-1.08,2.26
0.768,-0.81,-1.16,2.21
0.780,-0.91,-1.18,2.16
0.782,-1.03,-1.13,2.12
0.783,-1.15,-1.09,2.10
0.796,-1.21,-1.01,2.07
0.798,-1.32,-0.92,2.05
0.799,-1.43,-0.87,2.04
0.815,-1.51,-0.85,2.04
0.818,-1.56,-0.89,2.02
0.820,-1.60,-0.97,2.03
0.822,-1.61,-1.07,2.04
0.824,-1.60,-1.11,2.05
0.862,-1.59,-1.17,2.08
0.865,-1.58,-1.23,2.13
0.867,-1.55,-1.34,2.19
0.869,-1.51,-1.49,2.26
0.871,-1.47,-1.67,2.33
0.873,-1.44,-1.90,2.41
0.875,-1.42,-2.02,2.45
0.877,-1.40,-2.27,2.50
0.879,-1.38,-2.45,2.51
0.881,-1.36,-2.62,2.50
0.883,-1.32,-2.72,2.45
0.884,-1.26,-2.71,2.37
0.900,-1.18,-2.61,2.26
0.902,-1.06,-2.49,2.14
0.904,-0.95,-2.43,2.07
0.906,-0.89,-2.34,1.94
0.908,-0.74,-2.27,1.78
0.924,-0.60,-2.24,1.60
0.926,-0.47,-2.25,1.40
0.928,-0.34,-2.27,1.17
0.930,-0.22,-2.29,0.91
0.956,-0.12,-2.33,0.63
0.958,-0.06,-2.35,0.47
0.959,-0.05,-2.36,0.13
0.960,-0.05,-2.39,-0.20
0.961,-0.08,-2.47,-0.56
0.962,-0.20,-2.62,-0.92
0.963,-0.36,-2.94,-1.26
0.975,-0.63,-3.51,-1.61
0.977,-0.96,-3.86,-1.77
0.978,-1.15,-4.60,-2.07
0.989,-1.50,-5.30,-2.31
0.991,-1.84,-5.94,-2.47
0.992,-2.13,-6.46,-2.56
1.044,-2.34,-6.93,-2.58
1.045,-2.48,-7.31,-2.58
1.047,-2.57,-7.67,-2.55
1.048,-2.63,-7.84,-2.53
1.049,-2.66,-8.17,-2.45
1.050,-2.68,-8.32,-2.36
1.051,-2.66,-8.12,-2.28
1.052,-2.60,-7.41,-2.21
1.053,-2.44,-6.38,-2.20
1.054,-2.17,-5.40,-2.23
1.055,-1.83,-5.01,-2.32
1.056,-1.47,-4.44,-2.37
1.057,-1.29,-4.04,-2.53
1.066,-0.90,-3.66,-2.73
1.068,-0.50,-3.10,-2.98
1.085,-0.09,-2.29,-3.26
1.087,0.29,-1.32,-3.55
1.088,0.62,-0.39,-3.83
1.089,0.88,0.01,-4.08
1.096,0.99,0.57,-4.21
1.098,1.13,0.88,-4.46
1.108,1.17,1.04,-4.72
1.110,1.10,1.12,-4.99
1.112,0.91,1.16,-5.25
1.117,0.58,1.20,-5.45
1.134,0.15,1.24,-5.56
1.135,-0.32,1.28,-5.59
1.136,-0.57,1.38,-5.56
1.137,-1.03,1.51,-5.46
1.146,-1.44,1.62,-5.30
1.148,-1.77,1.72,-5.11
1.160,-1.99,1.78,-4.87
1.162,-2.14,1.85,-4.60
1.163,-2.23,1.94,-4.32
