time,x,y,z
0.002,-0.30,0.14,-0.31
0.004,-0.60,-0.04,-0.34
0.005,-0.85,-0.33,-0.31
0.027,-0.96,-0.66,-0.25
0.028,-0.96,-0.81,-0.22
0.029,-0.91,-1.04,-0.14
0.030,-0.72,-1.14,-0.07
0.031,-0.46,-1.22,-0.02
0.032,-0.20,-1.39,-0.00
0.043,0.00,-1.67,-0.00
0.044,0.09,-2.01,-0.02
0.046,0.09,-2.22,-0.04
0.056,-0.01,-2.72,-0.03
0.057,-0.07,-3.22,0.00
0.061,-0.17,-3.45,0.04
0.073,-0.20,-3.12,0.07
0.074,-0.09,-2.11,0.08
0.076,0.24,-0.72,0.03
0.081,0.68,0.36,-0.06
0.090,1.04,0.76,-0.09
0.091,1.16,1.35,-0.16
0.096,1.29,1.67,-0.24
0.118,1.21,1.60,-0.31
0.120,0.89,1.27,-0.38
0.121,0.38,0.83,-0.44
0.122,-0.20,0.42,-0.42
0.122,-0.74,0.10,-0.30
0.131,-1.13,-0.04,-0.21
0.132,-1.24,-0.23,-0.01
0.141,-1.30,-0.31,0.18
0.142,-1.14,-0.27,0.29
0.146,-0.81,-0.17,0.29
0.158,-0.39,-0.12,0.20
0.159,0.03,-0.20,0.04
0.162,0.33,-0.38,-0.12
0.178,0.50,-0.47,-0.18
0.180,0.54,-0.59,-0.23
0.182,0.54,-0.58,-0.20
0.183,0.50,-0.44,-0.13
0.199,0.45,-0.20,-0.04
0.203,0.38,0.05,0.03
0.205,0.30,0.29,0.05
0.207,0.19,0.37,0.06
0.209,0.12,0.41,0.03
0.253,-0.05,0.32,-0.00
0.254,-0.21,0.22,-0.01
0.256,-0.31,0.11,0.02
0.257,-0.35,0.03,0.06
0.258,-0.34,-0.05,0.11
0.259,-0.29,-0.08,0.13
0.261,-0.20,-0.08,0.14
0.262,-0.15,-0.06,0.13
0.263,-0.04,-0.07,0.09
0.264,0.06,-0.14,0.05
0.266,0.12,-0.22,0.01
0.268,0.13,-0.27,-0.01
0.280,0.10,-0.23,-0.03
0.282,0.07,-0.13,-0.03
0.284,0.04,-0.05,-0.03
0.296,0.02,0.11,-0.04
0.298,-0.02,0.23,-0.04
0.299,-0.07,0.29,-0.04
0.320,-0.13,0.29,-0.02
0.321,-0.18,0.22,-0.01
0.322,-0.21,0.11,0.01
0.323,-0.21,0.06,0.01
0.323,-0.21,-0.01,0.02
0.326,-0.16,-0.05,0.03
0.332,-0.09,-0.05,0.05
0.340,-0.03,-0.02,0.06
0.341,0.03,-0.00,0.06
0.346,0.06,0.02,0.06
0.356,0.05,0.02,0.05
0.358,0.02,0.01,0.06
0.361,-0.00,0.00,0.04
0.374,-0.04,-0.02,0.04
0.375,-0.09,-0.04,0.04
0.376,-0.13,-0.04,0.04
0.382,-0.15,-0.04,0.02
0.392,-0.12,-0.05,0.01
0.393,-0.06,0.01,0.00
0.396,0.02,0.04,-0.01
0.426,0.06,0.10,-0.03
0.428,0.13,0.13,-0.04
0.430,0.16,0.13,-0.05
0.432,0.15,0.12,-0.06
0.433,0.12,0.11,-0.06
0.435,0.06,0.09,-0.05
0.437,0.01,0.08,-0.04
0.438,-0.02,0.05,-0.03
0.451,-0.05,0.05,-0.01
0.453,-0.05,0.05,-0.01
0.454,-0.04,0.04,-0.00
0.468,-0.03,0.02,0.01
0.470,-0.00,0.02,0.02
0.472,0.02,0.03,0.02
0.474,0.02,0.04,0.02
0.488,0.03,0.05,0.03
0.490,0.03,0.06,0.05
0.491,-0.01,0.06,0.06
0.597,-0.05,0.03,0.07
0.599,-0.10,0.00,0.07
0.601,-0.14,-0.02,0.08
0.603,-0.15,-0.01,0.08
0.605,-0.13,0.01,0.07
