time,x,y,z
0.004,-0.08,0.04,0.03
0.005,-0.07,0.06,0.01
0.006,-0.03,0.03,0.00
0.016,-0.01,0.03,0.01
0.017,-0.01,-0.00,-0.01
0.030,0.02,-0.03,-0.02
0.031,0.02,-0.04,-0.02
0.032,0.02,-0.06,0.00
0.043,-0.00,-0.05,-0.00
0.044,-0.03,-0.05,-0.01
0.046,-0.04,-0.05,-0.00
0.051,-0.03,-0.05,-0.01
0.086,-0.01,-0.06,-0.00
0.087,0.00,-0.06,-0.02
0.088,0.03,-0.06,-0.04
0.089,0.06,-0.04,-0.03
0.090,0.08,-0.02,-0.03
0.091,0.09,-0.00,-0.04
0.091,0.11,-0.00,-0.06
0.092,0.11,-0.01,-0.06
0.103,0.12,-0.01,-0.08
0.104,0.12,-0.02,-0.09
0.114,0.12,-0.02,-0.10
0.115,0.11,-0.01,-0.09
0.116,0.08,0.00,-0.09
0.128,0.05,0.01,-0.08
0.129,0.02,0.00,-0.08
0.131,0.01,0.00,-0.07
0.143,-0.01,0.02,-0.05
0.144,-0.02,0.04,-0.04
0.146,-0.04,0.05,-0.03
0.151,-0.05,0.06,-0.02
0.174,-0.04,0.04,-0.02
0.175,-0.03,0.04,-0.02
0.176,0.01,0.04,-0.02
0.177,0.03,0.04,-0.01
0.178,0.05,0.04,-0.01
0.190,0.07,0.05,-0.02
0.191,0.08,0.05,-0.03
0.192,0.09,0.07,-0.04
0.203,0.10,0.07,-0.05
0.204,0.10,0.07,-0.05
0.215,0.09,0.05,-0.05
0.216,0.07,0.04,-0.05
0.217,0.06,0.03,-0.05
0.227,0.02,0.04,-0.03
0.228,-0.00,0.06,-0.02
0.231,-0.04,0.06,-0.02
0.241,-0.07,0.04,-0.02
0.242,-0.07,0.04,-0.02
0.246,-0.06,0.02,-0.02
0.251,-0.04,-0.01,-0.03
0.270,-0.02,-0.04,-0.03
0.271,0.02,-0.08,-0.01
0.272,0.02,-0.07,0.01
0.273,0.01,-0.01,0.04
0.282,-0.01,0.07,0.06
0.283,-0.05,0.11,0.06
0.293,-0.06,0.17,0.06
0.294,-0.07,0.18,0.06
0.296,-0.06,0.18,0.05
0.301,-0.04,0.13,0.03
0.309,-0.00,0.08,0.01
0.311,0.01,0.02,-0.01
0.316,0.03,-0.02,-0.00
0.324,0.01,-0.03,0.00
0.326,-0.01,-0.04,-0.01
0.331,-0.04,-0.03,0.01
0.341,-0.05,-0.02,0.01
0.342,-0.06,-0.04,0.01
0.346,-0.04,-0.05,0.01
0.351,-0.01,-0.07,-0.00
0.358,0.04,-0.07,-0.01
0.361,0.05,-0.08,-0.02
0.366,0.07,-0.08,-0.03
0.388,0.08,-0.09,-0.05
0.389,0.07,-0.10,-0.05
0.390,0.07,-0.09,-0.05
0.390,0.07,-0.09,-0.05
0.391,0.05,-0.08,-0.02
0.487,0.03,-0.07,-0.00
0.489,0.00,-0.04,0.01
0.489,-0.03,-0.00,0.03
0.490,-0.06,0.03,0.05
0.491,-0.07,0.06,0.07
0.491,-0.07,0.09,0.07
0.492,-0.05,0.11,0.08
0.493,-0.03,0.10,0.07
0.493,-0.01,0.10,0.07
0.494,-0.00,0.09,0.05
0.495,0.02,0.08,0.03
0.495,0.04,0.07,0.01
0.496,0.07,0.06,-0.01
0.497,0.09,0.07,-0.01
0.497,0.09,0.08,-0.01
0.498,0.06,0.09,-0.01
0.499,0.04,0.09,-0.01
0.500,0.00,0.11,-0.02
0.500,-0.04,0.11,-0.03
0.501,-0.05,0.08,-0.04
0.558,-0.05,0.05,-0.05
0.559,-0.03,0.03,-0.04
0.560,-0.00,0.02,-0.04
0.561,0.01,0.02,-0.03
0.562,0.01,0.04,-0.03
0.562,-0.00,0.05,0.00
0.563,-0.02,0.07,0.03
0.564,-0.03,0.09,0.04
0.564,-0.04,0.11,0.04
0.565,-0.03,0.09,0.04
0.566,-0.02,0.08,0.04
0.567,0.01,0.07,0.04
0.567,0.01,0.05,0.03
0.568,0.02,0.02,0.02
0.569,0.03,0.02,0.03
0.585,0.01,0.05,0.06
0.586,-0.02,0.09,0.08
0.586,-0.04,0.12,0.08
0.587,-0.05,0.13,0.08
0.609,-0.05,0.12,0.07
0.610,-0.04,0.09,0.05
0.611,-0.01,0.07,0.04
0.612,0.01,0.05,0.02
0.612,0.04,0.03,0.01
0.645,0.03,0.04,0.01
0.647,0.01,0.05,0.02
0.648,-0.01,0.05,0.02
0.649,-0.03,0.06,0.02
0.650,-0.05,0.06,0.02
0.652,-0.06,0.07,0.03
0.653,-0.05,0.08,0.03
0.654,-0.04,0.09,0.03
0.668,-0.01,0.11,0.03
0.670,0.02,0.11,0.02
0.671,0.04,0.11,0.02
0.672,0.05,0.10,0.02
0.687,0.06,0.09,0.02
0.689,0.03,0.09,0.03
0.690,0.01,0.10,0.05
0.691,-0.03,0.14,0.07
0.730,-0.08,0.19,0.10
0.732,-0.14,0.20,0.13
0.733,-0.17,0.21,0.13
0.735,-0.21,0.19,0.13
0.736,-0.22,0.17,0.12
0.738,-0.21,0.13,0.11
0.739,-0.17,0.10,0.10
0.741,-0.14,0.06,0.08
0.742,-0.11,0.03,0.08
0.743,-0.08,0.03,0.08
0.761,-0.09,0.03,0.09
0.763,-0.09,0.05,0.11
0.764,-0.11,0.05,0.10
0.765,-0.12,0.05,0.09
0.767,-0.11,0.02,0.09
0.780,-0.09,-0.02,0.06
0.781,-0.05,-0.07,0.04
0.781,-0.01,-0.10,0.04
0.805,0.01,-0.13,0.02
0.806,0.05,-0.16,0.01
0.807,0.09,-0.16,0.02
0.808,0.09,-0.16,0.01
0.809,0.09,-0.15,0.01
0.819,0.08,-0.15,0.02
0.820,0.06,-0.14,0.03
0.821,0.05,-0.10,0.06
0.829,0.02,-0.04,0.09
0.831,-0.02,0.03,0.11
0.841,-0.07,0.07,0.10
0.842,-0.09,0.07,0.09
0.846,-0.09,0.05,0.06
0.851,-0.07,0.04,0.04
0.860,-0.04,0.02,0.04
0.861,-0.03,0.02,0.03
0.866,-0.03,0.02,0.03
0.886,-0.05,0.02,0.03
0.887,-0.08,0.02,0.04
0.888,-0.11,0.04,0.06
0.889,-0.13,0.03,0.06
0.898,-0.14,0.03,0.06
0.899,-0.12,0.02,0.07
0.901,-0.12,0.03,0.06
0.910,-0.09,0.01,0.06
0.911,-0.09,0.01,0.07
0.916,-0.09,0.01,0.07
0.925,-0.11,0.03,0.10
0.926,-0.15,0.06,0.14
0.931,-0.19,0.08,0.18
0.942,-0.26,0.11,0.20
0.943,-0.28,0.13,0.24
0.946,-0.34,0.13,0.25
0.951,-0.36,0.11,0.27
0.960,-0.36,0.06,0.27
0.961,-0.34,0.02,0.26
0.966,-0.29,-0.01,0.26
0.986,-0.23,-0.03,0.26
0.988,-0.21,-0.07,0.25
0.989,-0.15,-0.10,0.23
0.989,-0.10,-0.13,0.21
0.999,-0.06,-0.15,0.19
1.061,-0.02,-0.13,0.19
1.061,-0.00,-0.11,0.20
1.062,-0.01,-0.07,0.19
1.063,-0.03,-0.06,0.19
1.064,-0.04,-0.05,0.16
1.064,-0.07,-0.04,0.13
1.065,-0.06,-0.06,0.10
1.066,-0.05,-0.06,0.08
1.066,-0.02,-0.05,0.06
1.067,-0.01,-0.02,0.06
1.068,-0.04,0.00,0.08
1.068,-0.06,0.08,0.09
1.069,-0.11,0.16,0.10
1.070,-0.16,0.19,0.09
1.070,-0.18,0.18,0.06
1.071,-0.18,0.15,0.04
1.078,-0.15,0.11,0.02
1.086,-0.12,0.08,0.02
1.087,-0.10,0.06,0.01
1.096,-0.10,0.05,0.01
1.097,-0.10,0.03,0.02
1.101,-0.14,0.02,0.04
1.130,-0.16,0.02,0.07
1.131,-0.19,0.00,0.12
1.131,-0.22,-0.02,0.16
1.132,-0.25,-0.04,0.20
1.133,-0.25,-0.07,0.22
1.133,-0.25,-0.12,0.24
1.142,-0.23,-0.18,0.27
1.143,-0.22,-0.23,0.32
1.146,-0.21,-0.24,0.37
1.151,-0.24,-0.23,0.45
1.160,-0.29,-0.17,0.53
1.162,-0.38,-0.15,0.62
1.166,-0.44,-0.08,0.67
1.188,-0.56,-0.02,0.75
1.189,-0.68,-0.00,0.83
1.190,-0.79,-0.04,0.90
1.191,-0.87,-0.12,0.96
1.192,-0.91,-0.21,1.03
1.201,-0.95,-0.31,1.09
1.202,-0.97,-0.36,1.12
1.214,-0.97,-0.44,1.17
1.215,-0.96,-0.48,1.23
1.216,-0.95,-0.49,1.26
1.229,-0.92,-0.50,1.27
1.230,-0.89,-0.52,1.27
1.232,-0.85,-0.57,1.26
1.246,-0.82,-0.61,1.22
1.247,-0.78,-0.63,1.20
1.249,-0.76,-0.69,1.16
1.252,-0.71,-0.73,1.12
1.262,-0.67,-0.79,1.06
1.264,-0.64,-0.84,0.97
1.268,-0.59,-0.92,0.89
1.294,-0.54,-1.00,0.80
1.295,-0.46,-1.04,0.69
1.297,-0.42,-1.13,0.64
1.298,-0.32,-1.23,0.52
1.303,-0.22,-1.33,0.40
1.304,-0.10,-1.45,0.27
1.305,-0.00,-1.60,0.13
1.307,0.09,-1.81,-0.03
1.323,0.15,-2.03,-0.19
1.325,0.20,-2.16,-0.28
1.326,0.22,-2.42,-0.46
1.327,0.25,-2.67,-0.62
1.342,0.28,-2.91,-0.78
1.344,0.32,-3.12,-0.92
1.345,0.37,-3.31,-1.04
1.347,0.44,-3.46,-1.14
1.353,0.51,-3.58,-1.23
1.365,0.57,-3.63,-1.27
1.366,0.60,-3.70,-1.34
1.368,0.63,-3.75,-1.41
1.373,0.62,-3.76,-1.46
1.404,0.60,-3.73,-1.50
1.405,0.53,-3.68,-1.53
1.407,0.46,-3.64,-1.57
1.408,0.37,-3.62,-1.58
1.409,0.34,-3.58,-1.59
1.410,0.25,-3.51,-1.59
1.411,0.17,-3.35,-1.58
1.411,0.07,-3.16,-1.54
1.497,-0.04,-2.92,-1.51
1.498,-0.16,-2.63,-1.47
1.499,-0.30,-2.32,-1.44
1.500,-0.44,-2.18,-1.43
1.501,-0.50,-1.90,-1.44
1.501,-0.60,-1.65,-1.52
1.502,-0.66,-1.41,-1.65
1.503,-0.64,-1.22,-1.78
1.504,-0.60,-1.06,-1.92
1.505,-0.53,-0.88,-2.00
1.507,-0.47,-0.70,-2.04
1.508,-0.42,-0.62,-2.03
1.508,-0.42,-0.47,-2.02
1.509,-0.43,-0.36,-2.01
1.510,-0.49,-0.26,-2.01
1.511,-0.55,-0.21,-2.06
1.575,-0.59,-0.20,-2.15
1.576,-0.59,-0.23,-2.24
1.577,-0.56,-0.26,-2.29
1.578,-0.53,-0.32,-2.31
1.579,-0.44,-0.40,-2.30
1.580,-0.35,-0.48,-2.26
1.581,-0.25,-0.53,-2.18
1.582,-0.20,-0.56,-2.08
1.583,-0.19,-0.54,-1.97
1.583,-0.19,-0.52,-1.86
1.584,-0.21,-0.50,-1.83
1.585,-0.21,-0.47,-1.75
1.586,-0.20,-0.45,-1.71
1.587,-0.14,-0.42,-1.68
1.588,-0.03,-0.41,-1.65
1.589,0.12,-0.41,-1.61
1.589,0.31,-0.41,-1.59
1.590,0.50,-0.41,-1.57
1.591,0.66,-0.41,-1.57
1.592,0.71,-0.39,-1.56
1.611,0.79,-0.35,-1.56
1.612,0.80,-0.29,-1.56
1.613,0.76,-0.22,-1.58
1.614,0.70,-0.14,-1.63
1.616,0.63,-0.06,-1.67
1.642,0.57,-0.02,-1.70
1.643,0.54,0.06,-1.70
1.643,0.49,0.14,-1.68
1.644,0.46,0.22,-1.67
1.645,0.43,0.35,-1.66
1.646,0.43,0.49,-1.63
1.671,0.43,0.62,-1.61
1.672,0.42,0.74,-1.62
1.673,0.43,0.80,-1.63
1.674,0.44,0.91,-1.68
1.675,0.44,1.01,-1.70
1.676,0.44,1.09,-1.69
1.685,0.43,1.16,-1.69
1.687,0.41,1.22,-1.68
1.713,0.35,1.27,-1.68
1.714,0.29,1.32,-1.68
1.715,0.24,1.34,-1.68
1.716,0.21,1.41,-1.67
1.717,0.16,1.49,-1.65
1.719,0.11,1.59,-1.60
1.721,0.05,1.68,-1.52
1.738,-0.02,1.76,-1.44
1.741,-0.08,1.83,-1.38
1.742,-0.09,1.86,-1.34
1.743,-0.06,1.89,-1.33
1.758,-0.03,1.89,-1.30
1.760,0.05,1.88,-1.25
1.761,0.15,1.83,-1.22
1.762,0.24,1.78,-1.21
1.780,0.31,1.73,-1.22
1.781,0.34,1.69,-1.21
1.783,0.32,1.68,-1.20
1.784,0.30,1.66,-1.17
1.787,0.21,1.65,-1.10
1.829,0.11,1.65,-1.02
1.831,0.01,1.66,-0.95
1.833,-0.05,1.65,-0.90
1.834,-0.08,1.67,-0.85
