time,x,y,z
0.001,0.03,-0.06,-0.01
0.002,0.01,-0.07,-0.01
0.012,0.00,-0.06,-0.02
0.013,0.00,-0.05,-0.03
0.016,-0.01,-0.05,-0.04
0.061,-0.01,-0.04,-0.04
0.062,-0.01,-0.03,-0.03
0.063,-0.02,-0.02,-0.04
0.064,-0.02,0.01,-0.03
0.064,-0.02,0.02,-0.03
0.065,-0.02,0.04,-0.03
0.066,-0.01,0.06,-0.03
0.066,0.02,0.06,-0.02
0.067,0.02,0.05,-0.02
0.068,0.04,0.04,-0.02
0.080,0.05,0.03,-0.04
0.081,0.03,0.04,-0.03
0.082,0.01,0.03,-0.03
0.086,-0.01,0.03,-0.03
0.095,-0.03,0.03,-0.03
0.096,-0.04,0.01,-0.03
0.101,-0.04,-0.02,-0.01
0.142,-0.05,-0.01,-0.02
0.143,-0.04,-0.02,-0.02
0.144,-0.02,-0.03,-0.02
0.144,-0.00,-0.05,-0.02
0.145,0.03,-0.04,-0.02
0.146,0.04,-0.05,-0.03
0.146,0.03,-0.06,-0.02
0.147,0.04,-0.07,-0.02
0.148,0.02,-0.05,-0.01
0.160,0.01,-0.03,0.01
0.161,0.01,-0.01,0.01
0.162,-0.00,0.00,-0.00
0.172,0.01,0.02,-0.00
0.174,0.02,0.01,-0.01
0.176,0.03,0.03,-0.02
0.185,0.05,0.02,-0.03
0.186,0.07,0.02,-0.04
0.229,0.09,0.00,-0.05
0.229,0.10,-0.00,-0.06
0.230,0.09,-0.03,-0.06
0.231,0.08,-0.03,-0.06
0.232,0.06,-0.04,-0.06
0.232,0.05,-0.02,-0.04
0.233,0.03,-0.00,-0.03
0.234,0.02,0.00,-0.03
0.234,0.01,-0.00,-0.03
0.245,0.01,-0.01,-0.03
0.246,0.02,-0.03,-0.05
0.246,0.02,-0.04,-0.05
0.255,0.03,-0.06,-0.05
0.264,0.03,-0.07,-0.06
0.265,0.02,-0.06,-0.05
0.266,0.01,-0.05,-0.03
0.278,-0.00,-0.04,-0.03
