time,x,y,z
0.001,-0.08,0.10,0.03
0.002,-0.03,0.06,0.04
0.013,0.02,0.03,0.03
0.014,0.07,0.01,0.02
0.016,0.09,0.01,0.01
0.062,0.09,0.01,0.00
0.063,0.08,0.03,-0.01
0.064,0.07,0.04,-0.02
0.064,0.04,0.06,-0.02
0.065,0.01,0.08,-0.03
0.066,-0.02,0.09,-0.02
0.066,-0.03,0.09,-0.03
0.067,-0.04,0.09,-0.04
0.068,-0.03,0.09,-0.04
0.069,-0.03,0.08,-0.04
0.083,-0.03,0.06,-0.05
0.085,-0.03,0.04,-0.05
0.086,-0.03,0.04,-0.07
0.087,-0.03,0.04,-0.08
0.102,-0.04,0.04,-0.10
0.103,-0.03,0.04,-0.10
0.104,-0.03,0.04,-0.11
0.150,-0.03,0.05,-0.11
0.151,-0.02,0.04,-0.11
0.152,-0.01,0.04,-0.11
0.153,-0.01,0.03,-0.10
0.153,-0.00,0.02,-0.10
0.154,-0.01,0.00,-0.11
0.155,-0.01,-0.01,-0.11
0.156,-0.02,-0.01,-0.10
0.156,-0.03,-0.01,-0.11
0.157,-0.04,-0.00,-0.10
0.158,-0.05,-0.01,-0.09
0.172,-0.06,-0.00,-0.08
0.173,-0.07,0.00,-0.08
0.174,-0.07,-0.00,-0.07
0.176,-0.07,0.00,-0.07
0.185,-0.07,0.00,-0.06
0.186,-0.07,0.01,-0.06
0.239,-0.07,0.01,-0.05
0.240,-0.06,0.01,-0.06
0.241,-0.05,0.01,-0.04
0.242,-0.04,0.02,-0.03
0.243,-0.03,0.02,-0.02
0.244,-0.01,0.01,-0.01
0.245,-0.01,0.01,-0.01
0.246,0.00,0.02,-0.02
0.248,-0.01,0.03,-0.02
0.249,-0.02,0.03,-0.03
0.250,-0.02,0.03,-0.03
0.251,-0.03,0.02,-0.05
0.253,-0.02,0.03,-0.05
0.268,-0.01,0.02,-0.05
0.269,-0.01,0.01,-0.05
0.270,0.00,0.02,-0.07
0.281,0.02,0.02,-0.09
0.282,0.03,0.02,-0.11
0.283,0.02,0.02,-0.12
0.297,0.02,0.01,-0.12
0.298,-0.00,-0.00,-0.14
0.299,-0.03,-0.00,-0.15
0.301,-0.05,-0.00,-0.16
0.350,-0.08,-0.00,-0.17
0.351,-0.12,-0.01,-0.19
0.352,-0.16,0.00,-0.20
0.352,-0.20,-0.00,-0.22
0.353,-0.24,-0.01,-0.23
0.354,-0.27,-0.00,-0.24
0.355,-0.29,-0.00,-0.26
0.356,-0.32,0.00,-0.28
0.357,-0.34,-0.00,-0.29
0.357,-0.36,-0.01,-0.31
0.358,-0.38,-0.01,-0.34
0.368,-0.37,-0.02,-0.36
0.369,-0.38,-0.02,-0.37
0.377,-0.36,-0.03,-0.39
0.378,-0.35,-0.03,-0.41
0.381,-0.33,-0.03,-0.43
0.424,-0.31,-0.03,-0.46
0.425,-0.29,-0.04,-0.48
0.426,-0.25,-0.04,-0.53
0.427,-0.22,-0.05,-0.57
0.427,-0.20,-0.04,-0.59
0.428,-0.17,-0.04,-0.62
0.429,-0.18,-0.04,-0.65
0.430,-0.18,-0.04,-0.69
0.431,-0.19,-0.03,-0.72
0.432,-0.22,-0.03,-0.75
0.447,-0.25,-0.02,-0.78
0.449,-0.28,-0.02,-0.81
0.487,-0.33,-0.01,-0.84
0.488,-0.36,-0.01,-0.85
0.489,-0.41,-0.01,-0.88
0.491,-0.46,-0.01,-0.92
0.492,-0.51,-0.00,-0.97
0.493,-0.56,-0.01,-1.00
0.495,-0.61,-0.02,-1.06
0.496,-0.64,-0.03,-1.12
0.497,-0.66,-0.04,-1.15
0.499,-0.67,-0.07,-1.21
0.500,-0.69,-0.11,-1.26
0.501,-0.68,-0.13,-1.32
0.512,-0.68,-0.16,-1.37
0.513,-0.69,-0.20,-1.41
0.524,-0.69,-0.23,-1.47
0.526,-0.70,-0.26,-1.50
0.527,-0.70,-0.28,-1.52
0.531,-0.71,-0.31,-1.57
0.541,-0.72,-0.34,-1.61
0.543,-0.74,-0.37,-1.66
0.547,-0.76,-0.39,-1.71
0.550,-0.78,-0.41,-1.76
0.595,-0.80,-0.43,-1.81
0.597,-0.82,-0.45,-1.87
0.598,-0.83,-0.48,-1.91
0.599,-0.86,-0.52,-1.97
0.600,-0.88,-0.56,-2.04
0.601,-0.91,-0.60,-2.10
0.602,-0.93,-0.64,-2.16
0.603,-0.96,-0.67,-2.21
0.604,-0.98,-0.70,-2.24
0.606,-1.02,-0.71,-2.25
0.607,-1.04,-0.69,-2.26
0.622,-1.09,-0.67,-2.25
0.623,-1.13,-0.64,-2.24
0.624,-1.18,-0.60,-2.22
0.628,-1.24,-0.58,-2.19
0.636,-1.29,-0.58,-2.17
0.638,-1.35,-0.58,-2.16
0.694,-1.40,-0.58,-2.15
0.695,-1.43,-0.60,-2.15
0.696,-1.48,-0.63,-2.15
0.697,-1.53,-0.66,-2.16
0.698,-1.57,-0.71,-2.18
0.699,-1.60,-0.73,-2.19
0.700,-1.62,-0.75,-2.21
0.701,-1.64,-0.76,-2.21
0.702,-1.64,-0.79,-2.22
0.703,-1.64,-0.79,-2.23
0.703,-1.63,-0.78,-2.23
0.704,-1.62,-0.75,-2.23
0.705,-1.61,-0.72,-2.22
0.706,-1.58,-0.67,-2.21
0.717,-1.57,-0.61,-2.19
0.718,-1.55,-0.59,-2.18
0.798,-1.55,-0.52,-2.16
0.799,-1.53,-0.46,-2.13
0.800,-1.50,-0.41,-2.12
0.801,-1.49,-0.39,-2.09
0.803,-1.47,-0.38,-2.10
0.804,-1.45,-0.40,-2.09
0.804,-1.43,-0.42,-2.08
0.806,-1.40,-0.43,-2.07
0.807,-1.39,-0.46,-2.06
0.808,-1.38,-0.49,-2.03
0.809,-1.36,-0.52,-2.01
0.811,-1.36,-0.54,-1.98
0.811,-1.36,-0.57,-1.94
0.812,-1.36,-0.57,-1.91
0.813,-1.36,-0.57,-1.87
0.814,-1.36,-0.60,-1.86
0.814,-1.36,-0.58,-1.82
0.815,-1.35,-0.56,-1.80
0.816,-1.34,-0.54,-1.77
0.817,-1.34,-0.51,-1.74
0.823,-1.34,-0.47,-1.71
0.863,-1.34,-0.43,-1.69
0.864,-1.35,-0.40,-1.68
0.866,-1.36,-0.34,-1.65
0.866,-1.38,-0.26,-1.63
0.867,-1.39,-0.19,-1.61
0.868,-1.43,-0.12,-1.59
0.870,-1.48,-0.07,-1.58
0.871,-1.51,-0.04,-1.57
0.872,-1.55,-0.04,-1.57
0.872,-1.57,-0.05,-1.57
0.880,-1.57,-0.08,-1.57
0.881,-1.55,-0.13,-1.58
0.921,-1.50,-0.15,-1.58
0.922,-1.44,-0.16,-1.57
0.923,-1.37,-0.17,-1.56
0.924,-1.30,-0.17,-1.54
0.925,-1.23,-0.17,-1.54
0.926,-1.20,-0.17,-1.54
0.927,-1.12,-0.17,-1.54
0.927,-1.04,-0.15,-1.54
0.928,-0.97,-0.13,-1.55
0.935,-0.90,-0.10,-1.57
0.936,-0.84,-0.08,-1.59
0.944,-0.78,-0.05,-1.62
0.995,-0.72,-0.04,-1.64
0.996,-0.70,-0.04,-1.65
0.997,-0.64,-0.03,-1.68
0.998,-0.59,-0.03,-1.68
0.999,-0.54,-0.02,-1.69
1.000,-0.47,0.00,-1.69
1.001,-0.41,0.04,-1.70
1.003,-0.35,0.09,-1.71
1.003,-0.31,0.10,-1.72
1.004,-0.30,0.13,-1.75
1.006,-0.30,0.14,-1.80
1.006,-0.33,0.13,-1.87
1.007,-0.39,0.12,-1.91
1.029,-0.48,0.10,-1.97
1.030,-0.60,0.07,-2.00
1.031,-0.72,0.06,-2.02
1.033,-0.79,0.03,-2.03
1.034,-0.92,0.00,-2.02
1.096,-1.04,-0.00,-2.01
1.098,-1.14,-0.03,-2.00
1.099,-1.23,-0.04,-1.98
1.100,-1.30,-0.06,-1.97
1.103,-1.36,-0.06,-1.94
1.104,-1.42,-0.05,-1.94
1.106,-1.45,-0.04,-1.91
1.108,-1.50,-0.03,-1.88
1.109,-1.53,-0.02,-1.85
1.112,-1.57,0.02,-1.82
1.113,-1.60,0.04,-1.80
1.114,-1.62,0.07,-1.76
1.116,-1.65,0.11,-1.73
1.117,-1.67,0.12,-1.72
1.119,-1.67,0.16,-1.70
1.121,-1.71,0.20,-1.68
1.122,-1.72,0.24,-1.66
1.124,-1.76,0.27,-1.61
1.156,-1.78,0.32,-1.57
1.157,-1.82,0.35,-1.52
1.159,-1.83,0.37,-1.47
1.161,-1.85,0.41,-1.43
1.163,-1.85,0.44,-1.39
1.165,-1.85,0.45,-1.34
1.167,-1.86,0.46,-1.28
1.169,-1.85,0.47,-1.24
1.171,-1.83,0.48,-1.18
1.173,-1.81,0.50,-1.12
1.183,-1.78,0.51,-1.09
1.185,-1.77,0.52,-1.03
1.186,-1.75,0.54,-0.99
1.191,-1.74,0.55,-0.95
1.234,-1.71,0.58,-0.89
1.236,-1.70,0.62,-0.85
1.237,-1.67,0.67,-0.81
1.238,-1.67,0.73,-0.77
1.239,-1.67,0.76,-0.76
1.240,-1.68,0.81,-0.75
1.241,-1.69,0.86,-0.74
1.242,-1.70,0.91,-0.73
1.245,-1.70,0.94,-0.70
1.247,-1.66,0.98,-0.64
1.249,-1.59,1.01,-0.57
1.260,-1.51,1.03,-0.50
1.264,-1.42,1.03,-0.47
1.268,-1.37,1.03,-0.40
1.269,-1.28,1.03,-0.36
1.320,-1.21,1.02,-0.29
1.322,-1.14,1.02,-0.22
1.322,-1.06,1.03,-0.14
1.323,-1.00,1.05,-0.05
1.324,-0.94,1.07,-0.02
1.325,-0.91,1.12,0.05
1.326,-0.86,1.18,0.11
1.327,-0.83,1.24,0.14
1.328,-0.82,1.30,0.16
1.329,-0.82,1.35,0.18
1.330,-0.84,1.40,0.19
1.331,-0.86,1.41,0.21
1.332,-0.90,1.40,0.22
1.347,-0.92,1.38,0.23
1.348,-0.96,1.35,0.26
1.349,-0.97,1.30,0.31
1.351,-0.96,1.27,0.38
1.412,-0.91,1.24,0.47
1.413,-0.81,1.23,0.57
1.414,-0.68,1.22,0.66
1.415,-0.61,1.23,0.71
1.416,-0.47,1.21,0.78
1.417,-0.35,1.20,0.85
1.418,-0.26,1.19,0.90
1.420,-0.21,1.20,0.92
1.421,-0.23,1.20,0.93
1.422,-0.28,1.21,0.93
1.423,-0.37,1.21,0.93
1.424,-0.41,1.20,0.94
1.425,-0.49,1.21,0.96
1.427,-0.55,1.19,1.00
1.428,-0.56,1.16,1.07
1.444,-0.54,1.11,1.15
1.445,-0.48,1.05,1.24
1.447,-0.40,1.00,1.33
1.519,-0.32,0.98,1.38
1.521,-0.27,0.93,1.48
1.523,-0.17,0.91,1.58
1.524,-0.10,0.89,1.68
1.526,-0.03,0.85,1.78
1.528,0.03,0.84,1.89
1.529,0.07,0.82,2.01
1.531,0.11,0.82,2.12
1.533,0.14,0.80,2.18
1.535,0.15,0.81,2.30
1.537,0.18,0.79,2.41
1.539,0.21,0.76,2.53
1.540,0.23,0.72,2.64
1.542,0.27,0.66,2.76
1.544,0.30,0.60,2.87
1.546,0.34,0.57,2.92
1.548,0.36,0.50,3.01
1.550,0.39,0.44,3.07
1.552,0.39,0.38,3.12
1.554,0.38,0.37,3.13
1.556,0.34,0.34,3.14
1.558,0.29,0.30,3.13
1.559,0.23,0.22,3.11
1.561,0.17,0.19,3.10
1.598,0.15,0.10,3.09
1.599,0.11,0.00,3.09
1.600,0.07,-0.10,3.12
1.601,0.06,-0.18,3.16
