time,x,y,z
0.003,-0.81,-0.02,-0.05
0.003,-0.87,-0.06,-0.02
0.014,-0.82,-0.09,-0.00
0.015,-0.71,-0.10,0.01
0.017,-0.56,-0.09,0.01
0.029,-0.46,-0.04,0.01
0.030,-0.27,-0.01,-0.01
0.032,-0.07,0.00,-0.02
0.068,0.12,0.03,-0.02
0.069,0.28,0.03,-0.02
0.070,0.39,0.03,-0.01
0.071,0.44,0.02,-0.01
0.071,0.45,0.01,-0.01
0.072,0.44,0.01,-0.01
0.073,0.38,0.00,-0.01
0.074,0.29,-0.00,-0.01
0.083,0.17,-0.00,-0.01
0.084,0.05,-0.01,-0.01
0.093,-0.07,-0.01,-0.02
0.094,-0.14,-0.01,-0.02
0.097,-0.17,-0.02,-0.02
0.109,-0.19,-0.02,-0.02
0.110,-0.18,-0.03,-0.00
0.112,-0.15,-0.03,-0.00
0.117,-0.09,-0.01,-0.01
0.127,-0.03,0.00,-0.00
0.128,0.02,0.01,-0.02
0.132,0.07,0.02,-0.02
0.164,0.08,0.02,-0.02
0.166,0.10,0.01,-0.02
0.166,0.10,0.01,-0.02
0.167,0.08,0.00,-0.02
0.168,0.05,-0.00,-0.02
0.169,0.01,-0.01,-0.02
0.170,-0.02,-0.00,-0.02
0.179,-0.04,-0.03,-0.01
0.180,-0.06,-0.02,-0.02
0.182,-0.08,-0.02,-0.03
0.192,-0.08,-0.02,-0.02
0.193,-0.06,-0.01,-0.02
0.197,-0.04,0.01,-0.02
0.210,-0.01,0.01,0.00
0.211,0.02,0.01,-0.01
0.212,0.04,0.00,-0.00
0.217,0.05,-0.00,-0.01
0.226,0.06,-0.00,-0.01
0.227,0.06,-0.00,-0.01
0.232,0.05,-0.00,-0.01
0.269,0.04,-0.01,-0.01
0.271,0.02,-0.01,-0.00
0.271,0.02,-0.01,-0.00
0.272,0.00,-0.00,-0.02
0.273,-0.00,-0.00,-0.00
0.274,-0.01,-0.00,-0.00
0.275,-0.01,-0.02,-0.01
0.275,-0.01,-0.01,-0.00
0.284,-0.01,-0.01,-0.00
0.285,-0.00,-0.02,0.00
0.294,0.00,-0.01,-0.01
0.295,-0.00,-0.01,-0.01
0.297,-0.01,-0.01,-0.01
0.309,-0.01,-0.02,-0.01
0.310,-0.02,-0.01,-0.01
0.312,-0.02,-0.00,-0.02
0.317,-0.02,0.01,-0.02
0.325,-0.02,0.01,-0.02
0.327,-0.02,0.00,-0.02
0.332,-0.00,-0.00,-0.01
0.367,0.01,0.00,-0.01
0.368,0.01,0.01,-0.01
0.369,0.02,-0.02,-0.01
