time,x,y,z
0.1050,0.2424,-0.5101,0.8072
0.1940,0.2424,-0.4779,0.7876
0.2870,0.2639,-0.4984,0.8091
0.3960,0.2130,-0.5140,0.8346
0.4780,0.3049,-0.4827,0.8218
0.5560,0.2834,-0.4955,0.8189
0.6240,0.2375,-0.4710,0.9205
0.7250,0.1886,-0.4143,0.8414
0.8220,0.2316,-0.3362,0.7867
0.9060,0.1739,-0.2941,0.7036
0.9880,0.2619,-0.2785,0.8111
1.0900,0.4143,0.1124,1.3525
1.1690,0.1476,-0.0547,1.0642
1.2950,0.2248,0.0782,1.2372
1.3780,0.2072,-0.1994,1.0017
1.4860,0.2805,-0.2687,0.7114
1.5230,0.2003,0.2345,1.1531
1.6380,0.2316,0.4564,0.5385
1.7270,0.0029,0.9411,0.5961
1.8230,0.1182,0.4124,0.7945
1.9300,0.1417,0.6332,0.5453
2.0160,0.0264,0.6205,0.8179
2.0960,-0.0010,0.5140,0.7867
2.2050,-0.0147,0.5560,0.7446
2.2920,0.0860,0.5326,0.7828
2.3420,0.0195,0.5267,0.7798
2.4430,0.0332,0.5971,0.8179
2.5450,0.0342,0.5521,0.7974
2.6380,0.0166,0.5375,0.7173
2.7270,0.0147,0.5746,0.7564
2.8180,-0.0098,0.5541,0.7613
2.9120,-0.0303,0.5472,0.7495
3.0040,0.0068,0.5697,0.7847
3.1500,0.0068,0.5697,0.7867
3.1710,0.0059,0.5580,0.7573
3.2900,0.0049,0.5795,0.7984
3.3640,-0.0068,0.5756,0.7691
3.4540,-0.0029,0.5678,0.7476
3.5440,-0.0156,0.5922,0.7788
3.6370,-0.0469,0.5785,0.7857
3.7260,-0.0635,0.5902,0.7222
3.8130,-0.0528,0.5951,0.7427
3.9470,-0.0410,0.5932,0.7554
4.0190,-0.0606,0.5795,0.7466
4.1170,-0.0577,0.6039,0.7515
4.1810,-0.0303,0.5883,0.7466
4.2570,-0.0479,0.5971,0.7446
4.3420,-0.0450,0.5942,0.7554
4.4540,-0.0303,0.5922,0.7427
4.5400,-0.0176,0.5971,0.7437
4.6370,-0.0195,0.5990,0.7329
4.7270,-0.0283,0.6059,0.7359
4.8180,-0.0362,0.6088,0.7378
4.9050,-0.0381,0.6098,0.7163
5.0190,-0.0410,0.6293,0.7378
5.1350,-0.0596,0.6332,0.7407
5.1860,-0.0391,0.6147,0.7065
5.2730,-0.0518,0.6215,0.7261
5.3400,-0.0440,0.6186,0.7349
5.4570,-0.0440,0.6117,0.7339
5.5520,-0.0440,0.6049,0.7290
5.6430,-0.0469,0.6166,0.7476
5.7250,-0.0498,0.6157,0.7319
5.8140,-0.0498,0.6137,0.7339
5.9170,-0.0489,0.6284,0.7329
6.0120,-0.0547,0.6459,0.7300
6.1220,-0.0459,0.6205,0.7231
6.1460,-0.0508,0.6205,0.7339
6.2410,-0.0450,0.6284,0.7202
6.3620,-0.0674,0.6518,0.7241
6.4500,-0.0655,0.6411,0.7075
6.5400,-0.0508,0.6450,0.7056
6.6330,-0.1134,0.6762,0.7153
6.7340,-0.0889,0.6860,0.7016
