time,x,y,z
0.0790,0.1964,-0.3254,0.8932
0.1710,0.2052,-0.3303,0.8863
0.2600,0.1925,-0.3411,0.8746
0.3330,0.2033,-0.3420,0.8961
0.4120,0.2033,-0.3352,0.8883
0.4970,0.1964,-0.3381,0.8903
0.5840,0.1915,-0.3430,0.8805
0.6650,0.1954,-0.3362,0.8844
0.7580,0.1984,-0.3332,0.8903
0.8320,0.1984,-0.3371,0.8863
0.9170,0.1974,-0.3381,0.8903
0.9880,0.1886,-0.3362,0.8912
1.0830,0.1974,-0.3420,0.8863
1.1670,0.1896,-0.3381,0.8893
1.2560,0.2668,-0.2658,0.9665
1.3330,0.2345,-0.4456,1.0554
1.4150,0.0410,-0.3674,1.0945
1.4980,-0.0938,-0.4036,0.8903
1.5870,-0.1261,-0.3205,0.7603
1.6610,-0.0752,-0.2834,0.7876
1.7630,-0.0567,-0.2336,0.8375
1.8300,-0.0127,-0.2218,0.7808
1.9150,-0.0870,-0.1524,0.7505
2.0050,0.4886,-0.3196,0.7701
2.0840,0.7691,-0.3147,0.7730
2.1640,0.7036,-0.2042,0.7740
2.2620,0.7261,-0.2257,0.6655
2.3330,0.7310,-0.1671,0.6459
2.4140,0.8697,-0.1280,0.8062
2.4980,0.8697,-0.3948,0.8267
2.5800,0.3801,-0.1954,0.9333
2.6670,-0.0860,-0.1182,0.8951
2.7380,-0.2306,-0.2463,0.7876
2.8310,-0.2003,-0.3293,0.8502
2.9150,-0.3283,-0.2453,0.8707
2.9990,-0.3156,-0.2287,0.8228
3.1020,-0.2863,-0.2433,0.8267
3.1630,-0.2433,-0.1280,0.8179
3.2490,0.4857,-0.2062,1.1394
3.3360,-0.2394,-0.1251,0.7319
3.4160,0.5883,-0.1603,0.8629
3.4960,0.7183,-0.0518,0.9420
3.5800,0.7632,-0.1564,0.7378
3.6500,0.6293,-0.2150,0.6489
3.7510,0.7280,-0.2306,0.5482
3.8320,0.8385,-0.2228,0.7153
3.9170,0.9049,-0.3137,1.0319
3.9980,0.1554,-0.2863,0.8560
4.1100,0.2179,-0.2218,0.9479
4.1730,-0.0782,-0.2209,0.6792
4.2360,-0.1827,-0.3147,0.7124
4.3310,-0.2893,-0.2482,0.8033
4.4180,-0.2893,-0.2541,0.8580
4.5020,-0.4075,-0.2541,0.7828
4.5810,-0.4788,-0.1730,0.6977
4.6550,0.2375,-0.0987,0.9704
4.7490,0.1691,-0.1261,0.7945
4.8250,0.6362,-0.2033,0.8414
4.9150,0.6772,-0.1212,0.7251
4.9970,0.7788,-0.2101,0.7446
5.1010,0.6811,-0.1769,0.7153
5.1610,0.6411,-0.2814,0.5883
5.2380,0.6977,-0.2296,0.7622
