time,x,y,z
0.010,0.01,0.08,0.06
0.014,0.02,0.07,0.08
0.019,0.01,0.06,0.07
0.031,0.02,0.06,0.07
0.034,0.00,0.08,0.05
0.047,-0.00,0.10,0.04
0.054,0.02,0.12,0.05
0.054,0.02,0.12,0.05
0.076,0.03,0.07,0.06
0.076,0.03,0.07,0.06
0.087,-0.03,0.05,0.06
0.087,-0.03,0.05,0.06
0.098,-0.03,0.17,0.09
0.104,-0.01,0.08,0.10
0.114,-0.02,0.04,0.09
0.119,-0.05,0.05,0.07
0.130,-0.05,0.08,0.07
0.134,-0.05,0.10,0.07
0.146,-0.06,0.11,0.07
0.154,-0.02,0.14,0.08
0.154,-0.02,0.14,0.08
0.174,-0.01,0.15,0.11
0.175,-0.00,0.16,0.12
0.177,-0.00,0.18,0.13
0.190,-0.01,0.17,0.13
0.201,0.00,0.17,0.11
0.204,0.02,0.18,0.09
0.213,0.06,0.18,0.09
0.219,0.11,0.13,0.10
0.237,0.11,0.11,0.10
0.237,0.11,0.11,0.10
0.240,0.05,0.14,0.08
0.251,0.02,0.18,0.09
0.254,-0.01,0.25,0.13
0.277,-0.01,0.26,0.17
0.277,-0.01,0.26,0.17
0.280,-0.01,0.30,0.30
0.290,-0.02,0.32,0.35
0.300,-0.05,0.40,0.40
0.301,-0.07,0.44,0.41
0.301,-0.07,0.44,0.41
0.301,-0.07,0.44,0.41
0.301,-0.07,0.44,0.41
0.301,-0.07,0.44,0.41
0.301,-0.07,0.44,0.41
0.386,-0.08,0.49,0.44
0.386,-0.08,0.49,0.44
0.386,-0.08,0.49,0.44
0.386,-0.08,0.49,0.44
0.386,-0.08,0.49,0.44
0.388,-0.09,0.60,0.51
0.395,0.12,0.56,0.93
0.400,-0.21,0.58,0.71
0.411,-0.09,0.47,0.67
0.419,-0.02,0.43,0.67
0.421,0.02,0.43,0.65
0.445,0.03,0.44,0.65
0.445,0.03,0.44,0.65
0.448,0.01,0.62,0.67
0.459,0.01,0.75,0.72
0.460,0.04,0.81,0.76
0.482,0.11,0.84,0.79
0.482,0.11,0.84,0.79
0.486,0.41,0.60,1.04
0.496,0.38,0.55,1.03
0.496,0.38,0.55,1.03
0.496,0.38,0.55,1.03
