% Data generated on Wed Nov 18 22:18:52 GMT 2015
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE y4 NUMERIC
@ATTRIBUTE z4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE y5 NUMERIC
@ATTRIBUTE z5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE y6 NUMERIC
@ATTRIBUTE z6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE y7 NUMERIC
@ATTRIBUTE z7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE y8 NUMERIC
@ATTRIBUTE z8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE y9 NUMERIC
@ATTRIBUTE z9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE y10 NUMERIC
@ATTRIBUTE z10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE y11 NUMERIC
@ATTRIBUTE z11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE y12 NUMERIC
@ATTRIBUTE z12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE y13 NUMERIC
@ATTRIBUTE z13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE y14 NUMERIC
@ATTRIBUTE z14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE y15 NUMERIC
@ATTRIBUTE z15 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
0.36,0.31,0.96,0.63,0.82,0.96,0.03,0.84,0.59,0.66,0.53,0.37,0.67,0.50,0.39,-0.16,0.76,-0.51,0.36,2.61,-0.37,-1.02,1.31,-0.95,0.33,-1.31,0.01,-0.77,0.67,-0.59,-0.08,1.16,0.17,-0.28,-0.52,-0.89,0.17,1.34,-1.18,0.00,0.30,-2.27,-0.48,0.16,-1.93,EX_PEAK
2.14,0.13,2.47,-0.30,0.13,2.01,1.04,1.30,1.68,1.43,1.31,0.96,0.15,1.94,0.75,-0.17,1.65,0.03,0.38,1.48,0.07,-0.03,0.02,-0.08,-0.66,3.46,0.45,-0.89,1.39,-1.79,-0.27,1.41,-1.18,0.14,0.74,-0.99,-0.10,0.02,-0.76,-1.27,0.73,-3.29,1.11,0.17,-2.44,EX_PEAK
3.29,1.15,2.38,0.01,1.46,1.08,1.43,0.53,0.84,2.00,0.40,1.99,-0.85,0.51,-0.17,-0.88,2.32,-0.16,-1.41,3.89,-0.49,1.21,-2.86,0.56,-1.58,2.06,-2.07,0.57,-0.56,-0.63,-0.85,0.61,-1.60,0.40,1.07,-0.91,-0.34,0.08,-2.03,-0.02,-0.10,-1.85,-0.11,-0.34,-2.25,EX_PEAK
1.87,-0.86,1.91,1.57,-0.36,2.17,0.81,0.10,1.28,1.24,1.03,1.97,0.43,1.81,1.61,-0.21,0.94,0.30,0.84,0.92,0.93,1.57,-0.21,1.03,2.31,-0.56,1.86,-1.50,1.20,-1.41,0.94,-0.74,0.40,-0.76,1.51,-1.08,0.29,1.48,-0.41,-0.03,0.24,-1.38,0.08,0.18,-1.24,EX_PEAK
3.42,-0.21,3.12,0.64,-0.19,2.56,2.46,0.65,2.39,0.67,1.36,1.90,0.21,0.78,0.24,-0.09,3.40,0.53,0.97,-0.50,0.52,-1.24,0.92,-0.69,-1.61,1.78,-0.70,0.93,1.32,0.52,0.14,0.56,-0.90,-0.19,0.60,-0.81,-0.50,0.23,-1.97,0.11,0.20,-1.90,-0.04,0.24,-1.92,EX_PEAK
-0.13,-0.89,-0.92,0.70,-1.36,-0.29,1.22,-1.26,0.21,3.51,-1.16,2.09,1.05,-0.51,3.11,2.36,0.94,2.03,0.88,0.64,1.10,-0.52,4.91,-0.04,2.89,-1.73,1.70,0.38,2.32,1.31,-0.06,-0.65,-0.38,-0.75,-0.36,-0.60,0.41,0.73,-0.63,-0.28,0.20,-0.69,-0.06,0.22,-1.02,EX_PEAK
2.55,-1.06,1.37,2.07,-0.33,2.06,3.04,0.17,2.89,2.02,0.34,2.95,1.93,0.52,1.52,-0.80,2.24,0.27,-0.08,0.79,-0.15,-0.65,1.16,-0.38,-1.11,1.40,-0.94,0.48,1.69,0.43,1.15,1.26,0.28,1.20,1.13,0.21,-0.64,0.36,-2.20,-0.51,0.33,-2.20,-0.98,0.00,-2.12,EX_PEAK
1.89,-1.26,1.06,1.42,-0.95,1.55,1.31,0.18,2.43,0.45,1.80,2.23,0.56,1.38,1.94,0.22,0.73,0.17,-0.10,0.48,-0.00,-0.50,3.63,0.39,-0.95,0.20,-0.90,-1.43,1.47,-1.44,0.53,1.87,-0.19,-0.39,-0.07,-0.60,-0.57,-0.14,-0.67,-0.64,0.11,-1.27,-0.64,0.14,-1.35,EX_PEAK
1.68,-0.86,0.37,3.17,-0.52,2.72,-0.11,0.16,1.59,0.31,0.31,1.74,-0.11,1.93,2.10,1.31,0.54,1.16,1.03,0.62,0.83,0.77,0.72,0.62,-1.21,1.71,-0.63,1.23,1.00,0.74,-0.41,0.77,-0.64,-0.04,0.83,-0.63,0.18,0.17,-1.11,-1.04,0.50,-1.52,-1.26,0.57,-1.64,EX_PEAK
0.23,-1.18,-0.77,2.29,-1.34,0.73,0.00,-0.70,-0.22,1.22,-0.29,1.13,1.91,0.47,2.68,0.66,1.15,2.23,0.51,0.72,0.14,-0.20,0.92,0.00,1.37,-1.08,0.94,0.75,-0.40,0.50,0.07,0.19,0.06,0.14,1.41,-0.04,0.90,1.24,-0.17,0.01,0.43,-0.73,-0.51,0.38,-1.38,EX_PEAK
