time,x,y,z
0.5010,-0.8619,0.1661,0.4046
0.9960,-1.0398,-0.0098,0.4134
1.5010,-0.5521,0.1055,0.4847
1.9970,-0.9606,-0.0586,0.5619
2.4960,-0.7583,-0.0586,0.6166
3.0030,-0.7603,-0.0792,0.6929
3.4990,-0.9069,-0.1231,0.6000
4.0030,-0.7261,0.1515,0.6430
4.4980,-0.7974,-0.1085,0.5766
4.9980,-0.7916,-0.1231,0.5306
5.4960,-0.6205,0.1124,0.5482
6.0010,-0.8512,-0.1876,0.6469
6.5020,-0.7691,-0.0352,0.5697
6.9980,-0.6117,0.2140,0.6372
7.5010,-0.9186,-0.0762,0.5385
8.0000,-0.6762,-0.0068,0.5179
8.5000,-0.6459,-0.3196,0.5619
9.0040,-0.7955,-0.1935,0.5267
9.4990,-0.6372,0.1368,0.6342
9.9980,-0.9352,-0.1593,0.6987
10.5000,-0.6860,-0.0889,0.5531
10.9980,-0.5599,-0.1524,0.5394
11.5040,-0.8375,-0.0880,0.5609
11.9950,-0.6196,0.1720,0.7056
12.5030,-0.6987,0.0098,0.5981
13.0010,-0.8854,-0.1906,0.5316
13.5000,-0.6039,0.0332,0.5668
13.9990,-0.7876,-0.0459,0.6508
14.5000,-0.7300,0.0430,0.4808
15.0130,-0.9508,-0.1114,0.4642
15.4820,-0.7163,-0.0342,0.5121
16.0270,-0.8238,-0.1280,0.5345
16.5030,-0.8140,-0.1573,0.5091
17.0210,-0.7974,-0.1749,0.5023
