% Data generated on Wed Nov 18 22:17:44 GMT 2015
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
0.66,0.53,0.37,-0.06,-0.90,-0.80,EX_PEAK
-0.67,-0.12,1.73,-0.66,3.46,0.45,EX_PEAK
3.08,-0.26,1.53,-0.89,1.28,-0.14,EX_PEAK
0.51,-1.20,-0.58,0.84,0.92,0.93,EX_PEAK
0.11,-0.81,-0.51,0.97,-0.50,0.52,EX_PEAK
3.51,-1.16,2.09,-0.06,-0.65,-0.38,EX_PEAK
2.30,0.25,2.98,0.75,1.48,0.45,EX_PEAK
0.59,-0.98,-0.95,0.29,0.67,0.27,EX_PEAK
0.48,-1.03,-0.22,1.31,0.54,1.16,EX_PEAK
2.29,-1.34,0.73,1.85,-1.50,1.39,EX_PEAK
1.98,-1.82,0.08,-1.36,1.25,-0.68,EX_PEAK
-0.06,-0.90,-0.80,0.74,-1.55,-1.38,EX_TROU
-0.66,3.46,0.45,1.53,-0.76,-2.35,EX_TROU
-0.89,1.28,-0.14,-0.34,0.08,-2.03,EX_TROU
0.08,0.19,-1.29,0.11,-0.81,-0.51,EX_TROU
0.97,-0.50,0.52,0.11,0.20,-1.90,EX_TROU
-0.06,-0.65,-0.38,0.70,-0.65,-1.69,EX_TROU
0.75,1.48,0.45,0.59,-0.98,-0.95,EX_TROU
-0.62,-0.10,-0.77,0.48,-1.03,-0.22,EX_TROU
-1.04,0.50,-1.52,2.29,-1.34,0.73,EX_TROU
-1.24,0.19,-1.86,1.98,-1.82,0.08,EX_TROU
-0.48,-0.70,-0.67,-0.00,2.35,-0.01,EX_PEAK
-0.08,-1.21,-0.36,-2.67,2.29,-1.13,EX_PEAK
0.31,-1.35,0.72,-0.64,-0.41,-1.43,EX_PEAK
-0.67,-0.55,-2.05,-1.16,0.68,-0.14,EX_PEAK
-0.37,-1.23,-0.17,-0.54,0.26,-1.72,EX_PEAK
-0.85,-0.54,-1.50,-0.52,0.42,-0.06,EX_PEAK
0.40,-1.51,0.20,-1.27,-0.39,-1.38,EX_PEAK
-0.77,-0.78,-0.89,-0.19,1.41,-0.30,EX_PEAK
-1.41,-1.07,-0.48,-2.30,1.46,-0.97,EX_PEAK
0.01,1.01,1.06,-0.48,-0.22,1.15,EX_TROU
-0.12,0.39,1.58,-0.08,-1.21,-0.36,EX_TROU
0.67,0.29,1.27,0.31,-1.35,0.72,EX_TROU
-0.16,0.19,0.58,1.46,-2.34,1.00,EX_TROU
-1.16,0.68,-0.14,1.15,-0.58,1.65,EX_TROU
-0.10,1.01,1.01,0.52,-1.69,1.57,EX_TROU
-0.10,0.21,0.64,0.40,-1.51,0.20,EX_TROU
0.14,1.02,1.62,1.05,-0.43,1.28,EX_TROU
-0.13,0.24,1.33,-1.41,-1.07,-0.48,EX_TROU
0.06,-0.02,0.00,-0.01,0.00,-0.02,NOT_EX
-0.01,0.00,-0.02,0.00,-0.01,-0.01,NOT_EX
0.00,-0.01,-0.01,0.00,-0.01,0.00,NOT_EX
0.00,-0.01,0.00,0.12,0.07,-1.03,NOT_EX
0.12,0.07,-1.03,0.12,-0.27,0.01,NOT_EX
0.12,-0.27,0.01,0.17,0.04,-0.03,NOT_EX
0.17,0.04,-0.03,-1.44,4.17,-0.51,NOT_EX
-1.44,4.17,-0.51,0.86,-2.20,1.49,NOT_EX
0.86,-2.20,1.49,0.83,0.02,-0.22,NOT_EX
0.83,0.02,-0.22,-1.61,4.82,-0.89,NOT_EX
-1.61,4.82,-0.89,0.81,-1.62,0.59,NOT_EX
