time,x,y,z
0.511,0.03,-0.02,0.06
0.985,0.18,-1.40,-0.76
1.498,-0.66,1.73,0.72
1.991,-0.45,-2.28,0.80
2.497,-0.22,3.14,-1.26
2.994,-3.68,-2.88,1.40
3.497,-0.96,2.71,-2.13
3.995,-1.19,-1.04,1.93
4.495,1.92,-0.50,-3.46
4.996,-2.14,-0.36,3.53
5.490,0.12,0.36,-2.36
5.993,-0.41,2.24,-0.05
6.500,-1.23,-1.48,0.99
6.997,-1.32,0.85,-1.53
7.491,-2.14,-0.44,2.78
7.997,-2.63,4.24,-1.49
8.499,-2.86,1.73,2.15
9.001,1.08,1.58,-1.09
9.495,-0.98,2.30,-0.02
9.995,-2.30,-0.10,0.68
10.497,-0.27,5.24,-1.76
10.993,-3.40,-3.69,2.19
11.496,-0.47,2.36,-0.46
12.010,-0.05,0.81,0.51
12.499,-0.11,0.09,-0.12
12.999,0.05,-0.12,0.08
13.500,0.09,-0.01,-0.03
