% Data generated on Wed Nov 18 22:17:50 GMT 2015
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
0.66,0.53,0.37,0.33,-1.31,0.01,0.12,0.16,-2.20,EX_PEAK
1.16,1.17,1.16,-0.66,3.46,0.45,-1.27,0.73,-3.29,EX_PEAK
1.43,0.53,0.84,-0.45,-1.54,-0.54,-0.34,0.08,-2.03,EX_PEAK
0.92,-0.43,1.80,0.84,0.92,0.93,-0.58,1.59,-0.88,EX_PEAK
0.67,1.36,1.90,-1.61,1.78,-0.70,0.11,0.20,-1.90,EX_PEAK
-0.13,-0.89,-0.92,2.36,0.94,2.03,-0.06,-0.65,-0.38,EX_PEAK
2.30,0.25,2.98,-0.91,3.65,0.28,-0.61,0.36,-2.24,EX_PEAK
1.59,0.23,2.68,0.36,1.71,1.21,-0.59,-0.12,-0.72,EX_PEAK
1.54,-1.01,1.32,1.31,0.54,1.16,-0.27,0.80,-0.60,EX_PEAK
2.29,-1.34,0.73,0.29,1.30,2.15,0.07,0.19,0.06,EX_PEAK
-0.40,-0.97,-0.50,-1.27,1.35,-0.72,-0.43,-0.05,-0.21,EX_PEAK
0.12,0.16,-2.20,0.74,-1.55,-1.38,-0.79,-0.56,-0.42,EX_TROU
-1.27,0.73,-3.29,1.21,-2.15,-1.22,3.08,-0.26,1.53,EX_TROU
-0.45,-1.54,-0.54,-0.34,0.08,-2.03,0.19,-0.86,-0.60,EX_TROU
-0.87,-0.46,-2.24,0.11,-0.81,-0.51,0.67,1.36,1.90,EX_TROU
-1.61,1.78,-0.70,0.11,0.20,-1.90,-0.13,-0.89,-0.92,EX_TROU
0.53,0.05,-1.43,0.13,-1.28,-0.92,2.30,0.25,2.98,EX_TROU
-0.61,0.36,-2.24,0.59,-0.98,-0.95,1.59,0.23,2.68,EX_TROU
-0.59,-0.12,-0.72,-1.00,-1.99,-1.17,1.54,-1.01,1.32,EX_TROU
-0.27,0.80,-0.60,0.35,-0.75,-1.33,2.29,-1.34,0.73,EX_TROU
-1.24,0.19,-1.86,0.13,-1.40,-0.92,-0.40,-0.97,-0.50,EX_TROU
-0.48,-0.70,-0.67,-1.43,1.63,-1.82,-0.80,0.33,0.20,EX_PEAK
-0.70,-0.38,-1.08,-2.67,2.29,-1.13,-0.20,1.37,1.19,EX_PEAK
-0.60,-0.58,-1.21,-1.49,1.38,-0.75,0.80,2.01,1.17,EX_PEAK
-0.95,-0.77,-1.25,-0.19,-0.71,-0.90,-1.16,0.68,-0.14,EX_PEAK
-0.81,0.01,-1.34,-1.59,2.10,-0.46,-0.10,1.01,1.01,EX_PEAK
-0.85,-0.54,-1.50,-1.73,3.22,-0.95,-0.32,0.62,0.18,EX_PEAK
-0.22,-1.32,-0.41,-1.27,-0.39,-1.38,0.89,1.53,1.35,EX_PEAK
-0.06,-1.21,-0.80,-0.04,0.96,-0.51,-0.25,0.77,0.80,EX_PEAK
-1.57,0.82,-1.61,-0.33,-0.08,-0.07,0.10,0.30,1.19,EX_PEAK
0.81,0.24,2.00,-0.01,-1.30,0.73,-0.48,-0.70,-0.67,EX_TROU
-0.12,0.39,1.58,-1.78,-0.60,-0.05,-0.70,-0.38,-1.08,EX_TROU
-0.43,0.38,1.19,0.31,-1.35,0.72,-0.60,-0.58,-1.21,EX_TROU
1.43,-1.17,1.78,1.46,-2.34,1.00,-0.95,-0.77,-1.25,EX_TROU
-0.29,0.36,0.67,0.98,-0.89,1.85,-0.37,-1.23,-0.17,EX_TROU
-0.01,0.16,1.22,-0.07,-1.39,-0.16,-0.85,-0.54,-1.50,EX_TROU
-0.10,0.21,0.64,0.41,-1.73,1.03,-0.22,-1.32,-0.41,EX_TROU
1.05,-0.43,1.28,-0.76,-1.55,-0.55,-0.06,-1.21,-0.80,EX_TROU
1.03,-1.13,1.96,-1.12,-1.18,-0.40,-1.57,0.82,-1.61,EX_TROU
0.03,-0.01,-0.01,-0.01,0.00,-0.02,0.00,-0.03,-0.01,NOT_EX
-0.01,0.00,-0.02,0.00,-0.03,-0.01,0.01,0.00,-0.02,NOT_EX
0.01,0.00,-0.02,0.00,-0.01,0.00,0.04,0.07,0.04,NOT_EX
0.04,0.07,0.04,0.04,-0.69,0.36,0.12,-0.27,0.01,NOT_EX
0.04,-0.69,0.36,0.12,-0.27,0.01,1.32,-0.02,-0.12,NOT_EX
0.12,-0.27,0.01,1.32,-0.02,-0.12,-0.03,0.01,-0.18,NOT_EX
-0.03,0.01,-0.18,-1.44,4.17,-0.51,0.97,-3.14,-0.25,NOT_EX
-1.44,4.17,-0.51,0.97,-3.14,-0.25,-0.56,1.15,-0.38,NOT_EX
-0.56,1.15,-0.38,0.83,0.02,-0.22,0.13,0.78,-0.08,NOT_EX
0.13,0.78,-0.08,-0.42,-1.26,-2.12,0.78,-1.61,0.59,NOT_EX
-0.42,-1.26,-2.12,0.78,-1.61,0.59,-0.16,0.29,0.93,NOT_EX
-0.16,0.29,0.93,0.16,0.04,-0.06,-0.81,3.12,0.15,NOT_EX
0.16,0.04,-0.06,-0.81,3.12,0.15,1.19,-2.96,-2.10,NOT_EX
1.19,-2.96,-2.10,-0.26,-0.26,1.06,0.11,0.05,-0.06,NOT_EX
-0.26,-0.26,1.06,0.11,0.05,-0.06,0.04,1.47,-0.10,NOT_EX
0.04,1.47,-0.10,1.05,-3.07,-0.42,1.31,-1.77,1.41,NOT_EX
1.05,-3.07,-0.42,1.31,-1.77,1.41,0.26,0.71,0.13,NOT_EX
1.31,-1.77,1.41,0.26,0.71,0.13,0.38,0.37,-0.05,NOT_EX
0.38,0.37,-0.05,0.53,2.07,-0.28,3.12,-0.42,-4.71,NOT_EX
3.12,-0.42,-4.71,0.49,0.63,-0.88,0.56,0.06,0.11,NOT_EX
0.49,0.63,-0.88,0.56,0.06,0.11,0.04,-0.03,-0.16,NOT_EX
0.56,0.06,0.11,0.04,-0.03,-0.16,-0.26,3.49,0.21,NOT_EX
-0.26,3.49,0.21,0.81,-2.84,0.13,-0.44,1.45,0.39,NOT_EX
-0.44,1.45,0.39,-0.34,0.34,-0.00,0.27,1.04,-0.13,NOT_EX
-0.34,0.34,-0.00,0.27,1.04,-0.13,0.85,-2.58,-1.01,NOT_EX
0.85,-2.58,-1.01,0.51,-1.08,1.41,1.52,0.91,-0.15,NOT_EX
0.51,-1.08,1.41,1.52,0.91,-0.15,0.08,0.03,-0.23,NOT_EX
0.08,0.03,-0.23,0.00,3.39,-0.58,0.26,-2.41,-0.45,NOT_EX
0.00,3.39,-0.58,0.26,-2.41,-0.45,0.66,-0.38,-0.46,NOT_EX
0.26,-2.41,-0.45,0.66,-0.38,-0.46,-1.15,0.24,-0.07,NOT_EX
-1.15,0.24,-0.07,0.08,-0.06,-0.38,-4.39,5.50,-2.84,NOT_EX
