time,x,y,z,gx,gy,gz,barometer
0.35,-0.84,-0.36,0.36,0.08,-0.02,0.04,1007.34
0.688,-0.80,-0.27,0.40,0.12,0.03,-0.01,1007.35
0.983,-1.00,-0.45,0.15,0.36,1.17,0.18,1007.49
1.332,-1.03,-0.41,0.26,0.26,-0.90,-0.74,1007.37
1.677,-0.69,-0.32,0.33,-0.35,-0.17,1.30,1007.35
1.973,-0.95,-0.47,0.16,-0.08,0.90,-0.03,1007.27
2.241,-1.10,-0.30,0.28,0.96,-0.31,-0.73,1007.41
2.659,-0.80,-0.26,0.30,-0.15,-0.30,0.99,1007.34
3.007,-1.05,-0.32,0.10,-0.20,0.68,0.26,1007.42
3.32,-1.09,-0.23,0.26,1.17,-0.78,-0.96,1007.29
3.65,-0.73,-0.21,0.31,-0.20,-0.44,1.29,1007.28
3.99,-1.00,-0.31,0.21,-0.42,0.99,0.13,1007.36
4.337,-1.07,-0.22,0.31,1.37,-0.70,-1.15,1007.27
4.741,-0.75,-0.19,0.37,0.21,-1.36,0.43,1007.29
4.992,-0.91,-0.25,0.26,-0.57,1.37,0.98,1007.33
5.328,-1.16,-0.22,0.26,1.15,-0.37,-1.39,1007.26
5.667,-0.75,-0.17,0.44,0.36,-1.56,0.87,1007.35
5.964,-0.65,-0.19,0.30,-0.30,1.75,1.70,1007.35
6.314,-1.22,-0.14,0.33,1.16,0.07,-1.42,1007.29
6.671,-0.94,-0.17,0.35,0.23,-1.79,0.20,1007.28
6.999,-0.61,-0.15,0.40,-0.02,0.18,1.68,1007.27
7.347,-1.18,-0.15,0.33,0.28,1.06,-1.22,1007.24
7.686,-1.07,-0.18,0.34,0.88,-1.50,-0.52,1007.25
7.977,-0.63,-0.11,0.38,0.13,0.08,1.55,1007.25
8.327,-1.11,-0.15,0.39,0.06,1.44,-0.69,1007.33
8.686,-1.06,-0.18,0.41,0.46,-1.24,-1.20,1007.30
8.975,-0.60,-0.18,0.57,0.54,-1.37,1.01,1007.25
9.311,-0.44,-0.09,0.84,0.02,-0.23,0.22,1007.23
9.667,-0.41,-0.06,0.84,0.01,0.10,-0.05,1007.29
10.007,-0.43,-0.04,0.85,0.03,0.03,-0.07,1007.32
10.307,-0.43,-0.06,0.84,0.01,-0.01,0.02,1007.30
