time,x,y,z
0.332,-0.09,-0.05,0.05
0.669,-0.06,0.38,0.05
0.990,0.01,0.06,-0.02
1.331,-0.89,-4.05,-0.25
1.672,0.08,-0.57,0.17
1.990,0.19,2.56,0.85
2.334,-0.37,0.77,0.54
2.670,0.08,0.30,-0.03
2.989,0.25,-0.73,-0.49
3.343,-0.46,-4.65,-0.00
3.661,-0.12,-0.38,0.22
3.991,-0.58,3.87,1.67
4.341,-0.01,0.49,-0.06
4.654,0.26,-0.22,-0.13
4.989,-1.26,-3.78,-0.28
5.339,0.14,-0.13,-0.10
5.667,-0.36,4.92,1.69
5.990,-0.47,0.47,0.19
6.346,-0.13,-0.15,-0.04
6.664,-1.03,-1.47,-0.11
6.992,0.06,-0.09,-0.03
7.344,-0.05,0.10,0.08
7.665,-0.44,1.55,0.47
7.991,-0.08,-0.02,0.03
8.331,-0.96,-4.31,-0.20
8.666,0.07,-0.01,-0.20
8.990,-0.17,0.51,0.17
9.331,0.07,1.08,0.30
9.666,0.09,-0.17,0.00
9.990,-0.03,-2.73,-0.57
10.331,0.16,-0.07,-0.15
10.646,-0.08,0.05,0.08
11.002,0.91,0.96,0.25
11.331,-0.04,0.13,0.14
11.666,0.49,-1.89,-0.45
11.994,0.19,-0.83,0.07
12.332,-0.07,0.58,0.25
12.666,0.16,1.33,0.29
12.999,0.01,-0.10,-0.08
13.331,-0.13,-3.85,-1.22
13.664,0.03,0.01,-0.06
13.996,-0.13,0.87,0.08
14.331,0.08,1.12,0.73
14.665,0.07,0.22,-0.12
14.996,-0.25,-3.34,-0.73
15.331,0.21,-0.08,-0.12
15.665,-0.24,0.44,0.11
15.981,-0.04,2.15,0.59
16.337,-0.02,-0.05,-0.03
16.651,0.46,-5.58,-1.00
16.981,0.30,-0.98,-0.18
17.341,-0.05,-0.02,-0.00
17.665,-0.04,2.54,0.93
17.993,-0.14,-0.65,0.19
18.331,0.11,-0.20,-0.08
18.651,0.09,-0.11,-0.01
18.981,-0.03,-0.03,-0.08
19.332,0.00,-0.02,-0.02
19.670,0.15,-0.12,-0.02
19.989,-0.11,0.13,-0.00
