% Data generated on Wed Nov 18 22:17:55 GMT 2015
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE y4 NUMERIC
@ATTRIBUTE z4 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
1.04,0.35,1.53,0.66,0.53,0.37,-0.86,1.01,-0.90,-0.06,-0.90,-0.80,EX_PEAK
-0.67,-0.12,1.73,0.78,1.28,0.68,-0.66,3.46,0.45,-0.10,0.02,-0.76,EX_PEAK
-0.09,1.36,1.23,-0.89,1.28,-0.14,-1.58,2.06,-2.07,-0.34,0.08,-2.03,EX_PEAK
0.51,-1.20,-0.58,0.96,0.16,1.35,0.84,0.92,0.93,1.15,-0.67,0.54,EX_PEAK
0.11,-0.81,-0.51,2.46,0.65,2.39,0.97,-0.50,0.52,1.10,0.75,-0.14,EX_PEAK
0.09,-1.45,-1.15,3.51,-1.16,2.09,0.71,0.61,0.89,-0.06,-0.65,-0.38,EX_PEAK
0.19,-1.58,-0.64,2.30,0.25,2.98,-0.08,0.79,-0.15,0.75,1.48,0.45,EX_PEAK
1.42,-0.95,1.55,0.29,0.67,0.27,-1.42,1.23,-1.36,-0.62,-0.10,-0.77,EX_PEAK
3.17,-0.52,2.72,1.31,0.54,1.16,0.99,1.26,0.84,-1.04,0.50,-1.52,EX_PEAK
2.29,-1.34,0.73,1.91,0.47,2.68,1.85,-1.50,1.39,0.55,1.35,0.02,EX_PEAK
1.98,-1.82,0.08,3.73,0.64,2.81,-1.36,1.25,-0.68,1.26,1.72,-0.05,EX_PEAK
-0.06,-0.90,-0.80,-1.21,0.72,-2.73,0.74,-1.55,-1.38,1.64,-1.56,0.99,EX_TROU
-0.66,3.46,0.45,-0.10,0.02,-0.76,1.53,-0.76,-2.35,0.24,-1.37,-0.83,EX_TROU
-1.58,2.06,-2.07,-0.34,0.08,-2.03,-0.69,-1.44,-1.53,0.51,-1.20,-0.58,EX_TROU
1.15,-0.67,0.54,0.08,0.19,-1.29,-0.32,-1.74,-1.52,0.11,-0.81,-0.51,EX_TROU
1.10,0.75,-0.14,0.11,0.20,-1.90,0.09,-1.45,-1.15,3.51,-1.16,2.09,EX_TROU
-0.06,-0.65,-0.38,-0.06,0.22,-1.02,0.70,-0.65,-1.69,0.19,-1.58,-0.64,EX_TROU
0.75,1.48,0.45,-0.86,0.26,-2.11,0.59,-0.98,-0.95,1.42,-0.95,1.55,EX_TROU
-1.42,1.23,-1.36,-0.62,-0.10,-0.77,-0.28,-0.98,-1.16,0.48,-1.03,-0.22,EX_TROU
0.99,1.26,0.84,-1.04,0.50,-1.52,-0.12,-1.97,-1.17,2.29,-1.34,0.73,EX_TROU
0.55,1.35,0.02,-1.24,0.19,-1.86,-1.24,-2.02,-1.25,1.98,-1.82,0.08,EX_TROU
-0.48,-0.70,-0.67,-1.69,2.03,-1.38,-0.00,2.35,-0.01,-0.91,0.75,0.15,EX_PEAK
-0.08,-1.21,-0.36,-1.06,-0.45,-1.60,-2.67,2.29,-1.13,-0.10,1.04,0.16,EX_PEAK
-0.36,-0.97,-0.46,-0.64,-0.41,-1.43,-1.36,1.32,-1.57,0.80,2.01,1.17,EX_PEAK
-0.44,-0.72,-0.59,-0.67,-0.55,-2.05,-1.07,2.20,-1.83,-1.16,0.68,-0.14,EX_PEAK
-0.37,-1.23,-0.17,-0.91,0.03,-1.48,-0.54,0.26,-1.72,-0.12,-0.49,-0.05,EX_PEAK
-0.39,-1.83,0.00,-0.85,-0.54,-1.50,-0.82,-1.49,-0.78,-0.52,0.42,-0.06,EX_PEAK
-0.63,-1.15,-1.25,-1.27,-0.39,-1.38,-0.83,0.23,-0.03,0.14,1.02,1.62,EX_PEAK
-0.77,-0.78,-0.89,-0.72,-0.00,-1.90,-0.19,1.41,-0.30,-0.29,1.27,1.53,EX_PEAK
-1.41,-1.07,-0.48,-0.76,-0.02,-1.58,-2.30,1.46,-0.97,0.96,2.19,1.96,EX_PEAK
-0.24,0.48,0.69,-0.48,-0.22,1.15,0.05,-1.16,0.27,-0.48,-0.70,-0.67,EX_TROU
-0.91,0.75,0.15,-0.12,0.39,1.58,-0.22,-0.57,0.61,-0.08,-1.21,-0.36,EX_TROU
0.67,0.29,1.27,0.34,-0.45,0.82,0.31,-1.35,0.72,-0.36,-0.97,-0.46,EX_TROU
-0.16,0.19,0.58,-0.43,-0.29,1.04,1.46,-2.34,1.00,-0.44,-0.72,-0.59,EX_TROU
0.31,0.72,0.77,1.15,-0.58,1.65,0.71,-2.17,1.33,-0.37,-1.23,-0.17,EX_TROU
-0.10,1.01,1.01,0.18,-0.01,1.08,0.52,-1.69,1.57,-0.39,-1.83,0.00,EX_TROU
-0.10,0.21,0.64,0.55,-0.26,1.06,0.40,-1.51,0.20,-0.63,-1.15,-1.25,EX_TROU
-0.01,0.04,0.75,1.05,-0.43,1.28,-0.80,-1.38,-0.02,-0.77,-0.78,-0.89,EX_TROU
-0.13,0.24,1.33,0.64,-1.54,1.05,-1.41,-1.07,-0.48,-0.76,-0.02,-1.58,EX_TROU
0.06,-0.02,0.00,-0.02,-0.00,-0.04,-0.01,0.00,-0.02,0.02,-0.01,-0.01,NOT_EX
-0.01,0.00,-0.02,0.02,-0.01,-0.01,0.00,-0.01,-0.01,0.01,0.01,-0.03,NOT_EX
0.00,-0.01,-0.01,0.01,0.01,-0.03,0.00,-0.01,0.00,-0.01,-0.01,0.00,NOT_EX
