time,x,y,z,gx,gy,gz,barometer
0.249,0.24,-0.42,0.84,0.01,-0.01,-0.02,1007.40
0.539,0.23,-0.42,0.84,-0.00,-0.02,-0.01,1007.44
0.751,0.24,-0.42,0.84,0.01,-0.00,-0.01,1007.25
1.019,0.17,-0.43,0.88,0.02,0.16,0.06,1007.33
1.238,0.16,-0.48,0.84,-0.01,0.33,0.33,1007.58
1.511,0.14,-0.39,0.84,-0.18,0.02,0.08,1007.37
1.759,0.08,-0.46,0.80,0.07,-0.12,0.32,1007.43
1.999,0.14,-0.47,0.89,0.01,-0.06,-0.14,1007.40
2.251,0.06,-0.40,0.84,0.07,0.20,-0.27,1007.39
2.496,0.12,-0.52,0.90,-0.18,-0.05,0.08,1007.36
2.745,0.06,-0.38,0.89,0.31,0.49,-0.81,1007.45
2.981,0.58,-0.57,0.67,-0.20,-3.74,0.71,1007.52
3.259,0.58,-0.64,0.66,-1.15,1.38,1.96,1007.50
3.509,0.12,-0.54,0.64,0.73,1.08,-0.44,1007.53
3.749,0.33,-0.42,0.95,2.35,-0.31,0.65,1007.46
3.89,0.32,-0.32,0.82,1.34,-1.21,-1.79,1007.45
4.257,0.80,-0.61,0.62,-0.89,-2.00,1.83,1007.54
4.539,0.25,-0.65,0.70,0.61,1.03,1.04,1007.54
4.748,0.16,-0.58,0.74,1.02,0.37,-0.72,1007.45
4.965,0.33,-0.33,0.77,1.21,-1.75,-1.98,1007.46
5.249,0.80,-0.61,0.59,-1.39,-0.45,0.55,1007.45
5.527,0.44,-0.63,0.59,-1.02,0.52,1.07,1007.45
5.756,0.14,-0.60,0.70,0.54,0.61,-1.14,1007.44
5.989,0.43,-0.48,0.70,1.36,-2.13,-0.77,1007.37
6.133,0.62,-0.58,0.57,-0.63,-1.73,0.43,1007.46
6.514,0.47,-0.73,0.50,-0.63,2.19,-0.12,1007.39
6.77,0.07,-0.60,0.72,1.26,1.03,-1.12,1007.46
6.995,0.46,-0.50,0.66,1.71,-3.28,-0.44,1007.41
7.249,0.70,-0.68,0.55,-0.56,0.11,0.10,1007.41
7.5,0.23,-0.62,0.60,1.21,0.64,1.15,1007.38
7.739,0.21,-0.65,0.65,0.46,0.38,-0.36,1007.45
7.99,0.40,-0.48,0.75,1.58,-1.40,-2.36,1007.34
8.262,0.67,-0.64,0.50,-0.70,-1.94,1.34,1007.39
8.374,0.83,-0.90,0.67,-0.74,2.15,3.51,1007.44
8.749,0.23,-0.59,0.62,0.75,0.08,-0.76,1007.36
8.999,0.68,-0.71,0.47,0.28,-1.71,-0.68,1007.39
9.287,0.64,-0.73,0.40,-0.49,-0.90,1.16,1007.39
