time,x,y,z
0.0170,0.1231,-0.3968,0.8433
0.0520,0.1358,-0.3821,0.8707
0.0530,0.1505,-0.3831,0.8932
0.0780,0.1612,-0.3801,0.8912
0.0840,0.1554,-0.3694,0.8873
0.0950,0.1476,-0.3606,0.8785
0.1250,0.1466,-0.3743,0.8785
0.1450,0.1437,-0.3753,0.8707
0.1610,0.1603,-0.3850,0.8756
0.1780,0.1671,-0.3958,0.8795
0.1990,0.1564,-0.3889,0.8883
0.1990,0.1564,-0.3889,0.8883
0.2310,0.1466,-0.3880,0.9030
0.2540,0.1261,-0.3977,0.8697
0.2670,0.1476,-0.4007,0.8785
0.2800,0.1505,-0.3977,0.8834
0.2980,0.1456,-0.3821,0.8873
0.3370,0.1339,-0.3782,0.8883
0.3390,0.1427,-0.3762,0.8873
0.3630,0.1485,-0.3840,0.8893
0.3690,0.1642,-0.3831,0.8942
0.3960,0.1466,-0.3772,0.8717
0.3990,0.1407,-0.3723,0.8619
0.4350,0.1446,-0.3713,0.8619
0.4410,0.1309,-0.3401,0.8639
0.4570,0.1134,-0.3303,0.8580
0.4760,0.1309,-0.3713,0.8541
0.4940,0.1700,-0.4095,0.8492
0.5280,0.1681,-0.3958,0.8541
0.5300,0.1935,-0.3977,0.8678
0.5500,0.1896,-0.3968,0.8736
0.5780,0.1945,-0.3997,0.8883
0.5810,0.1779,-0.4075,0.8824
0.6010,0.1700,-0.4212,0.8775
0.6310,0.1524,-0.4153,0.8775
0.6450,0.1309,-0.3958,0.8834
0.6650,0.1124,-0.3909,0.8785
0.6820,0.1114,-0.3968,0.8766
0.7010,0.1231,-0.3977,0.8785
0.7030,0.1309,-0.3860,0.8815
0.7490,0.1290,-0.3713,0.8815
0.7490,0.1290,-0.3713,0.8815
0.7590,0.1485,-0.3880,0.8727
0.7870,0.1837,-0.3987,0.8844
0.7980,0.1720,-0.3772,0.8824
0.8260,0.1818,-0.3792,0.8903
0.8350,0.1818,-0.3997,0.8961
0.8510,0.1720,-0.4212,0.8981
0.8780,0.1769,-0.4642,0.9303
0.8950,0.1720,-0.4906,0.9479
0.9010,0.1691,-0.4945,0.9518
0.9260,0.1309,-0.4671,0.9645
0.9450,0.1182,-0.4583,0.9655
0.9620,0.1261,-0.4661,0.9753
0.9780,0.1329,-0.4613,0.9792
0.9950,0.1173,-0.4485,0.9547
1.0020,0.1085,-0.4437,0.9352
1.0020,0.1085,-0.4437,0.9352
1.0740,0.1036,-0.4388,0.9059
1.0740,0.1036,-0.4388,0.9059
1.0810,0.1085,-0.4319,0.9039
1.1100,0.1143,-0.4495,0.9078
1.1130,0.1036,-0.4515,0.8903
1.1400,0.0958,-0.4495,0.8844
1.1610,0.0782,-0.4251,0.9196
1.1780,0.0733,-0.4437,0.9391
1.1950,0.0674,-0.4652,0.9127
1.2240,0.0635,-0.4808,0.9088
1.2270,0.0684,-0.4925,0.8766
1.2470,0.0518,-0.4710,0.8609
1.2650,0.0498,-0.4652,0.8619
1.2830,0.0586,-0.4446,0.8609
1.2990,0.0508,-0.4310,0.8668
1.2990,0.0508,-0.4310,0.8668
1.3370,0.0733,-0.4329,0.8795
1.3540,0.0508,-0.4280,0.8590
1.3680,0.0362,-0.4407,0.8287
1.3860,0.0401,-0.4427,0.8355
1.3990,0.0303,-0.4251,0.8443
1.4380,0.0254,-0.4173,0.8433
1.4410,0.0195,-0.4212,0.8238
1.4600,0.0059,-0.4251,0.8170
1.4770,-0.0205,-0.4163,0.8013
1.4940,-0.0410,-0.4231,0.7808
1.5130,-0.0772,-0.4016,0.7730
1.5160,-0.0821,-0.3655,0.7769
1.5550,-0.0801,-0.3577,0.7661
1.5710,-0.0313,-0.4134,0.7310
1.5830,-0.0391,-0.3958,0.7163
1.5990,-0.0987,-0.3225,0.7544
1.6370,-0.0870,-0.2951,0.7984
1.6370,-0.0870,-0.2951,0.7984
1.6530,0.0293,-0.4055,0.8424
1.6690,0.0059,-0.4270,0.8170
1.6960,-0.0616,-0.3987,0.7642
1.6990,-0.0430,-0.4153,0.7593
1.7320,-0.0704,-0.3821,0.7730
1.7450,-0.1036,-0.3166,0.8502
1.7630,-0.1261,-0.2726,0.8003
1.7810,-0.2052,-0.2746,0.7534
1.7960,-0.2257,-0.2648,0.7446
1.8290,-0.1270,-0.2687,0.8560
1.8320,-0.0332,-0.2287,0.9567
1.8530,-0.0264,-0.2883,0.9225
1.8630,-0.0235,-0.3254,0.8893
1.8810,-0.0440,-0.3293,0.9460
1.9010,-0.0195,-0.2590,0.9821
1.9270,-0.0586,-0.2306,0.9352
1.9360,-0.0958,-0.2257,0.8111
1.9620,-0.0821,-0.2336,0.8297
1.9780,0.0137,-0.1827,0.9655
1.9950,0.0381,-0.0870,1.0769
2.0020,-0.0098,-0.0987,1.0232
2.0360,-0.0127,-0.1241,0.9792
2.0360,-0.0127,-0.1241,0.9792
2.0360,-0.0127,-0.1241,0.9792
2.0360,-0.0127,-0.1241,0.9792
2.1340,-0.0137,-0.1349,0.9528
2.1340,-0.0137,-0.1349,0.9528
2.1360,-0.0410,-0.1300,0.9205
2.1540,-0.0107,-0.0801,0.7398
2.1720,-0.1134,-0.2424,0.4945
2.1850,0.0078,-0.2482,0.4671
2.2060,0.2726,-0.1994,0.6508
2.2060,0.2726,-0.1994,0.6508
2.2650,0.4368,-0.1466,0.7310
2.2650,0.4368,-0.1466,0.7310
2.2780,0.9547,-0.0508,0.9215
2.2810,0.9890,-0.1466,0.8727
2.3210,0.9587,-0.1612,0.8326
2.3280,0.7446,-0.0117,0.7769
2.3380,0.7544,-0.0899,0.7525
2.3670,0.7339,-0.3498,0.5814
2.3860,0.7769,-0.3381,0.5248
2.3960,0.7935,-0.3303,0.5736
2.4160,0.8981,-0.1720,0.6469
2.4420,0.8590,-0.0792,0.7525
2.4600,0.8658,-0.1212,0.7476
2.4740,0.8228,-0.2766,0.6489
2.4900,0.7916,-0.3850,0.5228
