time,x,y,z,gx,gy,gz,barometer
time,x,y,z,gx,gy,gz,barometer
time,x,y,z,gx,gy,gz,barometer
0.075,0.44,-0.52,0.73,-0.08,-0.28,-0.07,1007.50
0.075,0.44,-0.52,0.73,-0.08,-0.28,-0.07,1007.50
0.09,0.44,-0.53,0.71,0.04,0.04,0.02,1007.37
0.108,0.46,-0.53,0.69,-0.03,-0.07,0.02,1007.44
0.116,0.44,-0.52,0.70,-0.03,-0.00,0.02,1007.46
0.146,0.44,-0.51,0.73,-0.03,-0.00,0.02,1007.46
0.146,0.44,-0.51,0.73,-0.03,-0.00,0.02,1007.46
0.146,0.44,-0.51,0.73,-0.03,-0.00,0.02,1007.46
0.212,0.44,-0.51,0.73,-0.03,-0.00,0.02,1007.58
0.214,0.44,-0.51,0.73,-0.00,-0.04,-0.01,1007.58
0.216,0.46,-0.52,0.73,-0.00,-0.04,-0.01,1007.58
0.262,0.46,-0.52,0.73,-0.00,-0.04,-0.01,1007.50
0.264,0.46,-0.52,0.73,0.04,-0.02,-0.01,1007.50
0.278,0.45,-0.53,0.71,0.04,-0.02,-0.01,1007.50
0.313,0.45,-0.53,0.71,0.04,-0.02,-0.01,1007.37
0.314,0.45,-0.53,0.71,0.05,0.06,-0.04,1007.37
0.314,0.45,-0.53,0.71,0.05,0.06,-0.04,1007.37
0.383,0.44,-0.54,0.70,0.05,0.06,-0.04,1007.37
0.383,0.44,-0.54,0.70,0.05,0.06,-0.04,1007.37
0.385,0.44,-0.54,0.70,0.03,-0.04,0.02,1007.45
0.409,0.44,-0.53,0.71,0.03,-0.04,0.02,1007.45
0.409,0.44,-0.53,0.71,0.03,-0.04,0.02,1007.45
0.47,0.44,-0.53,0.71,0.02,-0.02,-0.01,1007.45
0.47,0.44,-0.53,0.71,0.02,-0.02,-0.01,1007.45
0.479,0.45,-0.52,0.71,0.02,-0.02,-0.01,1007.44
0.513,0.45,-0.52,0.71,0.05,-0.04,-0.03,1007.44
0.513,0.45,-0.52,0.71,0.05,-0.04,-0.03,1007.44
0.528,0.45,-0.52,0.71,0.05,-0.04,-0.03,1007.50
0.528,0.45,-0.52,0.71,0.05,-0.04,-0.03,1007.50
0.589,0.44,-0.53,0.71,0.05,-0.04,-0.03,1007.50
0.589,0.44,-0.53,0.71,0.05,-0.04,-0.03,1007.50
0.609,0.44,-0.52,0.71,0.04,-0.01,-0.03,1007.52
0.609,0.44,-0.52,0.71,0.04,-0.01,-0.03,1007.52
0.659,0.44,-0.52,0.71,0.05,-0.01,0.00,1007.52
0.659,0.44,-0.52,0.71,0.05,-0.01,0.00,1007.52
0.682,0.43,-0.52,0.71,0.05,-0.01,0.00,1007.45
0.682,0.43,-0.52,0.71,0.05,-0.01,0.00,1007.45
0.712,0.43,-0.52,0.71,-0.01,-0.01,-0.02,1007.45
0.712,0.43,-0.52,0.71,-0.01,-0.01,-0.02,1007.45
0.771,0.43,-0.52,0.71,-0.01,-0.01,-0.02,1007.46
0.771,0.43,-0.52,0.71,-0.01,-0.01,-0.02,1007.46
0.783,0.44,-0.52,0.71,0.06,0.02,-0.03,1007.46
0.799,0.44,-0.52,0.71,0.06,0.02,-0.03,1007.44
0.812,0.45,-0.53,0.70,0.06,0.02,-0.03,1007.44
0.812,0.45,-0.53,0.70,0.06,0.02,-0.03,1007.44
0.888,0.45,-0.53,0.70,-0.01,-0.08,0.14,1007.44
0.888,0.45,-0.53,0.70,-0.01,-0.08,0.14,1007.44
0.89,0.45,-0.53,0.70,-0.01,-0.08,0.14,1007.51
0.919,0.47,-0.54,0.71,-0.09,-0.47,0.91,1007.51
0.919,0.47,-0.54,0.71,-0.09,-0.47,0.91,1007.51
0.919,0.47,-0.54,0.71,-0.09,-0.47,0.91,1007.51
0.974,0.47,-0.54,0.71,-0.09,-0.47,0.91,1007.33
0.978,0.41,-0.57,0.67,-0.05,-0.93,1.02,1007.33
1.009,0.41,-0.57,0.67,-0.05,-0.93,1.02,1007.39
1.012,0.46,-0.55,0.66,-0.05,-0.93,1.02,1007.39
1.012,0.46,-0.55,0.66,-0.05,-0.93,1.02,1007.39
1.066,0.46,-0.55,0.66,0.11,-0.97,0.70,1007.39
1.066,0.46,-0.55,0.66,0.11,-0.97,0.70,1007.39
1.079,0.45,-0.57,0.62,0.11,-0.97,0.70,1007.38
1.11,0.45,-0.57,0.62,-0.04,-1.34,0.50,1007.38
1.11,0.45,-0.57,0.62,-0.04,-1.34,0.50,1007.38
1.11,0.45,-0.57,0.62,-0.04,-1.34,0.50,1007.38
1.169,0.49,-0.60,0.58,-0.04,-1.34,0.50,1007.38
1.174,0.49,-0.60,0.58,-0.04,-1.34,0.50,1007.46
1.195,0.49,-0.60,0.58,-0.07,-1.99,0.21,1007.46
1.21,0.50,-0.49,0.55,-0.07,-1.99,0.21,1007.46
1.226,0.50,-0.49,0.55,-0.07,-1.99,0.21,1007.38
1.226,0.50,-0.49,0.55,-0.07,-1.99,0.21,1007.38
1.277,0.50,-0.49,0.55,0.27,-2.98,-0.94,1007.38
1.277,0.50,-0.49,0.55,0.27,-2.98,-0.94,1007.38
1.3,0.85,-0.55,0.37,0.27,-2.98,-0.94,1007.37
1.323,0.85,-0.55,0.37,-0.89,-1.52,-1.27,1007.37
1.344,1.00,-0.66,0.36,-0.89,-1.52,-1.27,1007.37
1.344,1.00,-0.66,0.36,-0.89,-1.52,-1.27,1007.37
1.344,1.00,-0.66,0.36,-0.89,-1.52,-1.27,1007.37
1.403,1.00,-0.66,0.36,-0.89,-1.52,-1.27,1007.48
1.406,1.00,-0.66,0.36,-2.04,1.76,-1.54,1007.48
1.421,0.97,-0.51,0.34,-2.04,1.76,-1.54,1007.48
1.434,0.97,-0.51,0.34,-2.04,1.76,-1.54,1007.55
1.434,0.97,-0.51,0.34,-2.04,1.76,-1.54,1007.55
1.487,0.97,-0.51,0.34,0.88,3.54,-2.03,1007.55
1.49,0.76,-0.44,0.44,0.88,3.54,-2.03,1007.55
1.518,0.76,-0.44,0.44,0.88,3.54,-2.03,1007.46
1.521,0.76,-0.44,0.44,-1.17,1.56,-1.86,1007.46
1.545,0.71,-0.43,0.48,-1.17,1.56,-1.86,1007.46
1.545,0.71,-0.43,0.48,-1.17,1.56,-1.86,1007.46
1.545,0.71,-0.43,0.48,-1.17,1.56,-1.86,1007.46
1.625,0.71,-0.43,0.48,-1.17,1.56,-1.86,1007.48
1.625,0.71,-0.43,0.48,-1.17,1.56,-1.86,1007.48
1.63,0.93,-0.41,0.71,-0.56,0.96,-1.23,1007.48
1.651,0.93,-0.41,0.71,0.28,3.51,0.15,1007.56
1.651,0.93,-0.41,0.71,0.28,3.51,0.15,1007.56
1.714,0.72,-0.30,0.65,0.28,3.51,0.15,1007.56
1.714,0.72,-0.30,0.65,0.28,3.51,0.15,1007.56
1.721,0.72,-0.30,0.65,0.20,2.47,1.40,1007.42
1.721,0.72,-0.30,0.65,0.20,2.47,1.40,1007.42
1.785,0.48,-0.34,0.73,0.20,2.47,1.40,1007.42
1.785,0.48,-0.34,0.73,0.20,2.47,1.40,1007.42
1.789,0.48,-0.34,0.73,-0.71,0.97,1.28,1007.45
1.816,0.44,-0.32,0.77,-0.71,0.97,1.28,1007.45
1.816,0.44,-0.32,0.77,-0.71,0.97,1.28,1007.45
1.816,0.44,-0.32,0.77,-0.71,0.97,1.28,1007.45
1.816,0.44,-0.32,0.77,-0.71,0.97,1.28,1007.45
1.816,0.44,-0.32,0.77,-0.71,0.97,1.28,1007.45
1.816,0.44,-0.32,0.77,-0.71,0.97,1.28,1007.45
1.816,0.44,-0.32,0.77,-0.71,0.97,1.28,1007.45
1.816,0.44,-0.32,0.77,-0.71,0.97,1.28,1007.45
2.071,0.44,-0.32,0.77,-0.09,0.74,1.65,1007.45
2.071,0.44,-0.32,0.77,-0.09,0.74,1.65,1007.45
2.071,0.44,-0.32,0.77,-0.09,0.74,1.65,1007.45
2.071,0.44,-0.32,0.77,-0.09,0.74,1.65,1007.45
2.071,0.44,-0.32,0.77,-0.09,0.74,1.65,1007.45
2.071,0.44,-0.32,0.77,-0.09,0.74,1.65,1007.45
2.071,0.44,-0.32,0.77,-0.09,0.74,1.65,1007.45
2.083,0.22,-0.50,0.72,-1.05,-1.60,2.06,1007.41
2.096,0.34,-0.51,0.73,-0.88,-2.56,1.93,1007.58
2.112,0.34,-0.51,0.73,-0.70,-1.49,0.56,1007.58
2.112,0.34,-0.51,0.73,-0.70,-1.49,0.56,1007.58
2.182,0.34,-0.51,0.73,-0.70,-1.49,0.56,1007.43
2.182,0.34,-0.51,0.73,-0.70,-1.49,0.56,1007.43
2.188,0.37,-0.49,0.62,-0.38,-1.10,-0.77,1007.43
