time,x,y,z
0.017,0.01,0.16,-0.06
0.044,0.01,0.04,-0.07
0.049,0.02,0.11,-0.03
0.070,0.06,0.10,-0.05
0.092,0.00,0.08,-0.05
0.109,-0.09,0.09,-0.04
0.117,-0.11,0.11,-0.01
0.144,0.00,0.08,-0.01
0.160,0.09,0.06,-0.02
0.177,0.01,0.04,-0.03
0.197,-0.01,0.09,-0.06
0.212,0.04,0.12,-0.13
0.236,0.11,0.18,-0.22
0.249,0.39,0.44,-0.53
0.267,0.64,0.95,-0.87
0.282,0.53,1.14,-0.96
0.297,0.27,1.27,-0.96
0.317,-0.14,1.48,-0.76
0.339,-0.22,1.64,-0.68
0.353,-0.06,1.77,-0.56
0.377,0.24,1.55,-0.45
0.393,0.30,1.31,-0.26
0.409,0.15,1.27,-0.07
0.437,0.07,1.47,0.08
0.441,0.14,1.51,0.08
0.463,0.27,1.31,-0.20
0.482,0.17,1.29,-0.37
0.494,0.10,1.40,-0.41
0.494,0.10,1.40,-0.41
0.550,0.07,1.44,-0.42
0.552,0.06,1.45,-0.46
0.569,-0.65,1.02,0.36
0.589,-0.70,0.98,0.48
0.602,-0.23,0.57,0.54
0.617,0.06,0.55,0.54
0.643,-0.18,0.33,0.71
0.660,-0.75,0.18,1.05
0.674,-1.48,0.05,1.53
0.694,-1.95,-0.53,2.05
0.709,-2.00,-0.92,2.38
0.727,-1.32,-0.58,2.55
0.757,-1.09,-0.61,2.51
0.765,-0.69,-0.98,2.31
0.783,-1.15,-1.09,2.10
0.799,-1.43,-0.87,2.04
0.818,-1.56,-0.89,2.02
0.824,-1.60,-1.11,2.05
0.862,-1.59,-1.17,2.08
0.873,-1.44,-1.90,2.41
0.884,-1.26,-2.71,2.37
0.908,-0.74,-2.27,1.78
0.926,-0.47,-2.25,1.40
0.956,-0.12,-2.33,0.63
0.961,-0.08,-2.47,-0.56
0.978,-1.15,-4.60,-2.07
0.992,-2.13,-6.46,-2.56
0.992,-2.13,-6.46,-2.56
1.044,-2.34,-6.93,-2.58
1.050,-2.68,-8.32,-2.36
1.068,-0.50,-3.10,-2.98
1.085,-0.09,-2.29,-3.26
1.108,1.17,1.04,-4.72
1.117,0.58,1.20,-5.45
1.137,-1.03,1.51,-5.46
1.160,-1.99,1.78,-4.87
1.177,-2.25,2.10,-3.85
1.193,-1.91,2.31,-2.99
1.210,-0.91,2.05,-2.38
1.239,0.90,1.31,-1.97
1.244,2.54,1.17,-1.87
1.267,2.73,1.68,-1.94
1.282,1.33,2.33,-2.25
1.299,0.64,2.52,-2.40
1.319,-0.72,2.68,-1.92
1.340,-1.50,2.79,-1.25
1.352,-0.19,3.25,-1.17
1.367,0.96,3.50,-1.14
1.385,1.15,3.69,-0.93
1.404,0.70,4.01,-0.65
1.420,-0.18,3.44,-0.06
1.444,-0.45,3.48,0.15
1.460,0.09,3.82,0.33
1.477,0.35,2.58,0.16
1.494,0.13,2.27,-0.18
1.494,0.13,2.27,-0.18
1.547,0.04,2.25,-0.20
1.549,-0.18,2.19,-0.19
1.567,-2.37,1.94,1.36
1.586,-2.42,1.89,1.45
1.598,-2.25,1.15,1.58
1.617,-1.88,1.04,1.50
1.638,-1.82,0.49,1.34
1.659,-2.13,0.14,1.35
1.676,-2.91,-0.31,1.82
1.692,-3.72,-0.82,2.59
1.709,-4.56,-1.66,3.47
1.717,-5.09,-2.74,4.70
1.744,-4.37,-3.89,5.71
1.763,-3.13,-3.37,5.20
1.778,-1.33,-3.88,4.05
1.797,-0.48,-3.77,3.06
1.817,-0.18,-2.57,1.75
1.838,-0.18,-2.16,1.56
1.851,-0.51,-0.14,-0.35
1.867,-0.81,0.55,-0.94
1.882,-0.90,0.43,-1.20
1.910,-1.08,-0.11,-1.14
1.917,-1.13,-0.45,-0.77
1.940,-1.07,-0.60,-0.68
1.954,-0.85,-4.29,-0.77
1.979,-0.85,-3.01,-0.53
1.994,-0.22,-1.94,-0.41
1.996,0.07,-2.02,-0.47
2.054,0.36,-2.23,-0.58
2.054,0.36,-2.23,-0.58
2.065,-0.86,-5.05,-2.42
2.082,-1.71,-3.89,-1.90
2.103,-1.82,-3.73,-1.82
2.117,-1.28,-0.64,-1.24
2.138,-1.03,-0.24,-1.30
2.153,0.51,0.36,-2.30
2.167,0.99,0.31,-3.12
2.194,0.85,0.18,-4.59
2.208,-0.05,0.48,-5.07
2.217,-0.74,0.96,-4.97
2.240,-1.32,1.72,-4.05
2.261,-1.09,2.43,-3.42
2.277,0.19,2.24,-3.61
2.297,1.57,2.12,-3.71
2.312,2.18,2.27,-3.64
2.339,2.18,2.33,-3.46
2.353,0.22,2.81,-1.71
2.367,-0.53,3.23,-0.79
2.382,0.09,3.27,-0.55
2.408,0.43,3.32,-0.39
2.417,0.23,3.89,-0.28
2.439,-0.21,3.74,-0.08
2.459,-1.01,3.32,0.59
2.475,-0.40,3.30,0.48
2.492,0.22,3.54,0.05
2.493,0.41,3.74,-0.06
2.555,0.52,3.96,-0.15
2.555,0.52,3.96,-0.15
2.563,0.10,3.92,-0.38
2.582,-2.01,1.31,0.36
2.609,-1.96,1.37,0.41
2.614,-1.48,1.71,0.87
2.627,-1.42,1.04,0.98
2.653,-1.36,0.91,0.97
2.668,-1.31,0.76,0.64
2.693,-1.58,0.25,0.47
2.709,-1.95,-0.11,0.65
2.717,-2.19,0.13,1.07
2.741,-2.34,-0.00,1.40
2.759,-2.32,-0.40,1.66
2.777,-2.54,-0.80,2.47
2.794,-3.09,-1.97,2.93
2.812,-4.16,-2.95,4.04
2.841,-4.33,-3.16,4.44
2.845,-4.03,-3.89,4.75
2.867,-3.11,-4.02,4.22
2.882,-1.70,-3.74,3.28
2.897,-0.88,-3.54,2.66
2.917,-0.10,-3.01,1.35
2.938,-0.06,-2.70,1.00
2.953,-0.58,-0.40,-0.02
2.977,-0.59,0.19,-0.52
2.994,-0.64,-0.13,-0.80
2.996,-0.67,-0.26,-0.85
3.053,-0.70,-0.36,-0.88
3.053,-0.70,-0.36,-0.88
3.062,-0.51,-3.15,-1.73
3.080,-0.84,-7.25,-2.59
3.106,-0.92,-7.27,-2.44
3.118,-0.69,-5.26,-1.31
3.140,-0.48,-5.04,-0.88
3.151,0.15,-2.17,-0.68
3.167,0.14,-0.18,-1.20
3.182,0.10,0.20,-1.82
3.209,0.10,-0.14,-2.50
3.217,-0.28,-0.59,-2.65
3.245,-0.49,-0.59,-2.58
3.253,-0.50,0.54,-2.78
3.277,0.47,1.14,-3.84
3.294,0.52,1.62,-4.09
3.310,-0.18,2.23,-3.86
3.337,-0.46,2.38,-3.66
3.348,-0.45,2.11,-3.31
3.362,-0.15,1.72,-2.98
3.382,0.62,0.90,-2.85
3.397,0.98,0.31,-2.66
3.417,0.96,-0.11,-2.15
3.439,0.93,-0.12,-2.04
3.453,0.19,0.54,-0.91
3.467,0.21,0.93,-0.66
3.493,0.35,1.82,-0.54
3.494,0.32,2.26,-0.54
3.552,0.26,2.74,-0.57
3.552,0.26,2.74,-0.57
3.560,-1.66,4.31,0.47
3.572,-1.68,3.60,1.00
3.596,-0.86,2.99,0.99
3.616,0.99,3.37,0.12
3.638,1.48,3.56,-0.12
3.650,1.54,2.98,-0.33
3.667,0.28,2.07,-0.04
3.682,-1.23,1.50,0.41
3.697,-1.97,1.41,0.71
3.717,-1.80,2.16,0.35
3.741,-1.68,2.30,0.20
3.755,-1.44,2.02,0.08
3.777,-1.60,0.37,0.48
3.794,-1.46,0.25,0.75
3.809,-1.54,0.61,1.07
3.817,-2.13,0.39,1.44
3.843,-2.78,-0.52,2.31
3.864,-2.57,-0.48,2.54
3.879,-1.59,-0.17,2.28
3.897,-1.00,-0.30,2.02
3.917,-1.25,-0.82,2.03
3.941,-1.46,-1.13,2.10
3.954,-2.78,-2.03,2.84
3.968,-2.99,-1.81,3.23
3.982,-2.60,-1.85,3.20
3.994,-2.20,-2.20,3.12
4.048,-2.01,-2.38,3.07
4.048,-2.01,-2.38,3.07
4.058,-0.83,-1.81,1.93
4.068,-0.67,-1.19,1.16
4.093,-0.32,-0.48,0.12
4.112,0.02,-0.61,-1.33
4.139,-0.29,-0.83,-1.51
4.150,-0.84,0.11,-1.08
4.167,-0.77,-0.00,-0.71
4.182,-0.59,0.07,-0.48
4.197,-0.09,-0.10,-0.56
4.217,0.59,-1.11,-1.02
4.232,0.82,-3.00,-1.69
4.264,0.81,-3.43,-1.81
4.272,-0.04,-7.50,-2.74
4.293,-0.43,-7.77,-2.54
4.309,-0.52,-5.58,-1.91
4.317,-0.42,-4.78,-1.21
4.342,-0.24,-2.26,-0.32
4.361,-0.42,-0.37,-0.13
4.377,-0.31,0.23,-0.52
4.397,0.51,0.73,-1.35
4.412,1.18,0.55,-2.37
4.432,0.94,0.41,-3.65
4.460,0.77,0.49,-3.87
4.466,-1.52,1.14,-3.52
4.482,-2.22,1.78,-2.84
4.495,-2.02,2.12,-2.82
4.495,-2.02,2.12,-2.82
4.557,-1.76,2.23,-2.89
4.557,-1.76,2.23,-2.89
4.577,1.24,1.17,-2.20
4.592,0.83,1.17,-1.80
4.623,0.59,0.88,-1.45
4.627,0.45,0.30,-0.96
4.635,0.43,0.14,-0.89
4.663,0.87,-0.25,-0.91
4.682,0.60,0.75,-0.46
4.697,0.16,2.35,-0.25
4.717,0.02,4.74,-0.22
4.732,-0.38,5.07,-0.02
4.759,-0.61,4.94,0.02
4.772,-1.89,2.57,0.54
4.793,-1.42,2.23,0.82
4.802,-0.23,3.25,0.80
4.828,0.76,3.88,0.72
4.832,0.82,3.82,0.70
4.866,0.74,3.70,0.70
4.881,-0.52,2.61,0.65
4.893,-0.96,3.15,0.64
4.912,-1.40,2.73,0.58
4.932,-1.63,1.65,0.44
4.958,-1.73,1.48,0.51
4.963,-2.64,1.95,1.33
4.984,-3.02,1.78,1.68
4.998,-3.38,0.66,1.94
4.998,-3.38,0.66,1.94
5.051,-3.52,0.44,2.07
5.055,-3.85,-0.34,2.89
5.070,-1.95,-0.89,3.01
5.098,-1.71,-1.04,2.89
5.107,-1.63,-1.99,2.10
5.129,-1.97,-1.90,1.96
5.133,-2.15,-1.82,1.93
5.162,-2.35,-2.02,1.76
5.182,-2.05,-3.02,1.45
5.197,-1.58,-3.65,1.30
5.217,-0.94,-2.41,1.19
5.232,-0.43,-1.81,0.90
5.258,-0.28,-1.71,0.82
5.271,0.21,-1.32,-0.26
5.282,0.17,-1.32,-0.88
5.302,-1.03,-4.52,-1.92
5.326,-2.34,-4.27,-1.78
5.332,-2.28,-2.82,-1.45
5.360,-2.01,-2.48,-1.35
5.376,0.25,-3.62,-1.97
5.396,0.67,-4.02,-2.46
5.411,0.67,-3.69,-2.78
5.417,0.60,-3.32,-2.99
5.448,0.54,-3.16,-3.08
5.465,-0.81,-0.39,-2.86
5.482,-1.70,1.14,-2.08
5.494,-1.86,1.80,-1.80
5.494,-1.86,1.80,-1.80
5.547,-1.84,1.94,-1.70
5.554,-0.45,0.74,-1.94
5.567,0.32,-0.20,-2.24
5.582,0.48,-0.37,-2.20
5.607,0.50,-0.39,-2.16
5.628,0.89,0.01,-2.01
5.632,1.03,0.19,-2.20
5.660,1.29,0.46,-2.63
5.680,0.88,1.12,-2.93
5.697,0.08,1.74,-2.55
5.712,-0.13,2.14,-2.11
5.732,0.12,2.26,-1.69
5.760,0.24,2.28,-1.61
5.766,0.57,3.18,-0.69
5.785,0.54,4.01,-0.13
5.802,0.68,4.69,-0.06
5.817,0.87,4.73,-0.13
5.832,0.77,4.27,-0.20
5.867,0.65,3.96,-0.20
5.874,-0.06,3.11,0.25
5.892,0.07,3.41,0.35
5.912,0.37,3.56,0.26
5.927,-0.03,2.34,0.13
5.927,-0.03,2.34,0.13
5.966,-0.13,2.15,0.14
5.980,-1.89,2.05,0.52
5.998,-2.10,1.29,0.69
5.998,-2.10,1.29,0.69
6.053,-2.11,1.27,0.77
6.053,-2.11,1.27,0.77
6.072,-3.18,1.34,1.83
6.088,-4.44,-1.43,2.94
6.102,-3.86,-1.74,3.32
6.117,-2.48,-0.87,3.28
6.143,-1.94,-0.51,3.22
6.148,-0.37,-0.86,2.43
6.177,-0.48,-1.04,1.54
6.196,-1.83,-1.36,1.57
6.212,-3.12,-1.48,2.10
6.232,-3.21,-1.94,2.32
6.263,-3.05,-1.99,2.29
6.266,-2.32,-2.37,1.81
6.282,-0.59,-3.00,0.55
6.302,-0.72,-2.83,0.64
6.317,-1.02,-2.01,1.11
6.332,-0.95,-1.46,1.15
6.332,-0.95,-1.46,1.15
6.387,-0.84,-1.46,1.02
6.391,-0.58,-1.45,0.62
6.409,-0.14,-3.06,-1.13
6.429,-3.05,-6.28,-1.30
6.443,-0.32,0.09,0.66
6.457,1.00,-0.09,0.51
6.468,1.58,-0.76,-0.10
6.502,1.50,-1.21,-0.50
6.507,-0.20,-4.68,-2.53
6.552,-0.74,-5.55,-2.82
6.552,-0.74,-5.55,-2.82
6.568,-2.42,-2.32,-2.11
6.582,-0.03,1.10,-1.96
6.602,0.72,0.79,-1.82
6.629,0.81,0.66,-1.86
6.641,0.79,0.41,-2.97
6.652,0.18,0.49,-3.82
6.689,-0.12,0.48,-3.93
6.693,-0.82,0.40,-4.22
6.711,-1.56,0.21,-3.76
6.730,-1.95,0.45,-3.09
6.733,-1.85,0.62,-2.63
6.764,-1.64,0.67,-2.51
6.782,2.38,-0.05,-2.35
6.802,2.21,0.02,-2.49
6.817,1.22,0.38,-2.36
6.832,-0.09,0.51,-1.85
6.832,-0.09,0.51,-1.85
6.874,-0.44,0.55,-1.63
6.884,0.94,0.60,-1.73
6.902,1.56,1.15,-1.70
6.929,1.30,2.15,-1.58
6.932,0.92,2.58,-1.44
6.987,0.61,2.85,-1.30
6.987,0.61,2.85,-1.30
6.995,-1.21,3.82,-0.02
7.006,-0.65,5.29,0.99
7.006,-0.65,5.29,0.99
7.006,-0.65,5.29,0.99
7.108,-0.60,5.39,1.13
7.108,-0.60,5.39,1.13
7.108,-0.60,5.39,1.13
7.120,0.25,3.86,0.93
7.137,-2.33,2.25,1.74
7.152,-2.51,1.88,1.84
7.167,-2.25,1.38,1.81
7.200,-2.09,1.24,1.77
7.209,-1.54,0.17,1.70
7.230,-1.80,-0.73,1.87
7.232,-2.12,-0.91,2.08
7.287,-2.22,-0.98,2.15
7.287,-2.22,-0.98,2.15
7.298,-3.36,-1.72,2.99
7.315,-2.72,-1.35,3.59
7.340,-0.75,-1.92,3.25
7.348,-0.68,-2.49,3.03
7.359,-0.91,-2.59,2.94
7.392,-1.14,-2.63,2.87
7.409,-1.82,-1.68,2.04
7.427,-0.81,-1.36,1.11
7.444,-0.07,-1.17,0.50
7.452,0.48,-1.12,-0.16
7.452,0.48,-1.12,-0.16
7.501,0.53,-1.22,-0.39
7.508,-1.46,-2.05,-0.83
7.508,-1.46,-2.05,-0.83
7.563,-1.73,-1.70,-0.58
7.565,-1.92,-1.24,-0.20
7.584,0.47,-3.13,-1.67
7.602,-0.56,-5.66,-2.23
7.631,-0.82,-5.67,-2.22
7.636,-1.57,-4.41,-1.93
7.652,-1.56,-2.84,-1.63
7.667,-1.02,-1.27,-1.50
7.708,-0.72,-0.70,-1.42
7.708,-0.72,-0.70,-1.42
7.721,0.55,0.43,-1.48
7.746,0.54,0.25,-2.55
7.752,0.21,0.18,-3.65
7.779,0.01,0.29,-3.86
7.797,-1.18,1.38,-3.31
7.812,-1.16,1.68,-2.94
7.832,-0.51,1.81,-3.19
7.852,0.25,1.51,-3.52
7.852,0.25,1.51,-3.52
7.885,0.37,1.44,-3.51
7.903,0.36,1.29,-2.93
7.917,0.42,1.10,-2.84
7.945,1.10,0.50,-3.19
7.952,1.16,-0.03,-3.22
