% Data generated on Wed Nov 18 22:18:01 GMT 2015
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE y4 NUMERIC
@ATTRIBUTE z4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE y5 NUMERIC
@ATTRIBUTE z5 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
0.36,0.31,0.96,0.66,0.53,0.37,0.36,2.61,-0.37,-0.77,0.67,-0.59,0.12,1.28,-1.37,EX_PEAK
1.26,1.03,1.65,-0.14,2.61,0.10,-0.66,3.46,0.45,-0.11,0.24,-1.02,0.15,0.36,-2.42,EX_PEAK
3.29,1.15,2.38,2.20,-0.67,1.67,-1.26,4.79,-0.33,0.57,-0.56,-0.63,-0.34,0.08,-2.03,EX_PEAK
1.93,-0.78,2.09,1.10,1.15,1.90,0.84,0.92,0.93,-1.50,1.20,-1.41,0.29,1.48,-0.41,EX_PEAK
1.08,-0.09,2.53,-0.21,1.09,0.01,-0.87,4.01,-0.34,-0.62,0.65,-1.22,0.11,0.20,-1.90,EX_PEAK
0.77,-1.39,-0.23,2.52,0.47,2.49,0.32,3.44,0.89,-0.06,-0.65,-0.38,-0.04,0.19,-0.65,EX_PEAK
0.26,-1.62,-0.65,2.30,0.25,2.98,-0.80,2.24,0.27,-1.26,1.44,-1.06,1.20,1.13,0.21,EX_PEAK
1.89,-1.26,1.06,0.37,1.69,2.16,-1.09,1.09,-0.53,-0.74,0.79,-0.66,-0.62,-0.10,-0.77,EX_PEAK
-0.11,0.16,1.59,1.31,0.54,1.16,0.17,2.58,0.63,-0.01,0.40,-1.27,-1.26,0.57,-1.64,EX_PEAK
2.29,-1.34,0.73,0.77,0.31,1.83,-0.05,0.88,0.02,0.75,-0.40,0.50,0.13,0.52,-0.72,EX_PEAK
0.55,-1.03,-0.04,-0.34,1.14,2.62,-1.36,1.25,-0.68,0.98,1.97,0.16,-0.18,0.36,-1.08,EX_PEAK
0.12,1.28,-1.37,0.01,-0.31,-3.00,0.74,-1.55,-1.38,0.49,-1.28,-0.71,4.02,0.01,3.63,EX_TROU
-0.11,0.24,-1.02,0.15,0.36,-2.42,0.20,-1.38,-1.18,0.70,-1.18,-0.61,3.08,-0.26,1.53,EX_TROU
0.57,-0.56,-0.63,-0.34,0.08,-2.03,-1.03,-1.13,-1.77,0.32,-1.25,-0.60,1.93,-0.78,2.09,EX_TROU
0.29,1.48,-0.41,0.06,0.20,-1.21,-0.29,-1.39,-0.71,0.11,-0.81,-0.51,1.08,-0.09,2.53,EX_TROU
-0.62,0.65,-1.22,0.11,0.20,-1.90,-1.36,-1.14,-1.22,0.77,-1.39,-0.23,2.52,0.47,2.49,EX_TROU
-0.04,0.19,-0.65,-1.17,0.05,-2.22,-0.02,-0.72,-1.42,0.26,-1.62,-0.65,2.30,0.25,2.98,EX_TROU
1.20,1.13,0.21,-0.74,-0.09,-2.15,0.59,-0.98,-0.95,1.89,-1.26,1.06,0.37,1.69,2.16,EX_TROU
-0.62,-0.10,-0.77,-0.07,-0.02,-2.46,0.65,-2.01,-0.98,2.63,-0.83,0.91,-0.11,0.16,1.59,EX_TROU
-0.01,0.40,-1.27,-1.26,0.57,-1.64,0.39,-1.36,-0.72,2.29,-1.34,0.73,0.77,0.31,1.83,EX_TROU
0.13,0.52,-0.72,-1.24,0.19,-1.86,0.01,-0.86,-1.55,-0.21,-1.63,-1.07,0.55,-1.03,-0.04,EX_TROU
-0.48,-0.70,-0.67,-0.82,-0.76,-2.23,0.10,-1.03,-0.19,0.61,1.36,0.87,0.04,0.78,0.97,EX_PEAK
