time,x,y,z,gx,gy,gz,barometer
0.198,0.34,-0.52,0.77,-0.03,-0.00,-0.00,1007.36
0.4,0.34,-0.52,0.76,0.01,-0.01,-0.02,1007.38
0.61,0.34,-0.54,0.75,-0.00,-0.03,0.09,1007.33
0.784,0.32,-0.60,0.82,0.02,-0.28,-1.17,1007.36
1.036,-0.23,-0.68,0.91,-1.56,0.81,-1.02,1007.37
1.208,0.59,-0.31,0.65,-0.04,0.27,-1.29,1007.50
1.366,0.25,-0.50,0.50,3.15,0.97,-0.16,1007.37
1.603,0.36,-0.44,0.80,-0.55,0.06,0.05,1007.45
1.802,0.32,-0.50,0.81,0.11,-0.23,-0.24,1007.39
1.991,0.45,-0.75,0.86,-0.31,-4.07,-1.56,1007.39
2.215,0.16,-1.28,0.89,1.79,1.79,-0.07,1007.42
2.401,0.32,-0.76,0.66,0.13,2.30,4.32,1007.38
2.613,0.33,-0.90,1.04,0.08,-3.15,-0.71,1007.48
2.804,0.77,-0.60,0.67,0.89,0.15,-0.02,1007.33
3.012,0.30,-0.49,0.80,0.06,-0.20,-0.35,1007.47
3.2,0.39,-0.68,0.90,-0.74,-4.27,-1.92,1007.39
3.368,0.08,-1.17,0.74,2.79,2.37,1.02,1007.26
3.608,1.02,-0.98,0.68,0.07,2.31,3.89,1007.30
3.722,1.53,-0.13,0.34,-0.99,-0.07,-0.13,1007.41
4.07,1.53,-0.13,0.34,-0.99,-0.07,-0.13,1007.27
4.189,0.29,-0.53,0.81,-0.00,-0.15,-0.39,1007.30
4.421,0.34,-0.56,0.91,-0.07,-2.84,-1.46,1007.31
4.565,0.39,-1.56,1.00,-2.28,0.80,-0.69,1007.37
4.818,0.78,-0.63,1.10,-1.48,3.98,3.13,1007.45
4.95,1.76,0.11,0.59,-0.06,0.80,1.14,1007.36
5.22,0.21,-0.61,0.40,4.21,0.96,0.18,1007.43
5.417,0.29,-0.54,0.79,0.04,-0.06,-0.37,1007.38
