time,x,y,z
0.200,-0.10,-0.09,0.09
0.400,0.04,-0.21,-0.01
0.590,0.17,0.08,-0.05
0.805,-0.02,-0.07,0.04
1.004,-0.17,-0.34,0.19
1.189,0.22,-0.63,0.80
1.404,-0.36,0.41,0.16
1.602,-0.50,0.45,0.82
1.809,0.22,1.61,-0.20
2.003,0.09,1.54,-0.96
2.188,1.79,0.47,-1.72
2.405,0.78,-0.35,-0.24
2.600,0.82,-0.86,-0.27
2.805,0.27,-1.69,0.54
3.006,0.08,-1.21,0.73
3.187,0.48,-0.29,0.66
3.403,-0.07,-0.39,1.47
3.600,-0.97,1.29,2.71
3.814,1.11,2.15,0.99
4.007,0.32,1.78,0.01
4.199,0.59,1.57,-1.29
4.388,1.70,0.99,-2.63
4.600,1.01,-0.31,-0.55
4.788,1.26,-1.50,-0.18
4.988,0.54,-2.53,0.86
5.200,-0.08,-1.15,0.56
5.388,0.02,-1.80,1.87
5.598,-0.69,0.08,2.10
5.788,-0.20,1.42,1.50
5.988,0.72,1.46,0.28
6.188,0.31,1.38,-1.60
6.388,1.50,0.56,-2.26
6.599,1.06,-0.77,-0.50
6.788,0.57,-0.59,-0.17
6.988,0.49,-1.76,0.61
7.200,0.39,-0.90,0.56
7.388,-0.09,-1.67,1.22
7.600,0.23,-0.86,0.92
7.799,0.29,1.61,2.09
7.990,0.50,1.79,0.24
8.200,1.26,1.51,-2.03
8.399,1.27,0.96,-2.19
8.600,0.71,-0.49,-0.32
8.800,0.71,-1.31,0.15
8.990,0.19,-2.60,1.31
9.188,0.26,-0.74,0.43
9.400,-0.08,-0.88,1.23
9.600,-0.34,0.11,1.62
9.783,-0.61,0.87,1.92
9.990,0.16,1.47,1.13
10.190,1.48,1.68,-0.36
10.400,0.73,1.45,-1.29
10.583,0.71,1.05,-1.76
10.813,1.18,0.47,-1.30
10.994,0.94,-1.25,-0.14
11.199,0.50,-1.50,0.10
11.401,-0.14,-1.51,0.63
11.605,0.31,-0.80,0.75
11.801,0.09,-0.95,0.61
11.988,-0.52,-1.00,1.12
12.184,-0.15,-0.07,-0.09
12.379,0.04,0.17,-0.21
12.600,0.36,-0.20,-0.24
12.800,-0.40,-0.53,0.84
12.989,-0.49,-0.27,0.87
13.199,-0.12,0.10,0.34
13.416,-0.33,0.18,0.71
13.600,-0.18,0.23,0.39
13.800,0.10,0.80,0.89
13.988,0.36,0.34,1.27
14.196,1.43,2.38,-0.61
14.400,1.20,0.91,-1.63
14.591,1.48,-0.62,-0.73
14.807,0.84,-1.48,-0.03
14.991,0.31,-3.04,1.15
15.201,-0.37,-1.27,1.61
15.394,-0.53,-0.05,2.48
15.618,-0.33,1.50,2.26
15.813,1.48,2.38,0.23
15.989,0.37,1.13,-0.21
16.204,0.46,0.97,-0.97
16.401,1.03,0.46,-0.82
16.595,1.55,-1.43,-0.26
16.800,0.64,-2.04,0.39
16.988,-0.16,-1.06,0.43
17.221,0.01,-2.10,1.29
17.400,-0.19,-0.68,1.27
17.617,-0.79,0.41,1.83
17.804,0.65,1.82,0.25
17.994,0.84,1.85,-0.19
18.201,0.80,0.96,-0.68
18.399,1.21,0.50,-2.28
18.602,1.51,-1.67,-0.50
18.785,0.35,-1.08,0.12
18.994,0.55,-0.78,0.19
19.213,-0.06,-1.74,1.15
19.415,-0.19,-1.05,1.29
19.561,-0.30,-0.30,1.22
19.793,-0.08,1.00,1.77
19.994,1.47,2.52,0.51
20.203,1.74,2.09,-1.22
20.393,0.95,1.06,-1.55
20.595,1.82,0.08,-0.55
20.800,0.84,-0.88,-0.04
20.990,0.92,-2.08,0.20
21.200,0.33,-1.98,0.44
21.401,0.08,-0.21,0.16
21.630,0.26,-1.09,0.44
21.804,-0.09,-0.79,0.83
21.985,0.04,-0.69,1.17
22.201,-0.52,1.40,1.87
22.385,-0.82,0.42,-0.18
22.600,0.16,-0.64,-0.36
22.792,1.14,0.45,0.11
22.988,0.65,0.25,-0.06
23.200,0.02,-0.14,0.04
23.392,-0.08,-0.01,0.06
23.614,-0.13,-0.05,0.07
