time,x,y,z,gx,gy,gz,barometer
0.166,0.34,-0.56,0.74,-0.02,-0.03,0.02,1007.36
0.303,0.34,-0.56,0.75,0.00,-0.07,0.00,1007.47
0.503,0.35,-0.56,0.74,0.03,-0.00,-0.04,1007.38
0.67,0.34,-0.56,0.75,-0.02,-0.02,-0.01,1007.33
0.817,0.33,-0.57,0.75,-0.02,0.10,0.03,1007.38
1.003,0.35,-0.57,0.78,-0.09,-0.00,0.01,1007.42
1.165,0.32,-0.56,0.70,0.13,0.26,-0.02,1007.48
1.357,0.36,-0.44,0.67,-0.61,-2.26,-0.98,1007.33
1.504,0.71,-0.60,0.55,-0.13,0.59,-0.41,1007.49
1.662,0.67,-0.60,0.47,-0.68,0.19,-0.37,1007.34
1.866,0.53,-0.51,0.52,1.98,2.92,0.84,1007.44
1.904,0.24,-0.53,0.74,-0.47,1.03,0.53,1007.37
2.158,0.02,-0.54,0.67,-0.60,-3.14,0.18,1007.38
2.303,0.49,-0.56,0.56,-1.41,-0.94,-1.19,1007.25
2.501,0.78,-0.55,0.50,-0.24,-0.31,0.22,1007.28
2.668,0.75,-0.53,0.48,-0.11,0.29,-0.33,1007.40
2.835,0.34,-0.64,0.62,0.09,0.88,0.61,1007.44
2.988,0.23,-0.62,0.69,-0.13,0.37,0.15,1007.51
3.179,0.38,-0.53,0.77,-0.42,0.69,1.66,1007.47
3.322,0.50,-0.56,0.55,0.75,-0.75,-1.05,1007.49
3.497,0.78,-0.60,0.48,0.05,-0.78,0.26,1007.44
3.675,0.99,-0.67,0.48,-0.17,0.02,0.02,1007.50
3.825,0.57,-0.51,0.51,-0.38,1.46,0.54,1007.43
3.997,0.11,-0.55,0.72,0.08,0.82,0.36,1007.54
4.154,-0.07,-0.43,0.68,0.08,-2.48,-1.96,1007.41
4.477,0.05,-0.45,0.69,0.08,-2.48,-1.96,1007.41
4.492,0.67,-0.53,0.54,-0.65,-0.78,-0.03,1007.37
4.643,0.93,-0.65,0.55,0.20,0.89,0.35,1007.46
4.836,0.28,-0.54,0.63,-0.42,0.62,0.38,1007.42
5.012,0.11,-0.56,0.72,0.04,0.30,0.12,1007.50
5.133,-0.01,-0.54,0.57,0.15,-1.65,0.23,1007.41
5.325,0.37,-0.52,0.64,1.33,-2.34,-2.42,1007.47
5.504,0.81,-0.56,0.53,-0.69,-0.68,0.24,1007.50
5.653,0.81,-0.59,0.51,0.16,0.04,-0.06,1007.36
5.837,0.73,-0.70,0.66,1.40,1.52,0.44,1007.45
6.001,0.29,-0.60,0.69,0.33,1.01,0.39,1007.44
6.161,0.18,-0.66,0.73,-0.03,-0.90,0.21,1007.38
6.323,0.21,-0.56,0.51,-0.01,-2.31,-0.47,1007.53
6.429,0.42,-0.53,0.52,-0.11,-2.29,-1.70,1007.46
6.709,0.71,-0.62,0.48,-0.11,-2.29,-1.70,1007.46
6.84,0.98,-0.73,0.57,0.08,1.80,1.72,1007.40
7.024,0.33,-0.62,0.65,-1.35,0.77,0.64,1007.52
7.113,0.14,-0.60,0.70,0.19,0.47,0.12,1007.44
7.328,0.15,-0.73,0.75,-0.34,-0.84,0.07,1007.41
7.504,0.39,-0.65,0.58,-0.43,-2.37,-1.47,1007.48
7.659,0.79,-0.58,0.51,-0.99,-0.76,0.19,1007.50
7.843,0.78,-0.70,0.56,0.10,1.38,1.43,1007.47
7.976,0.42,-0.61,0.59,1.90,3.31,1.47,1007.48
8.143,0.31,-0.61,0.66,1.26,1.48,0.61,1007.49
8.324,0.09,-0.62,0.60,0.04,-1.22,-0.91,1007.42
8.521,0.57,-0.85,0.42,-0.52,-0.62,-1.29,1007.48
8.643,0.78,-0.68,0.48,-0.17,-1.30,-0.31,1007.51
8.723,0.78,-0.68,0.48,-0.95,-0.40,0.36,1007.51
9.031,0.78,-0.68,0.48,-0.95,-0.40,0.36,1007.42
9.176,0.33,-0.68,0.57,0.83,0.42,0.44,1007.43
9.331,0.20,-0.67,0.56,-0.50,-0.93,-0.23,1007.45
9.473,0.60,-0.63,0.48,0.32,-2.46,-2.99,1007.43
9.655,0.76,-0.60,0.45,-0.03,-0.15,-0.09,1007.50
9.839,0.78,-0.57,0.40,0.12,0.22,0.29,1007.35
9.983,0.46,-0.57,0.57,0.20,3.32,1.15,1007.49
10.152,0.38,-0.61,0.66,0.22,0.79,0.47,1007.36
10.339,-0.02,-0.49,0.56,0.03,-1.29,-1.17,1007.34
10.492,0.52,-0.72,0.51,-1.50,-1.66,-0.54,1007.37
10.672,0.74,-0.60,0.43,-0.81,-1.54,-1.14,1007.40
10.845,0.77,-0.57,0.44,-0.18,-0.34,0.07,1007.31
10.962,1.01,-0.70,0.51,0.02,0.16,0.02,1007.47
11.22,1.01,-0.70,0.51,0.20,3.46,2.80,1007.47
11.321,0.13,-0.59,0.65,-0.07,0.29,-0.18,1007.48
11.485,0.27,-0.62,0.62,-0.88,0.70,2.27,1007.35
11.649,0.66,-0.56,0.47,1.38,-1.63,-2.26,1007.41
11.841,0.79,-0.58,0.42,-0.17,-0.04,-0.17,1007.46
12.02,1.05,-0.81,0.52,-0.10,1.05,0.80,1007.43
12.156,0.54,-0.61,0.61,-1.03,0.61,0.46,1007.47
12.336,0.25,-0.66,0.61,-0.27,0.24,0.18,1007.34
12.488,0.30,-0.55,0.59,-0.22,-2.87,-1.64,1007.36
12.656,0.73,-0.58,0.45,1.53,-1.25,-1.28,1007.39
12.836,0.81,-0.59,0.45,0.09,0.09,-0.05,1007.38
12.984,0.87,-0.62,0.39,0.05,0.42,0.41,1007.49
13.16,0.50,-0.58,0.55,0.86,1.66,1.20,1007.50
13.188,0.42,-0.64,0.56,0.86,1.66,1.20,1007.35
13.49,0.13,-0.57,0.58,-0.35,-2.35,-0.35,1007.57
13.659,0.56,-0.80,0.46,0.74,-0.79,-0.06,1007.51
13.837,0.74,-0.60,0.42,-0.17,-1.29,-0.66,1007.45
13.984,0.76,-0.57,0.41,0.23,0.00,-0.08,1007.40
14.15,0.52,-0.44,0.51,1.70,3.30,1.24,1007.46
14.308,0.49,-0.60,0.55,0.86,0.70,0.70,1007.66
14.484,0.26,-0.65,0.67,0.10,0.11,0.19,1007.45
14.666,0.50,-0.79,0.53,0.09,-2.27,-0.99,1007.51
14.838,0.63,-0.51,0.54,1.21,-1.10,-2.28,1007.44
14.986,0.81,-0.56,0.45,-0.31,-0.60,0.27,1007.45
