time,x,y,z
0.015,0.64,0.13,-0.01
0.030,0.59,0.12,-0.04
0.032,0.50,0.10,-0.05
0.063,0.43,0.09,-0.05
0.064,0.36,0.08,-0.06
0.077,-0.02,0.08,-0.03
0.090,-0.18,0.10,0.01
0.103,-0.22,0.11,0.02
0.120,-0.27,0.10,0.03
0.125,-0.27,0.09,0.03
0.140,-0.25,0.05,-0.01
0.145,-0.22,0.04,-0.02
0.176,-0.20,0.04,-0.03
0.181,-0.12,0.00,-0.09
0.193,-0.08,-0.03,-0.12
0.205,-0.00,-0.07,-0.17
0.221,0.07,-0.09,-0.22
0.237,0.15,-0.10,-0.33
0.246,0.18,-0.13,-0.44
0.246,0.18,-0.13,-0.44
0.285,0.18,-0.15,-0.48
0.285,0.18,-0.15,-0.48
0.296,-0.15,-0.48,-0.69
0.316,-0.28,-0.52,-0.72
0.321,-0.89,-0.53,-0.79
0.338,-1.34,-0.44,-0.82
0.345,-2.09,-0.32,-0.81
0.345,-2.09,-0.32,-0.81
0.378,-2.20,-0.29,-0.80
0.386,-3.28,-0.41,-0.80
0.397,-3.36,-0.44,-0.84
0.410,-3.50,-0.48,-0.93
0.425,-3.57,-0.48,-1.06
0.440,-3.62,-0.48,-1.25
0.445,-3.62,-0.47,-1.32
0.472,-3.62,-0.45,-1.38
0.477,-3.54,-0.30,-1.50
0.487,-3.46,-0.28,-1.46
0.487,-3.46,-0.28,-1.46
0.543,-3.42,-0.28,-1.45
0.543,-3.42,-0.28,-1.45
0.543,-3.42,-0.28,-1.45
0.553,-2.99,-0.46,-1.45
0.565,-2.99,-0.31,-1.44
0.580,-3.00,-0.17,-1.43
0.580,-3.00,-0.17,-1.43
0.621,-3.00,-0.14,-1.44
0.621,-3.00,-0.14,-1.44
0.632,-2.86,-0.11,-1.51
0.645,-2.80,-0.18,-1.53
0.657,-2.72,-0.26,-1.54
0.660,-2.65,-0.33,-1.54
0.689,-2.59,-0.37,-1.53
0.693,-2.33,-0.64,-1.44
0.710,-2.17,-0.79,-1.39
0.721,-2.14,-0.82,-1.34
0.736,-2.13,-0.81,-1.31
0.745,-2.19,-0.77,-1.25
0.760,-2.34,-0.74,-1.17
0.760,-2.34,-0.74,-1.17
0.793,-2.41,-0.74,-1.14
0.800,-2.81,-0.67,-1.12
0.812,-3.09,-0.66,-1.10
0.826,-3.30,-0.68,-1.06
0.838,-3.38,-0.53,-1.01
0.855,-3.32,-0.65,-0.99
0.860,-3.34,-0.65,-0.98
0.860,-3.34,-0.65,-0.98
0.895,-3.34,-0.62,-0.96
0.902,-3.01,-0.35,-0.76
0.913,-2.77,-0.32,-0.72
0.925,-2.29,-0.31,-0.64
0.940,-1.81,-0.33,-0.56
0.956,-1.37,-0.36,-0.49
0.960,-0.94,-0.37,-0.45
0.960,-0.94,-0.37,-0.45
1.004,-0.84,-0.38,-0.43
1.007,-0.42,-0.40,-0.43
1.008,-0.24,-0.40,-0.43
1.008,-0.24,-0.40,-0.43
1.008,-0.24,-0.40,-0.43
1.094,0.10,-0.44,-0.43
1.094,0.10,-0.44,-0.43
1.094,0.10,-0.44,-0.43
1.096,0.24,-0.45,-0.42
1.109,1.31,-0.29,-0.40
1.123,1.73,-0.14,-0.34
1.135,2.08,-0.19,-0.17
1.147,2.36,0.00,-0.08
