% Data generated on Wed Nov 18 22:18:12 GMT 2015
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE y4 NUMERIC
@ATTRIBUTE z4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE y5 NUMERIC
@ATTRIBUTE z5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE y6 NUMERIC
@ATTRIBUTE z6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE y7 NUMERIC
@ATTRIBUTE z7 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
0.66,0.78,0.86,0.66,0.53,0.37,-0.16,0.76,-0.51,-1.02,1.31,-0.95,-0.29,2.13,-0.02,-0.80,1.23,-1.16,-0.29,0.19,-1.93,EX_PEAK
-0.30,0.13,2.01,0.15,1.94,0.75,0.50,1.59,0.09,-0.66,3.46,0.45,0.56,2.06,0.38,-1.47,0.69,-2.77,-1.88,0.07,-3.45,EX_PEAK
0.92,0.19,2.33,1.32,0.74,1.12,2.20,-0.67,1.67,0.17,2.31,0.72,-1.78,2.08,-2.34,-0.79,0.54,-1.56,-0.34,0.08,-2.03,EX_PEAK
0.81,0.10,1.28,0.43,1.81,1.61,0.84,0.92,0.93,2.35,-1.32,1.56,0.81,-0.75,0.10,-0.27,0.40,-1.41,0.06,0.20,-1.21,EX_PEAK
3.42,-0.21,3.12,2.25,0.88,1.94,-0.45,3.87,0.20,0.34,0.07,0.07,0.38,1.95,0.82,-0.19,0.60,-0.81,0.11,0.20,-1.90,EX_PEAK
1.08,-1.24,0.06,3.56,-1.13,2.20,1.08,0.99,1.66,2.89,-1.73,1.70,-0.06,-0.65,-0.38,0.41,0.73,-0.63,-0.17,0.26,-1.18,EX_PEAK
2.55,-1.06,1.37,2.30,0.25,2.98,-0.36,1.02,0.59,-0.49,0.94,-0.33,-1.33,1.27,-1.10,1.20,1.13,0.21,-0.51,0.33,-2.20,EX_PEAK
1.42,-1.76,-0.07,0.93,0.01,1.99,0.45,1.52,2.04,0.22,0.73,0.17,0.89,1.18,1.52,0.53,1.87,-0.19,-0.57,-0.14,-0.67,EX_PEAK
2.79,-0.65,2.43,0.31,0.31,1.74,1.31,0.54,1.16,0.77,0.72,0.62,-0.06,0.47,-0.48,0.18,0.17,-1.11,-1.26,0.57,-1.64,EX_PEAK
2.29,-1.34,0.73,1.87,-0.23,1.61,1.26,1.04,2.34,-0.05,0.88,0.02,0.75,-0.40,0.50,-1.03,1.07,-0.96,0.01,0.43,-0.73,EX_PEAK
