time,x,y,z,gx,gy,gz,barometer
0.146,0.44,-0.51,0.73,-0.03,-0.00,0.02,1007.46
0.278,0.45,-0.53,0.71,0.04,-0.02,-0.01,1007.50
0.409,0.44,-0.53,0.71,0.03,-0.04,0.02,1007.45
0.589,0.44,-0.53,0.71,0.05,-0.04,-0.03,1007.50
0.712,0.43,-0.52,0.71,-0.01,-0.01,-0.02,1007.45
0.888,0.45,-0.53,0.70,-0.01,-0.08,0.14,1007.44
1.009,0.41,-0.57,0.67,-0.05,-0.93,1.02,1007.39
1.169,0.49,-0.60,0.58,-0.04,-1.34,0.50,1007.38
1.277,0.50,-0.49,0.55,0.27,-2.98,-0.94,1007.38
1.434,0.97,-0.51,0.34,-2.04,1.76,-1.54,1007.55
1.545,0.71,-0.43,0.48,-1.17,1.56,-1.86,1007.46
1.714,0.72,-0.30,0.65,0.28,3.51,0.15,1007.56
1.816,0.44,-0.32,0.77,-0.71,0.97,1.28,1007.45
2.071,0.44,-0.32,0.77,-0.09,0.74,1.65,1007.45
2.112,0.34,-0.51,0.73,-0.70,-1.49,0.56,1007.58
2.292,0.20,-0.44,0.58,0.63,-2.33,0.45,1007.47
2.464,1.02,-0.64,0.39,-0.37,1.45,-0.53,1007.42
2.568,0.85,-0.52,0.49,-0.33,0.67,-1.71,1007.34
2.71,0.93,-0.43,0.71,0.92,2.99,1.31,1007.50
2.852,0.30,-0.44,0.69,-0.24,-0.05,1.73,1007.43
2.995,0.29,-0.60,0.64,-0.88,-1.80,1.39,1007.44
3.11,0.39,-0.54,0.62,0.05,-1.26,-0.11,1007.31
3.303,0.89,-0.66,0.27,-1.41,-2.23,-1.82,1007.47
3.425,0.92,-0.54,0.34,-1.66,1.65,-1.40,1007.51
3.558,0.91,-0.42,0.48,-0.64,0.96,-2.62,1007.44
3.675,0.69,-0.29,0.59,-0.56,3.19,0.82,1007.45
3.858,0.33,-0.45,0.67,0.92,1.36,1.34,1007.45
3.977,0.37,-0.62,0.65,-1.79,-1.17,0.52,1007.43
4.118,0.39,-0.57,0.63,0.09,-1.85,1.02,1007.49
4.359,0.39,-0.57,0.63,0.09,-1.85,1.02,1007.47
4.427,0.78,-0.53,0.43,-1.18,-0.49,-1.85,1007.35
4.56,0.88,-0.42,0.48,-0.30,-0.03,-0.44,1007.43
4.694,0.77,-0.35,0.60,-0.07,2.34,-0.84,1007.41
4.849,0.41,-0.35,0.69,-0.72,1.16,1.51,1007.45
5.018,0.26,-0.38,0.70,-0.46,-1.66,2.43,1007.39
5.144,0.42,-0.58,0.68,-1.78,-2.15,0.78,1007.45
5.284,0.36,-0.60,0.65,0.04,-1.96,-0.78,1007.43
5.447,0.63,-0.60,0.59,0.66,0.56,-0.22,1007.48
5.566,0.74,-0.50,0.45,1.76,-0.82,-1.69,1007.34
5.715,0.90,-0.40,0.70,-0.25,1.90,-0.69,1007.49
5.847,0.46,-0.38,0.75,-0.62,1.71,0.80,1007.37
5.984,0.26,-0.45,0.73,-0.66,-0.57,1.75,1007.30
6.137,0.23,-0.56,0.64,-1.26,-2.40,2.43,1007.39
6.299,0.48,-0.61,0.59,-0.06,-1.89,-0.51,1007.42
6.336,0.48,-0.61,0.59,-0.86,-1.20,-1.50,1007.47
6.574,0.61,-0.48,0.56,-0.86,-1.20,-1.50,1007.47
6.706,0.80,-0.55,0.58,-0.28,2.85,-0.84,1007.36
6.854,0.36,-0.56,0.56,0.07,0.96,0.79,1007.43
6.98,0.36,-0.62,0.60,-1.73,-1.19,0.95,1007.33
7.153,0.34,-0.61,0.50,-1.14,-0.95,0.83,1007.40
7.256,0.40,-0.61,0.52,0.42,-1.56,-1.51,1007.39
7.385,0.94,-0.72,0.33,-1.53,0.39,-1.35,1007.46
7.575,0.81,-0.56,0.40,0.58,0.45,-0.80,1007.45
7.741,0.67,-0.46,0.52,0.44,3.20,0.15,1007.52
7.862,0.29,-0.47,0.57,0.07,1.85,0.73,1007.47
7.99,0.28,-0.69,0.58,-1.53,-2.12,2.20,1007.42
8.113,0.44,-0.63,0.71,0.04,-0.92,0.10,1007.39
8.294,0.54,-0.56,0.31,-0.83,-3.46,-2.20,1007.38
8.451,0.91,-0.64,0.29,0.24,1.83,-1.40,1007.39
8.574,0.91,-0.39,0.35,0.00,1.39,-3.49,1007.42
8.586,0.83,-0.40,0.37,-0.60,1.30,-1.50,1007.42
8.968,0.83,-0.40,0.37,0.36,1.24,-0.69,1007.42
8.997,0.29,-0.28,0.82,-0.35,0.66,1.98,1007.34
9.158,0.31,-0.60,0.80,-2.33,-2.10,0.70,1007.42
9.306,0.36,-0.62,0.71,-0.57,-1.76,-0.26,1007.46
9.414,0.42,-0.72,0.44,-3.20,-1.43,-1.98,1007.38
9.578,0.96,-0.79,0.26,-0.28,1.65,-1.07,1007.36
9.724,0.83,-0.45,0.35,0.18,1.71,-1.67,1007.43
9.834,0.86,-0.36,0.41,-0.94,0.18,-1.23,1007.42
9.997,0.44,-0.31,0.73,0.48,2.61,2.14,1007.42
10.123,0.23,-0.32,0.70,-0.91,-0.20,1.75,1007.35
10.29,0.13,-0.43,0.63,-1.39,-2.23,1.68,1007.33
10.4,0.31,-0.60,0.58,-0.20,-1.80,-0.18,1007.41
10.581,0.83,-0.68,0.23,-2.89,0.72,-0.65,1007.52
10.71,0.86,-0.57,0.33,0.87,1.56,-1.83,1007.45
10.844,0.90,-0.42,0.38,0.65,1.30,-0.50,1007.40
10.897,0.96,-0.48,0.37,0.65,1.30,-0.50,1007.40
11.138,0.69,-0.37,0.64,0.89,4.29,0.59,1007.38
11.269,0.24,-0.66,0.58,-1.12,-3.23,3.14,1007.35
11.401,0.43,-0.63,0.60,0.03,-1.21,0.41,1007.39
11.6,0.94,-0.78,0.14,-3.55,0.74,-0.68,1007.47
11.71,0.86,-0.67,0.27,1.14,1.67,-2.18,1007.40
11.863,0.88,-0.44,0.40,0.97,1.59,-0.73,1007.37
12.007,0.95,-0.36,0.56,1.66,4.48,0.89,1007.38
12.13,0.38,-0.34,0.72,0.49,1.24,1.42,1007.39
12.285,0.17,-0.45,0.66,-0.83,-2.24,2.75,1007.46
12.424,0.35,-0.63,0.61,-1.42,-1.37,0.44,1007.30
12.564,0.53,-0.53,0.44,-0.40,-3.85,-1.50,1007.36
12.722,0.97,-0.69,0.32,-2.58,0.99,-1.05,1007.47
12.846,0.73,-0.54,0.35,-0.51,-0.01,-1.16,1007.44
13.001,0.94,-0.42,0.46,1.28,4.71,-0.59,1007.45
13.137,0.60,-0.26,0.53,-0.39,1.65,1.10,1007.34
13.137,0.60,-0.26,0.53,-0.39,1.65,1.10,1007.34
13.441,0.36,-0.23,0.67,-0.39,1.65,1.10,1007.34
13.577,0.34,-0.51,0.55,0.36,-3.65,-1.46,1007.39
13.722,0.95,-0.72,0.36,-1.52,0.90,-1.10,1007.37
13.844,0.83,-0.58,0.36,0.45,0.46,-1.48,1007.32
14.016,0.98,-0.48,0.39,0.90,2.62,-1.05,1007.41
14.117,0.55,-0.32,0.53,-0.41,1.91,1.75,1007.30
14.263,0.42,-0.43,0.67,-0.34,-0.20,1.65,1007.40
