% Data generated on Wed Nov 18 22:18:18 GMT 2015
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE y4 NUMERIC
@ATTRIBUTE z4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE y5 NUMERIC
@ATTRIBUTE z5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE y6 NUMERIC
@ATTRIBUTE z6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE y7 NUMERIC
@ATTRIBUTE z7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE y8 NUMERIC
@ATTRIBUTE z8 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
1.04,0.35,1.53,0.57,0.70,1.03,0.66,0.53,0.37,-0.16,0.76,-0.51,-0.86,1.01,-0.90,-0.83,0.60,-0.62,-0.06,-0.90,-0.80,0.12,1.28,-1.37,EX_PEAK
-0.67,-0.12,1.73,1.74,0.87,1.17,0.78,1.28,0.68,0.41,0.56,0.25,-0.66,3.46,0.45,-0.27,1.41,-1.18,-0.10,0.02,-0.76,-1.10,0.68,-3.28,EX_PEAK
1.15,0.12,2.52,-0.09,1.36,1.23,-0.02,4.70,0.54,-0.89,1.28,-0.14,-0.75,5.37,0.18,-1.58,2.06,-2.07,-0.85,0.61,-1.60,-0.34,0.08,-2.03,EX_PEAK
2.00,-0.55,2.34,0.96,0.16,1.35,0.43,1.81,1.61,0.84,0.92,0.93,2.31,-0.56,1.86,1.15,-0.67,0.54,0.12,1.56,-0.42,0.08,0.19,-1.29,EX_PEAK
0.11,-0.81,-0.51,3.42,-0.21,3.12,2.46,0.65,2.39,0.87,0.72,0.69,0.97,-0.50,0.52,-1.44,1.39,-1.56,1.10,0.75,-0.14,-0.19,0.60,-0.81,EX_PEAK
-0.06,-0.93,-0.85,3.51,-1.16,2.09,2.54,0.78,2.07,0.71,0.61,0.89,0.86,-0.64,0.31,-0.06,-0.65,-0.38,0.41,0.73,-0.63,-0.06,0.22,-1.02,EX_PEAK
2.14,-0.90,1.25,2.30,0.25,2.98,0.99,0.95,1.13,-0.08,0.79,-0.15,-1.11,1.40,-0.94,0.75,1.48,0.45,-0.58,0.63,-0.90,-0.86,0.26,-2.11,EX_PEAK
0.35,-1.26,-0.30,1.42,-0.95,1.55,1.92,1.24,2.98,0.29,0.67,0.27,-1.14,1.24,-0.56,-1.42,1.23,-1.36,0.62,1.80,-0.26,-0.62,-0.10,-0.77,EX_PEAK
2.16,-0.70,0.63,3.17,-0.52,2.72,3.07,0.63,2.47,1.31,0.54,1.16,0.77,0.72,0.62,0.99,1.26,0.84,-0.14,0.83,-0.60,-1.04,0.50,-1.52,EX_PEAK
2.29,-1.34,0.73,1.61,-0.83,1.32,1.91,0.47,2.68,1.48,0.19,1.70,1.85,-1.50,1.39,0.07,0.19,0.06,0.55,1.35,0.02,-0.55,0.38,-1.16,EX_PEAK
