time,x,y,z,gx,gy,gz,barometer
time,x,y,z,gx,gy,gz,barometer
0.024,0.22,-0.43,0.85,0.04,-0.14,-0.05,1007.50
0.03,0.22,-0.43,0.85,0.27,-0.04,-0.03,1007.50
0.051,0.22,-0.43,0.85,0.27,-0.04,-0.03,1007.40
0.051,0.22,-0.43,0.85,0.27,-0.04,-0.03,1007.40
0.051,0.22,-0.43,0.85,0.27,-0.04,-0.03,1007.40
0.051,0.22,-0.43,0.85,0.27,-0.04,-0.03,1007.40
0.111,0.23,-0.43,0.84,0.27,-0.04,-0.03,1007.40
0.111,0.23,-0.43,0.84,0.27,-0.04,-0.03,1007.40
0.111,0.23,-0.43,0.84,0.27,-0.04,-0.03,1007.40
0.113,0.23,-0.43,0.84,0.11,-0.00,0.00,1007.41
0.113,0.23,-0.43,0.84,0.11,-0.00,0.00,1007.41
0.157,0.23,-0.43,0.84,0.11,-0.00,0.00,1007.41
0.157,0.23,-0.43,0.84,0.11,-0.00,0.00,1007.41
0.157,0.23,-0.43,0.84,0.11,-0.00,0.00,1007.41
0.163,0.23,-0.43,0.84,0.02,-0.01,0.00,1007.41
0.181,0.23,-0.43,0.84,0.02,-0.01,0.00,1007.40
0.181,0.23,-0.43,0.84,0.02,-0.01,0.00,1007.40
0.181,0.23,-0.43,0.84,0.02,-0.01,0.00,1007.40
0.181,0.23,-0.43,0.84,0.02,-0.01,0.00,1007.40
0.239,0.24,-0.42,0.84,0.02,-0.01,0.00,1007.40
0.239,0.24,-0.42,0.84,0.02,-0.01,0.00,1007.40
0.24,0.24,-0.42,0.84,0.01,-0.01,-0.02,1007.40
0.249,0.24,-0.42,0.84,0.01,-0.01,-0.02,1007.40
0.249,0.24,-0.42,0.84,0.01,-0.01,-0.02,1007.40
0.249,0.24,-0.42,0.84,0.01,-0.01,-0.02,1007.40
0.299,0.24,-0.42,0.85,0.01,-0.01,-0.02,1007.40
0.299,0.24,-0.42,0.85,0.01,-0.01,-0.02,1007.40
0.3,0.24,-0.42,0.85,0.00,-0.03,-0.01,1007.40
0.324,0.24,-0.42,0.85,0.00,-0.03,-0.01,1007.53
0.324,0.24,-0.42,0.85,0.00,-0.03,-0.01,1007.53
0.324,0.24,-0.42,0.85,0.00,-0.03,-0.01,1007.53
0.353,0.23,-0.42,0.85,0.00,-0.03,-0.01,1007.53
0.353,0.23,-0.42,0.85,0.00,-0.03,-0.01,1007.53
0.363,0.23,-0.42,0.85,0.01,0.01,-0.00,1007.53
