time,x,y,z
0.1250,0.4525,-0.2033,0.8248
0.2240,0.4573,-0.2121,0.8209
0.3400,0.4554,-0.2130,0.8160
0.4410,0.4652,-0.1691,0.8248
0.5050,0.4603,-0.1720,0.8179
0.6590,0.4466,-0.2081,0.8375
0.7810,0.4427,-0.2384,0.8199
0.8930,0.4564,-0.2365,0.8570
0.9960,0.4104,-0.4085,0.8678
1.1110,0.1994,-0.7056,0.9098
1.2220,0.0244,-0.4319,0.9147
1.3550,0.3997,-0.5267,0.9215
1.4400,0.7173,-0.2551,1.1473
1.5490,0.5902,-0.1964,0.8619
1.6650,0.8199,-0.2248,0.5639
1.7730,1.4434,-0.7603,1.2528
1.8920,0.4984,-0.3000,0.7573
2.0010,0.4319,-0.2717,0.8189
2.1110,0.4730,-0.1427,0.8639
2.2090,0.4095,-0.2736,0.8199
2.3360,0.4515,-0.2414,0.8209
2.4440,0.4183,-0.2111,1.0153
2.5530,0.6088,-0.7231,1.3828
2.6850,0.5658,-1.1082,1.4561
2.7760,0.4407,-0.7710,0.7280
2.8890,0.5023,-0.7173,0.3850
2.9950,0.7046,-0.4583,0.4818
3.1160,1.4864,-0.2248,0.8346
3.2090,1.5753,-0.8111,0.2003
3.3420,0.5218,-0.3782,0.7124
3.4460,0.4603,-0.2521,0.8189
3.5570,0.4407,-0.2502,0.8306
3.6880,0.3889,-0.3655,0.7652
3.7780,0.2541,-0.4906,0.8688
3.8910,0.1153,-1.5939,1.0642
3.9980,-0.0840,-0.1945,0.9430
4.1250,0.1788,-0.6753,0.6489
4.2140,0.6821,-0.4573,0.9723
4.3460,1.4199,-0.4466,0.9528
4.4460,0.9108,-0.2130,0.4974
4.5550,1.5460,-0.3753,1.4697
4.6960,0.7681,-0.2511,0.6801
4.7610,0.4847,-0.2052,0.8160
4.8910,0.4310,-0.2150,0.8258
4.9950,0.4329,-0.2580,0.8355
5.1270,0.4075,-0.3020,0.8873
5.2260,0.2248,-1.6154,1.3359
5.3470,-0.0889,-0.1261,0.8707
5.4320,0.3450,0.2228,1.1326
5.5600,0.9127,-0.0362,1.1258
5.7050,0.7710,-0.2013,0.8717
5.7660,1.1570,-1.6945,0.2902
5.8920,0.4798,-0.2902,0.8131
5.9930,0.4632,-0.2130,0.8306
6.0750,0.4466,-0.2345,0.8179
6.2410,0.4134,-0.3088,0.8072
6.3400,0.4740,-0.2736,0.8433
6.4630,0.3606,-0.5541,1.1219
6.5660,-0.0596,-0.4339,1.0212
6.7180,-0.1046,-0.4251,0.6225
6.7800,0.9850,-0.8512,0.4964
6.8840,0.8727,0.0547,1.0984
6.9960,0.9762,0.2257,0.3020
7.0910,0.1652,-0.8385,-0.1739
7.2260,0.5443,-0.0362,0.8648
7.3360,0.4613,-0.2316,0.8023
7.4490,0.4740,-0.1808,0.8179
7.5590,0.4613,-0.2502,0.8121
7.6230,0.4632,-0.2668,0.8150
7.7670,0.1612,-0.4593,0.9235
7.8890,0.7984,-0.6782,0.7407
7.9800,0.8267,0.3088,0.7437
8.0980,0.2697,-0.1075,0.9411
8.2330,0.1720,-0.1720,0.9313
8.3300,0.7632,-0.2384,0.9850
8.4320,0.8326,-0.3938,0.2668
8.5680,0.3880,-0.0391,1.0007
8.6240,0.4671,-0.0919,0.8834
8.7770,0.4398,-0.2453,0.8209
8.8960,0.4446,-0.2257,0.8267
8.9960,0.4427,-0.2209,0.8258
9.1190,0.3127,-0.3469,0.9753
9.2250,0.4339,-0.2922,1.1531
9.3290,-0.1046,-0.3723,0.8003
9.4310,0.2169,0.0293,0.9762
9.5750,0.4896,-0.1593,0.7847
9.6330,0.5795,-0.0322,0.6244
9.7770,0.9811,-0.0264,0.3117
9.8680,1.1131,-0.5404,0.6313
9.9970,0.4407,-0.2384,0.8306
10.1080,0.4554,-0.2189,0.8258
10.2260,0.4622,-0.2267,0.8082
10.3210,0.4329,-0.2277,0.8326
10.4460,0.4476,-0.2140,0.9205
10.5310,0.3792,-0.4485,1.2176
10.6470,-0.1661,-0.6352,0.9890
10.7900,-0.2160,-0.6645,0.8883
10.9110,0.7730,-0.7065,0.4505
11.0540,0.8502,-0.9303,0.6792
11.1100,0.9499,-0.2707,0.3665
11.2440,0.9440,-0.1222,0.3626
11.3130,0.6860,-0.3596,0.7661
11.4580,0.4603,-0.2824,0.8228
11.5500,0.4456,-0.2209,0.8346
11.6550,0.4261,-0.2834,0.8131
11.8100,0.4231,-0.2805,0.8199
11.8770,0.4075,-0.3332,0.8981
11.9940,0.6108,-0.4544,1.0105
12.1100,0.0147,-0.6108,1.0896
12.2210,0.1046,-0.3645,0.7300
12.3650,0.4935,0.0264,0.8551
12.4470,0.6108,-0.1954,1.0280
12.5590,1.3955,0.2091,0.4525
12.6560,1.4277,-1.3994,0.9645
12.8120,1.3886,-0.3938,0.3244
12.8890,0.4749,-0.2189,0.8336
13.0100,0.4622,-0.2052,0.8326
13.1110,0.4310,-0.2648,0.8248
13.2280,0.4310,-0.3010,0.8287
13.3300,0.3274,-0.4114,1.2421
13.4560,-0.1700,-1.2860,1.3779
13.5580,-0.0254,-0.5150,0.7368
13.6680,0.6801,-0.2971,0.8365
13.6680,0.6801,-0.2971,0.8365
13.8990,0.6635,-0.3108,0.7788
14.0050,1.2010,-0.2951,0.2599
14.1100,0.5052,-0.1808,0.8668
14.2170,0.4671,-0.1945,0.8365
14.3300,0.4661,-0.2502,0.8072
14.4470,0.4261,-0.2981,0.8052
14.5520,0.3743,-0.3352,0.9616
14.6720,-0.3782,-0.7075,1.3671
14.8710,-0.3088,-0.5218,1.3241
14.8870,0.6538,-0.1827,0.6479
14.9930,0.9235,-1.4825,0.2257
15.0940,1.6017,0.0235,0.5042
15.2410,0.6215,-0.6254,0.7251
15.3320,0.4593,-0.2111,0.8805
15.4220,0.4495,-0.3098,0.8140
15.5850,0.4212,-0.3303,0.7935
15.6830,0.4241,-0.1583,0.8531
15.7160,0.4837,-0.3293,0.8258
15.8950,0.4564,-0.3127,0.8150
16.0010,0.1964,-0.8111,0.7701
16.0850,0.4525,-0.6411,0.7476
16.2370,0.5580,-0.4740,0.8306
16.3310,0.6215,-0.4857,0.6723
16.4430,1.0319,-0.1182,0.0733
16.5590,0.5355,-0.1612,0.9205
16.6640,0.4212,-0.2433,0.8355
16.7420,0.4564,-0.1749,0.8355
16.8660,0.4613,-0.2160,0.8062
17.0020,0.4261,-0.2472,0.8326
17.1150,0.4407,-0.4798,1.0280
17.2170,-0.0332,-1.1023,1.3574
17.3410,-0.0215,-0.5091,1.3456
17.4710,0.6372,-0.6117,0.8267
17.5610,0.7280,-0.2590,0.9098
17.6690,1.4072,-0.0743,0.0215
17.7460,1.4873,-0.5023,0.8277
17.8870,0.5355,-0.3332,0.7974
18.0000,0.4749,-0.1925,0.8541
18.1090,0.4495,-0.2521,0.8062
18.2240,0.4564,-0.2844,0.8013
18.3540,0.4358,-0.2502,0.8326
18.4200,0.4104,-0.6596,1.0994
18.5580,-0.2277,-0.2511,0.9811
18.6770,0.2326,-0.6899,0.7075
18.7680,0.7906,-0.7701,0.7691
18.8590,0.3704,-0.8013,0.4974
18.9920,1.5714,0.0215,1.1306
19.1120,0.7828,0.5619,-0.7212
19.2130,0.6841,-0.0792,0.9723
19.3300,0.4642,-0.1886,0.8287
19.4350,0.4613,-0.1798,0.8228
19.5250,0.4534,-0.2101,0.8003
19.6840,0.4896,-0.2893,0.8160
19.7540,0.0889,-0.4319,1.3613
19.9470,0.1564,-0.1026,1.4619
19.9970,0.3078,0.0567,0.9088
20.1100,0.8228,-0.0235,1.2841
20.1970,1.2118,-0.1212,0.7837
20.3340,1.1248,0.1163,0.0870
20.4430,0.6929,-0.3430,0.8717
20.5290,0.4544,-0.2639,0.8404
20.7040,0.4788,-0.2668,0.8033
20.7480,0.3792,-0.4007,0.7710
20.9040,0.3674,-0.4134,0.7740
21.0030,0.3332,-0.5463,1.0017
21.1090,-0.1827,-0.7671,1.0359
21.2190,0.1476,-0.4114,0.7749
21.3610,0.5033,-0.4661,0.7642
21.4190,0.8043,-0.2424,0.6215
21.5330,0.5932,0.1945,0.1808
21.6780,0.3381,0.0264,1.4414
21.7830,0.4564,-0.0450,0.9411
21.8170,0.4818,-0.1818,0.8160
21.9970,0.4573,-0.2238,0.8218
22.1100,0.4730,-0.2629,0.8091
22.2180,0.4544,-0.2736,0.8512
22.3550,0.4896,-0.4065,0.9010
22.4460,0.9108,-0.5336,0.3078
22.5520,0.4720,-0.2228,0.8873
22.6930,0.1437,-0.1720,1.0544
22.7770,0.0156,-0.2580,0.9518
22.9640,0.4534,0.0029,1.0134
22.9970,0.3977,-1.5792,1.5391
23.1300,0.1984,0.0508,1.2079
23.2510,0.4485,-0.2707,0.8209
23.3060,0.4427,-0.0811,0.8590
23.4590,0.4378,-0.1788,0.8297
23.5740,0.4310,-0.2023,0.8394
23.6680,0.4055,-0.3626,1.0105
23.7670,0.4192,-1.1991,1.4590
23.8470,-0.1192,-0.6401,0.8824
23.9970,0.2795,-0.0782,0.9694
24.1230,0.3342,0.0137,0.8365
24.2180,1.3896,0.1954,0.3020
24.3130,1.2225,-1.4346,1.3925
24.4400,0.4368,-0.2414,0.8658
24.5530,0.4417,-0.2287,0.8277
24.6490,0.4544,-0.2042,0.8248
24.7870,0.4065,-0.2971,0.8140
24.8310,0.4661,-0.2502,0.8238
24.9980,0.4613,-0.2560,0.8189
25.1070,-0.1798,-0.6293,0.9127
25.2200,0.3264,-0.7613,0.6635
25.3320,0.7515,-0.8971,0.6528
25.4660,1.2880,-0.4192,0.9039
25.5550,1.1844,-0.0674,0.1847
25.6500,1.0877,0.1652,1.0740
25.7870,0.4407,-0.2883,0.8346
25.8470,0.4339,-0.2287,0.8355
25.9940,0.4378,-0.2463,0.8179
26.0810,0.4280,-0.2492,0.8365
26.2440,0.3538,-0.4290,0.9362
26.3350,-0.0176,-1.0300,1.0319
26.4390,-0.1691,-0.2570,0.8473
26.5620,0.1046,0.0147,0.9635
26.6680,0.5971,-0.1661,0.9049
26.7830,0.9538,-0.1759,0.5922
26.8820,0.8600,0.0967,-0.7935
27.0090,0.4827,-0.0870,0.0450
27.1110,0.4573,-0.2482,0.8473
27.2160,0.4378,-0.1984,0.8287
27.3300,0.4573,-0.2404,0.8267
27.4720,0.4104,-0.3450,0.7945
27.5670,0.4280,-0.3977,0.9694
27.6660,-0.1622,-0.7007,1.2899
27.7520,-0.0850,-0.5482,0.6997
27.8530,0.3469,-0.2678,0.8473
28.0110,0.3753,-0.3225,0.8336
28.1160,0.9909,-0.0381,1.0456
28.2230,1.0114,-0.3137,0.2990
28.3270,0.8580,-0.2287,0.9323
28.4620,0.4554,-0.3205,0.8228
28.5570,0.4349,-0.2853,0.8013
28.6610,0.4261,-0.2678,0.8267
28.7520,0.2981,-0.3694,0.8697
28.8630,0.3899,-0.3186,0.8512
29.0290,0.3205,-0.3489,0.9020
29.1220,-0.3850,-0.4202,0.8248
29.2200,0.6919,-0.2844,0.6372
29.3290,1.0632,-0.7437,0.8756
29.4240,0.7222,-0.7876,0.3108
29.5520,0.6899,-0.5668,0.2775
29.6770,0.5052,-0.3323,0.7916
29.7790,0.4407,-0.2717,0.8473
29.8850,0.3811,-0.3968,0.7544
30.0100,0.3626,-0.4163,0.7613
30.1020,0.4212,-0.3371,0.8433
30.1980,0.3088,-0.8600,0.7867
30.3350,0.1466,-0.1515,1.2000
30.4310,0.5042,-0.5267,0.8424
30.5520,0.3176,-0.4388,0.7192
30.6600,0.4808,-0.3753,0.6479
30.7660,0.3293,-0.3508,0.7212
30.8650,0.2384,-0.3919,0.8736
31.0280,0.2160,-0.4065,0.8609
31.1080,0.2062,-0.3596,0.8453
31.1930,0.2150,-0.3801,0.8189
31.3370,0.2277,-0.3821,0.8238
31.4290,0.2277,-0.3694,0.8404
31.5340,0.2033,-0.3723,0.8736
31.6800,0.2267,-0.3440,0.8463
31.7970,0.2023,-0.3811,0.8482
31.9090,0.2296,-0.3430,0.8785
31.9370,0.2091,-0.3831,0.8824
32.1080,0.1896,-0.3831,0.8707
