% Data generated on Wed Nov 18 22:18:23 GMT 2015
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE y4 NUMERIC
@ATTRIBUTE z4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE y5 NUMERIC
@ATTRIBUTE z5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE y6 NUMERIC
@ATTRIBUTE z6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE y7 NUMERIC
@ATTRIBUTE z7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE y8 NUMERIC
@ATTRIBUTE z8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE y9 NUMERIC
@ATTRIBUTE z9 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
0.40,0.65,0.97,0.66,0.53,0.37,0.04,0.77,-0.45,-0.18,0.72,-0.71,0.33,-1.31,0.01,-0.29,2.13,-0.02,-0.28,-0.52,-0.89,0.12,0.16,-2.20,-0.72,-0.19,-2.89,EX_PEAK
-0.30,0.13,2.01,1.16,1.17,1.16,0.24,0.77,0.28,0.16,-0.18,0.09,-0.66,3.46,0.45,-0.27,1.41,-1.18,-0.07,0.03,-0.74,-1.27,0.73,-3.29,-1.14,-0.13,-3.44,EX_PEAK
3.22,1.11,2.31,1.43,0.53,0.84,1.98,-0.91,1.29,-0.88,2.32,-0.16,-0.45,-1.54,-0.54,1.05,0.23,0.37,-0.85,0.61,-1.60,-0.34,0.08,-2.03,-0.15,-0.30,-2.23,EX_PEAK
0.92,-0.43,1.80,2.17,0.75,2.18,1.37,0.90,1.25,0.84,0.92,0.93,2.31,-0.56,1.86,-0.34,2.87,0.59,-0.58,1.59,-0.88,-0.14,0.27,-1.37,0.08,0.18,-1.24,EX_PEAK
3.66,-0.67,2.83,2.16,0.49,2.39,0.67,1.36,1.90,-0.45,3.87,0.20,0.34,0.07,0.07,-1.61,1.78,-0.70,1.03,0.65,-0.33,-0.10,0.48,-1.27,0.11,0.20,-1.90,EX_PEAK
-0.13,-0.89,-0.92,1.08,-1.24,0.06,3.56,-1.13,2.20,2.36,0.94,2.03,-0.77,2.60,-0.28,-2.04,2.12,-1.17,-0.06,-0.65,-0.38,0.89,0.95,-0.31,-0.06,0.22,-1.02,EX_PEAK
-0.09,-0.99,0.31,2.30,0.25,2.98,0.36,1.13,2.00,1.73,-0.89,1.04,-0.91,3.65,0.28,-0.41,2.53,-0.04,1.15,1.26,0.28,-0.61,0.36,-2.24,-0.99,0.09,-2.12,EX_PEAK
1.58,-0.89,1.68,1.59,0.23,2.68,0.56,1.38,1.94,0.22,0.73,0.17,0.36,1.71,1.21,-1.43,1.47,-1.44,0.62,1.80,-0.26,-0.59,-0.12,-0.72,-0.64,0.14,-1.35,EX_PEAK
1.54,-1.01,1.32,-0.97,-0.48,0.84,0.42,1.73,2.18,1.31,0.54,1.16,0.77,0.72,0.62,0.67,1.60,0.83,-0.27,0.80,-0.60,0.18,0.17,-1.11,-1.04,0.50,-1.52,EX_PEAK
2.29,-1.34,0.73,2.36,-1.22,0.65,1.45,0.48,2.44,0.29,1.30,2.15,-0.20,0.92,0.00,0.75,-0.40,0.50,0.07,0.19,0.06,0.70,1.33,0.02,-0.53,0.40,-1.35,EX_PEAK
