time,x,y,z,gx,gy,gz,barometer
0.093,0.34,-0.55,0.74,-0.11,0.02,-0.08,1007.36
0.226,0.33,-0.56,0.74,-0.04,-0.02,-0.02,1007.39
0.303,0.34,-0.56,0.75,0.00,-0.07,0.00,1007.47
0.443,0.34,-0.56,0.74,0.02,0.00,-0.02,1007.38
0.57,0.35,-0.56,0.74,0.03,-0.01,-0.02,1007.42
0.67,0.34,-0.56,0.75,-0.02,-0.02,-0.01,1007.33
0.797,0.32,-0.57,0.75,0.03,0.00,0.01,1007.42
0.885,0.34,-0.56,0.74,-0.04,0.02,0.00,1007.45
1.003,0.35,-0.57,0.78,-0.09,-0.00,0.01,1007.42
1.096,0.32,-0.56,0.70,0.13,0.26,-0.02,1007.49
1.186,0.36,-0.54,0.69,0.07,-0.28,-0.01,1007.48
1.357,0.36,-0.44,0.67,-0.61,-2.26,-0.98,1007.33
1.466,0.57,-0.57,0.59,-1.51,-0.62,-0.56,1007.37
1.567,0.71,-0.60,0.55,0.17,0.45,-0.50,1007.49
1.662,0.67,-0.60,0.47,-0.68,0.19,-0.37,1007.34
1.773,0.53,-0.51,0.52,0.08,2.20,0.49,1007.44
1.888,0.22,-0.50,0.48,-0.47,1.03,0.53,1007.37
2.095,0.24,-0.53,0.74,-0.47,1.03,0.53,1007.35
2.105,0.02,-0.54,0.67,0.20,-1.33,0.99,1007.41
2.217,0.04,-0.53,0.58,-0.68,-2.62,-0.42,1007.42
2.303,0.49,-0.56,0.56,-1.41,-0.94,-1.19,1007.25
2.453,0.60,-0.53,0.51,-0.68,-1.39,-0.36,1007.34
2.543,0.78,-0.55,0.50,-0.24,-0.31,0.22,1007.42
2.668,0.75,-0.53,0.48,-0.11,0.29,-0.33,1007.40
2.791,0.80,-0.75,0.62,0.51,2.56,0.62,1007.42
2.893,0.34,-0.64,0.62,-0.00,0.79,0.51,1007.43
2.988,0.23,-0.62,0.69,-0.13,0.37,0.15,1007.51
3.117,0.38,-0.53,0.77,-0.01,-3.70,-2.40,1007.39
3.217,0.40,-0.73,0.63,-0.55,-0.40,-0.69,1007.40
3.322,0.50,-0.56,0.55,0.75,-0.75,-1.05,1007.49
3.418,0.67,-0.58,0.50,0.05,-0.78,0.26,1007.44
3.552,0.76,-0.56,0.49,0.30,0.07,-0.12,1007.40
3.675,0.99,-0.67,0.48,-0.17,0.02,0.02,1007.50
3.796,0.57,-0.51,0.51,1.07,3.76,0.69,1007.50
3.889,0.48,-0.55,0.61,-0.38,1.46,0.54,1007.48
3.997,0.11,-0.55,0.72,0.08,0.82,0.36,1007.54
4.104,0.08,-0.58,0.77,-0.16,-0.45,-0.24,1007.52
4.154,-0.07,-0.43,0.68,0.08,-2.48,-1.96,1007.41
4.477,0.05,-0.45,0.69,0.08,-2.48,-1.96,1007.41
4.477,0.05,-0.45,0.69,0.08,-2.48,-1.96,1007.41
4.536,0.75,-0.58,0.52,-0.65,-0.78,-0.03,1007.35
4.643,0.93,-0.65,0.55,0.20,0.89,0.35,1007.46
4.75,0.46,-0.56,0.56,1.78,3.32,0.61,1007.39
4.906,0.28,-0.54,0.63,-0.42,0.62,0.38,1007.39
5.012,0.11,-0.56,0.72,0.04,0.30,0.12,1007.50
5.105,-0.01,-0.54,0.57,0.15,-1.65,0.23,1007.39
5.229,-0.06,-0.65,0.81,-1.41,-0.93,-1.20,1007.37
5.325,0.37,-0.52,0.64,1.33,-2.34,-2.42,1007.47
5.437,0.80,-0.59,0.53,-0.12,-1.74,0.38,1007.39
5.592,0.81,-0.56,0.53,0.01,0.12,-0.21,1007.50
5.653,0.81,-0.59,0.51,0.16,0.04,-0.06,1007.36
5.75,0.89,-0.72,0.57,-0.07,2.98,0.75,1007.44
5.904,0.31,-0.58,0.65,0.72,1.27,0.82,1007.45
6.001,0.29,-0.60,0.69,0.33,1.01,0.39,1007.44
6.086,0.07,-0.52,0.71,-0.02,-0.77,-0.36,1007.49
6.224,0.12,-0.61,0.72,-0.54,-2.85,-2.15,1007.38
6.323,0.21,-0.56,0.51,-0.01,-2.31,-0.47,1007.53
6.429,0.42,-0.53,0.52,-0.11,-2.29,-1.70,1007.46
6.429,0.42,-0.53,0.52,-0.11,-2.29,-1.70,1007.46
6.709,0.71,-0.62,0.48,-0.11,-2.29,-1.70,1007.46
6.798,0.98,-0.73,0.57,0.08,1.80,1.72,1007.43
6.915,0.58,-0.63,0.64,-0.55,1.21,0.15,1007.44
7.024,0.33,-0.62,0.65,-1.35,0.77,0.64,1007.52
7.112,0.28,-0.60,0.69,0.19,0.47,0.12,1007.44
7.221,0.03,-0.55,0.66,-0.02,-0.31,-0.21,1007.38
7.328,0.15,-0.73,0.75,-0.34,-0.84,0.07,1007.41
7.444,0.39,-0.65,0.58,0.75,-1.96,-1.24,1007.48
7.553,0.60,-0.54,0.55,0.60,-1.46,-0.39,1007.47
7.659,0.79,-0.58,0.51,-0.99,-0.76,0.19,1007.50
7.798,0.78,-0.57,0.47,-0.02,0.04,-0.05,1007.43
7.909,0.78,-0.70,0.56,-0.43,1.86,0.87,1007.45
8.018,0.42,-0.61,0.59,1.90,3.31,1.47,1007.25
8.109,0.31,-0.61,0.66,1.26,1.48,0.61,1007.38
8.219,0.11,-0.55,0.65,0.32,0.26,0.08,1007.52
8.324,0.09,-0.62,0.60,0.04,-1.22,-0.91,1007.42
8.443,0.57,-0.85,0.42,-1.82,-3.67,-2.48,1007.48
8.559,0.52,-0.60,0.53,0.67,-1.75,-2.07,1007.55
8.643,0.78,-0.68,0.48,-0.17,-1.30,-0.31,1007.51
8.723,0.78,-0.68,0.48,-0.95,-0.40,0.36,1007.51
9.031,0.78,-0.68,0.48,-0.95,-0.40,0.36,1007.42
9.031,0.78,-0.68,0.48,-0.95,-0.40,0.36,1007.42
9.116,0.40,-0.62,0.51,-0.20,0.45,0.67,1007.42
9.197,0.25,-0.68,0.62,0.83,0.42,0.44,1007.52
9.333,0.20,-0.67,0.56,-0.50,-0.93,-0.23,1007.47
9.446,0.60,-0.63,0.48,0.32,-2.46,-2.99,1007.47
9.559,0.81,-0.71,0.45,-0.02,-0.34,0.05,1007.37
9.655,0.76,-0.60,0.45,-0.03,-0.15,-0.09,1007.50
9.778,0.78,-0.57,0.40,0.08,0.12,0.03,1007.35
9.884,1.04,-0.74,0.48,-0.01,4.02,2.63,1007.52
9.983,0.46,-0.57,0.57,0.20,3.32,1.15,1007.49
10.083,0.41,-0.62,0.67,0.49,0.92,0.54,1007.44
10.235,0.26,-0.61,0.72,0.04,0.20,0.04,1007.37
10.339,-0.02,-0.49,0.56,0.03,-1.29,-1.17,1007.34
10.463,0.57,-0.58,0.73,-0.41,-0.75,1.83,1007.44
10.561,0.55,-0.63,0.52,-1.50,-1.66,-0.54,1007.32
10.672,0.74,-0.60,0.43,-0.81,-1.54,-1.14,1007.40
10.78,0.77,-0.57,0.44,-0.18,-0.34,0.07,1007.46
10.878,0.75,-0.58,0.44,0.55,-0.05,-0.02,1007.31
10.962,1.01,-0.70,0.51,0.02,0.16,0.02,1007.47
11.22,1.01,-0.70,0.51,0.20,3.46,2.80,1007.47
11.221,0.80,-0.74,0.50,0.20,3.46,2.80,1007.47
11.321,0.13,-0.59,0.65,-0.07,0.29,-0.18,1007.48
11.438,0.09,-0.56,0.53,-0.29,-3.28,-1.59,1007.35
11.564,0.34,-0.81,0.65,-0.88,0.70,2.27,1007.40
11.649,0.66,-0.56,0.47,1.38,-1.63,-2.26,1007.41
11.775,0.83,-0.64,0.44,-0.08,-0.12,0.15,1007.47
11.883,0.76,-0.57,0.43,-0.02,0.04,-0.10,1007.47
