time,x,y,z
0.018,0.01,0.23,0.30
0.020,0.01,0.22,0.29
0.021,-0.03,0.19,-0.03
0.029,-0.03,0.18,-0.03
0.036,-0.03,0.16,0.02
0.047,-0.01,0.06,0.02
0.053,-0.02,-0.08,-0.06
0.060,-0.01,-0.19,-0.13
0.068,-0.07,-0.32,-0.22
0.083,-0.15,-0.43,-0.34
0.084,-0.09,-0.53,-0.32
0.096,-0.01,-0.53,-0.24
0.105,0.01,-0.49,-0.19
0.108,0.00,-0.47,-0.22
0.119,-0.01,-0.46,-0.22
0.130,-0.08,-0.44,-0.22
0.133,-0.08,-0.43,-0.22
0.143,-0.13,-0.50,-0.26
0.153,-0.16,-0.51,-0.21
0.159,0.02,-0.50,-0.11
0.169,0.08,-0.48,-0.01
0.191,0.09,-0.35,0.03
0.193,0.07,-0.24,-0.10
0.194,0.08,-0.21,-0.26
0.205,0.02,-0.26,-0.32
0.209,-0.12,-0.32,-0.31
0.218,-0.21,-0.39,-0.25
0.230,-0.14,-0.48,-0.10
0.234,-0.10,-0.52,0.03
0.246,-0.14,-0.48,0.05
0.255,-0.15,-0.42,-0.09
0.258,-0.18,-0.37,-0.20
0.271,-0.20,-0.23,-0.10
0.280,-0.20,-0.05,0.13
0.288,-0.02,0.13,0.33
0.294,0.23,0.38,0.35
0.306,0.26,0.50,0.27
0.309,0.36,0.50,0.19
0.318,0.36,0.38,0.18
0.342,0.28,0.19,0.10
0.343,0.14,0.02,-0.06
0.344,-0.06,-0.19,-0.09
0.361,-0.19,-0.48,0.04
0.362,-0.33,-0.67,0.11
0.370,-0.52,-0.80,0.04
0.381,-0.63,-0.92,-0.11
0.387,-0.63,-1.05,-0.29
0.397,-0.60,-1.28,-0.15
0.405,-0.78,-1.73,-0.13
0.409,-0.77,-1.70,-0.13
0.418,-0.97,-1.71,0.40
0.430,-0.76,-1.42,0.59
0.435,-0.36,-0.91,0.52
0.444,-0.12,-0.09,0.22
0.456,-0.12,0.52,0.00
0.459,-0.26,0.81,-0.13
0.475,-0.71,0.95,-0.15
0.491,-1.03,0.99,0.17
0.496,-0.99,0.92,0.54
0.498,-0.97,0.85,0.65
0.507,-1.11,0.71,0.46
0.509,-1.44,0.48,-0.02
0.519,-1.80,0.35,-0.51
0.548,-1.80,0.34,-0.46
0.554,-1.76,0.29,-0.46
0.557,-1.13,0.97,-0.83
0.558,-0.37,1.89,-0.96
0.559,0.45,2.36,-0.80
0.568,1.01,2.44,-0.75
0.581,1.32,2.63,-0.93
0.588,1.29,2.85,-1.09
0.593,1.06,2.79,-1.37
0.605,1.17,2.47,-1.81
0.607,1.44,2.09,-2.19
0.619,1.71,1.82,-2.23
0.629,1.89,1.62,-2.32
0.632,1.78,1.43,-2.59
0.643,1.62,1.32,-2.88
0.654,1.46,1.19,-3.06
0.658,1.43,1.12,-3.06
0.671,1.15,0.80,-3.06
0.682,0.90,0.59,-3.00
0.685,0.85,0.54,-3.01
0.693,0.73,0.19,-2.52
0.703,1.38,-0.78,-0.73
0.708,1.32,-0.82,-0.75
0.718,0.95,-0.87,-0.64
0.738,0.43,-0.71,-1.14
0.739,0.40,-0.74,-1.15
0.745,-0.48,-0.89,-1.55
0.758,-0.66,-1.12,-0.87
0.760,-0.53,-1.28,-0.02
0.769,-0.58,-1.34,0.63
0.775,-0.61,-1.35,0.60
0.782,-0.80,-1.20,0.51
0.791,-0.89,-1.06,-0.15
0.797,-0.95,-0.87,-0.77
0.807,-1.07,-0.69,-1.19
0.817,-1.09,-0.65,-1.35
0.824,-0.86,-0.85,-1.07
0.842,-0.67,-1.12,-0.76
0.843,-0.43,-1.20,-0.65
0.847,-0.15,-1.09,-0.28
0.858,-0.12,-1.00,-0.18
0.869,-0.25,-0.69,-1.11
0.874,-0.32,-0.70,-1.14
0.887,-0.45,-0.52,-1.51
0.905,-0.64,-0.38,-1.97
0.906,-0.61,-0.25,-2.17
0.907,-0.51,-0.32,-2.03
0.917,-0.52,-0.57,-1.91
0.922,-0.46,-0.64,-1.80
0.933,-0.37,-0.56,-1.32
0.942,-0.32,-0.36,-0.86
0.950,-0.23,-0.18,-0.79
0.958,-0.01,-0.04,-0.86
0.970,0.38,0.23,-0.78
0.974,0.83,0.49,-0.31
0.982,0.90,0.66,0.16
0.993,0.53,0.78,-0.05
1.002,0.27,0.75,-0.81
1.010,0.26,0.52,-1.45
1.016,0.29,0.24,-1.59
1.022,0.51,-0.03,-1.35
1.034,1.00,-0.55,-0.66
1.042,1.54,-1.01,0.05
1.053,1.73,-1.27,0.77
1.059,1.74,-1.42,1.62
1.070,1.95,-1.61,2.75
1.073,2.25,-1.77,3.81
1.081,2.42,-1.76,4.57
1.092,2.42,-1.46,4.92
1.098,2.41,-0.89,4.97
1.107,2.39,-0.25,4.79
1.118,2.43,0.35,4.42
1.125,2.55,0.90,3.65
1.140,2.59,1.41,2.60
1.144,2.31,1.41,1.15
1.146,2.27,1.40,1.16
1.157,0.02,-0.24,-1.77
1.168,-1.21,-1.58,-2.80
1.174,-2.24,-2.97,-3.15
1.199,-2.46,-4.15,-2.73
1.201,-1.98,-4.97,-1.74
1.204,-1.03,-5.01,-0.94
1.206,0.30,-4.05,-0.12
1.217,1.45,-2.53,0.87
1.221,2.32,-0.87,1.23
1.234,2.86,0.52,1.22
1.242,2.85,1.37,0.86
1.248,2.45,1.95,-0.15
1.256,1.91,2.27,-1.45
1.268,1.06,2.01,-2.46
1.275,0.99,2.03,-2.41
1.283,-0.31,0.91,-3.13
1.292,-0.78,-0.12,-2.60
1.312,-1.04,-1.36,-1.15
1.315,-0.54,-2.57,0.69
1.316,0.07,-3.42,2.54
1.324,0.57,-3.73,3.84
1.333,1.00,-3.48,4.33
1.341,1.33,-2.82,4.13
1.347,1.46,-1.91,3.39
1.357,1.49,-0.80,2.28
1.366,1.47,0.35,1.17
1.371,1.25,1.33,0.08
1.382,0.88,2.12,-1.10
1.400,0.55,2.57,-2.19
1.406,0.53,2.61,-2.16
1.407,0.79,2.14,-1.98
1.417,1.28,1.14,-0.43
1.420,1.26,1.26,-0.37
1.447,1.40,-0.60,3.45
1.449,1.19,-1.15,4.69
1.450,0.86,-1.46,5.05
1.456,0.64,-1.46,4.73
1.468,0.45,-1.19,4.01
1.471,0.48,-1.15,3.99
1.480,0.33,-0.43,2.39
1.490,0.41,0.17,1.86
1.496,0.48,0.74,1.27
1.506,0.92,1.08,1.08
1.519,0.99,1.14,1.08
1.521,1.25,1.28,1.39
1.532,1.35,1.32,2.04
1.542,1.51,1.35,2.84
1.549,1.68,1.43,3.42
1.556,1.52,1.47,3.52
1.567,0.72,1.55,2.46
1.572,0.77,1.56,2.43
1.591,0.48,1.58,1.74
1.595,0.05,1.37,0.70
1.597,0.08,1.38,0.69
1.605,0.10,0.54,1.50
1.617,0.17,0.06,2.42
1.623,0.20,0.09,2.42
1.635,0.35,-0.41,3.35
1.639,0.41,-0.98,3.81
1.647,0.40,-1.24,3.74
1.657,0.17,-1.18,3.62
1.691,0.14,-1.42,3.76
1.692,0.28,-2.34,3.88
1.694,0.51,-3.19,3.90
1.696,0.67,-3.10,4.25
1.696,0.69,-2.09,4.22
1.706,0.70,-0.78,3.15
1.719,0.76,0.46,1.35
1.724,0.91,1.55,-0.38
1.736,1.15,2.27,-1.01
1.738,1.60,2.07,-0.66
1.745,1.75,0.95,0.08
1.756,1.50,0.13,1.12
1.761,1.38,0.17,1.88
1.770,1.50,0.47,2.05
1.791,1.91,0.35,1.78
1.794,2.63,-0.22,1.44
1.796,3.12,-0.43,1.35
1.806,2.89,0.25,1.63
1.815,2.55,1.23,1.45
1.821,2.72,1.91,0.58
1.831,2.65,2.36,-0.46
1.836,2.17,2.71,-1.18
1.846,2.07,2.71,-1.32
1.864,2.40,2.30,-0.86
1.867,2.52,1.79,-0.21
1.870,2.61,2.02,0.80
1.885,2.40,1.98,0.18
1.886,2.60,1.94,0.22
1.896,1.74,2.56,-0.59
1.906,1.92,1.78,-0.32
1.911,2.51,0.24,1.22
1.921,3.03,-1.22,3.30
1.935,3.22,-1.66,5.17
1.938,3.02,-0.86,5.62
1.945,2.98,0.41,3.76
1.955,2.94,1.51,0.19
1.960,2.49,2.39,-3.52
1.971,1.76,2.98,-5.77
1.985,1.14,3.13,-5.87
1.987,0.99,2.66,-4.53
2.005,1.69,1.53,-2.12
2.006,2.56,0.04,0.12
2.018,2.71,0.09,0.25
2.020,2.02,-0.53,-0.66
2.030,1.53,-0.07,-2.17
2.035,1.28,-0.16,-3.05
2.047,1.38,-1.05,-2.94
2.055,1.78,-2.21,-2.17
2.061,1.70,-2.88,-0.99
2.071,1.31,-2.75,-0.23
2.080,1.17,-2.08,-0.22
2.085,1.25,-1.34,-0.85
2.095,1.24,-0.75,-1.96
2.104,1.06,-0.13,-3.13
2.109,0.78,0.50,-3.59
2.119,0.72,0.87,-3.30
2.130,0.93,0.89,-2.97
2.134,0.94,0.89,-2.95
2.146,0.56,0.97,-3.10
2.154,0.57,0.57,-3.62
2.159,0.52,0.56,-3.65
2.170,1.18,-0.68,-2.71
2.179,1.81,-1.90,0.10
2.185,2.62,-3.22,2.33
2.194,2.60,-3.63,2.82
2.204,1.58,-2.70,1.53
2.209,0.55,-1.15,-0.66
2.219,0.10,0.09,-2.64
2.229,-0.01,0.66,-3.48
2.234,0.15,0.51,-2.50
2.244,0.49,0.18,-0.58
2.254,0.48,0.18,-0.58
2.263,0.48,0.13,0.84
2.271,0.14,0.25,0.60
2.279,-0.10,0.48,-0.79
2.284,0.12,0.73,-2.03
2.294,0.67,0.91,-1.86
2.304,1.97,0.82,1.43
2.309,1.91,0.79,1.36
