time,x,y,z
0.009,0.01,-0.12,0.19
0.018,0.03,-0.08,0.32
0.024,0.03,-0.08,0.31
0.037,0.11,-0.09,0.14
0.044,0.17,-0.05,-0.05
0.058,0.11,0.01,-0.17
0.059,0.07,0.04,-0.24
0.068,0.04,0.00,-0.16
0.072,0.01,-0.08,-0.03
0.082,0.00,-0.07,0.12
0.093,0.01,0.02,0.13
0.112,0.01,0.13,-0.03
0.113,0.04,0.16,-0.10
0.129,0.06,0.14,-0.10
0.130,0.04,0.10,-0.15
0.138,-0.02,0.11,-0.15
0.144,-0.07,-0.10,0.09
0.149,-0.07,-0.10,0.09
0.158,-0.10,-0.13,0.23
0.168,-0.12,-0.11,0.10
0.173,-0.09,-0.07,0.05
0.183,-0.04,-0.08,0.10
0.193,-0.01,-0.01,-0.01
0.197,0.04,0.10,-0.09
0.209,0.05,0.12,-0.14
0.218,0.10,0.09,-0.08
0.223,0.12,0.08,0.00
0.232,0.10,0.09,-0.02
0.244,0.06,0.10,-0.06
0.261,0.06,0.07,-0.01
0.262,0.03,0.04,0.04
0.292,-0.03,-0.02,0.02
0.294,-0.03,-0.02,0.02
0.296,-0.05,-0.03,0.05
0.297,0.01,-0.11,0.13
0.299,0.04,-0.08,0.18
0.307,-0.01,-0.04,0.12
0.323,0.03,-0.09,0.08
0.324,0.03,-0.07,0.11
0.332,-0.00,-0.02,0.05
0.345,-0.01,0.03,-0.06
0.364,0.00,0.06,-0.13
0.367,0.00,0.07,-0.10
0.373,0.03,0.04,-0.04
0.377,0.07,0.03,0.00
0.398,0.06,0.04,0.06
0.399,0.09,0.11,-0.06
0.400,0.09,0.23,-0.13
0.409,0.09,0.20,-0.06
0.418,0.10,0.19,-0.03
0.424,0.06,0.15,0.03
0.435,0.04,0.13,0.07
0.438,0.04,0.13,0.07
0.450,-0.00,0.13,0.01
0.459,-0.07,-0.10,0.28
0.466,-0.00,-0.21,0.52
0.473,0.02,-0.10,0.36
0.485,-0.05,0.05,-0.03
0.487,-0.06,0.11,-0.15
0.497,-0.03,0.08,-0.13
0.508,0.05,0.05,-0.08
0.526,-0.09,-0.07,-0.16
0.528,0.05,-0.17,-0.16
0.555,0.10,-0.06,-0.08
0.557,0.09,-0.05,-0.07
0.558,0.02,-0.12,-0.03
0.560,0.09,0.14,-0.30
0.563,0.09,0.14,-0.29
0.573,0.06,0.17,-0.20
0.584,0.13,0.23,-0.06
0.592,0.19,0.31,0.08
0.601,0.24,0.48,0.14
0.608,0.24,0.66,0.04
0.614,0.22,0.78,-0.03
0.622,0.11,0.52,0.10
0.633,0.12,0.15,0.34
0.638,-0.05,-0.14,0.14
